Tarih,TP_MK_F_MALI
2000-01-02,220.02
2000-01-03,236.53
2000-01-04,244.43
2000-01-05,255.07
2000-01-06,229.54
2000-01-07,208.4189
2000-01-08,188.96
2000-01-09,178.0
2000-01-10,
2000-01-11,215.73
2000-01-12,221.87
2000-01-13,238.22
2000-01-14,250.8
2000-01-17,241.41
2000-01-18,260.57
2000-01-19,256.6603
2000-01-20,
2000-01-21,234.4564
2000-01-24,222.9699
2000-01-25,234.268
2000-01-26,243.72
2000-01-27,244.74
2000-01-28,246.7
2000-01-31,224.89
2000-02-01,220.02
2000-02-02,216.76
2000-02-03,230.03
2000-02-04,226.79
2000-02-05,262.59
2000-02-06,226.34
2000-02-07,220.82
2000-02-08,191.48
2000-02-09,207.33
2000-02-10,212.69
2000-02-11,195.0
2000-02-14,206.36
2000-02-15,214.86
2000-02-16,214.36
2000-02-17,208.67
2000-02-18,209.45
2000-02-21,198.78
2000-02-22,192.64
2000-02-23,185.18
2000-02-24,200.95
2000-02-25,213.91
2000-02-28,210.75
2000-02-29,218.56
2000-03-01,
2000-03-02,230.03
2000-03-03,227.63
2000-03-04,214.44
2000-03-05,258.37
2000-03-06,226.07
2000-03-07,235.05
2000-03-08,237.52
2000-03-09,251.51
2000-03-10,154.16
2000-03-11,200.66
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,237.78
2000-03-21,239.65
2000-03-22,228.89
2000-03-23,239.01
2000-03-24,242.2
2000-03-27,240.35
2000-03-28,235.89
2000-03-29,232.02
2000-03-30,214.56
2000-03-31,218.14
2000-04-01,244.43
2000-04-02,226.79
2000-04-03,214.44
2000-04-04,221.1
2000-04-05,243.53
2000-04-06,230.29
2000-04-07,228.54
2000-04-08,186.01
2000-04-09,179.9
2000-04-10,154.8
2000-04-11,226.19
2000-04-12,232.85
2000-04-13,242.5
2000-04-14,248.91
2000-04-17,232.36
2000-04-18,224.31
2000-04-19,225.36
2000-04-20,227.26
2000-04-21,226.98
2000-04-24,227.47
2000-04-25,239.68
2000-04-26,248.56
2000-04-27,247.41
2000-04-28,257.34
2000-05-01,230.62
2000-05-02,262.59
2000-05-03,258.37
2000-05-04,216.35
2000-05-05,242.4
2000-05-06,228.06
2000-05-07,190.72
2000-05-08,203.74
2000-05-09,179.93
2000-05-10,160.7
2000-05-11,241.1
2000-05-12,107.97
2000-05-15,229.96
2000-05-16,237.54
2000-05-17,230.12
2000-05-18,222.79
2000-05-19,
2000-05-22,219.91
2000-05-23,211.33
2000-05-24,214.36
2000-05-25,222.38
2000-05-26,216.96
2000-05-29,215.74
2000-05-30,214.23
2000-05-31,221.0
2000-06-01,229.54
2000-06-02,226.34
2000-06-03,226.07
2000-06-04,230.29
2000-06-05,228.06
2000-06-06,229.21
2000-06-07,193.89
2000-06-08,226.45
2000-06-09,181.08
2000-06-10,163.94
2000-06-11,198.91
