Tarih,TP_MK_G_BILESIK
2000-01-02,178.428
2000-01-03,187.79
2000-01-04,191.2018
2000-01-05,208.54
2000-01-06,184.16
2000-01-07,172.9157
2000-01-08,153.59
2000-01-09,143.77
2000-01-10,
2000-01-11,178.4843
2000-01-12,184.8845
2000-01-13,198.0367
2000-01-14,208.6503
2000-01-17,201.5311
2000-01-18,213.7488
2000-01-19,201.048
2000-01-20,
2000-01-21,188.4261
2000-01-24,192.8547
2000-01-25,187.9978
2000-01-26,196.6847
2000-01-27,197.6048
2000-01-28,198.4092
2000-01-31,182.4974
2000-02-01,178.428
2000-02-02,175.1335
2000-02-03,184.95
2000-02-04,184.197
2000-02-05,212.33
2000-02-06,181.41
2000-02-07,178.8171
2000-02-08,156.1
2000-02-09,168.5051
2000-02-10,172.8307
2000-02-11,156.08
2000-02-14,166.3652
2000-02-15,173.155
2000-02-16,172.8762
2000-02-17,167.5022
2000-02-18,167.7429
2000-02-21,159.0674
2000-02-22,152.7916
2000-02-23,146.8181
2000-02-24,159.9746
2000-02-25,170.5226
2000-02-28,167.22
2000-02-29,174.1
2000-03-01,
2000-03-02,184.95
2000-03-03,183.25
2000-03-04,172.29
2000-03-05,208.9
2000-03-06,180.84
2000-03-07,188.15
2000-03-08,189.47
2000-03-09,200.08
2000-03-10,125.45
2000-03-11,160.72
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,190.56
2000-03-21,191.67
2000-03-22,183.78
2000-03-23,190.51
2000-03-24,193.02
2000-03-27,192.5
2000-03-28,188.84
2000-03-29,185.28
2000-03-30,171.48
2000-03-31,174.04
2000-04-01,191.2018
2000-04-02,184.197
2000-04-03,172.29
2000-04-04,177.29
2000-04-05,197.26
2000-04-06,184.96
2000-04-07,184.79
2000-04-08,152.63
2000-04-09,144.62
2000-04-10,125.99
2000-04-11,181.07
2000-04-12,184.83
2000-04-13,194.06
2000-04-14,200.85
2000-04-17,188.58
2000-04-18,182.71
2000-04-19,183.81
2000-04-20,185.23
2000-04-21,185.74
2000-04-24,185.92
2000-04-25,196.35
2000-04-26,203.2
2000-04-27,201.97
2000-04-28,210.04
2000-05-01,184.8672
2000-05-02,212.33
2000-05-03,208.9
2000-05-04,173.44
2000-05-05,197.91
2000-05-06,182.61
2000-05-07,157.04
2000-05-08,189.8
2000-05-09,144.65
2000-05-10,129.95
2000-05-11,195.85
2000-05-12,88.59
2000-05-15,186.18
2000-05-16,191.43
2000-05-17,185.22
2000-05-18,180.01
2000-05-19,
2000-05-22,177.75
2000-05-23,170.56
2000-05-24,173.15
2000-05-25,178.76
2000-05-26,174.31
2000-05-29,174.24
2000-05-30,172.98
2000-05-31,177.97
2000-06-01,184.16
2000-06-02,181.41
2000-06-03,180.84
2000-06-04,184.96
2000-06-05,182.61
2000-06-06,183.6
2000-06-07,159.71
2000-06-08,182.98
2000-06-09,145.57
2000-06-10,132.51
2000-06-11,160.06
2000-06-12,174.63
2000-06-13,171.46
2000-06-14,166.74
2000-06-15,164.35
2000-06-16,157.6
2000-06-19,159.71
2000-06-20,161.95
2000-06-21,160.98
2000-06-22,163.46
2000-06-23,163.96
2000-06-26,160.69
2000-06-27,161.02
2000-06-28,162.42
2000-06-29,158.18
2000-06-30,158.86
