Tarih,TP_MK_ISL_HC
2000-01-02,458608.832
2000-01-03,966540.1
2000-01-04,739320.409
2000-01-05,709806.7
2000-01-06,542039.9
2000-01-07,329377.59
2000-01-08,247554.2
2000-01-09,265855.74
2000-01-10,
2000-01-11,767331.635
2000-01-12,806534.58
2000-01-13,1028375.179
2000-01-14,1015522.903
2000-01-17,1233665.5
2000-01-18,934742.169
2000-01-19,991405.28
2000-01-20,
2000-01-21,580829.613
2000-01-24,587171.929
2000-01-25,519469.757
2000-01-26,530652.196
2000-01-27,703619.871
2000-01-28,669573.917
2000-01-31,623834.886
2000-02-01,458608.832
2000-02-02,505521.628
2000-02-03,881720.2
2000-02-04,754856.51
2000-02-05,934482.5
2000-02-06,599968.8
2000-02-07,661744.297
2000-02-08,313383.3
2000-02-09,413959.387
2000-02-10,519220.004
2000-02-11,624071.13
2000-02-14,264591.653
2000-02-15,453470.372
2000-02-16,414181.664
2000-02-17,420227.737
2000-02-18,270000.993
2000-02-21,374162.886
2000-02-22,372161.61
2000-02-23,325564.368
2000-02-24,514901.423
2000-02-25,786122.8
2000-02-28,555314.4
2000-02-29,479763.8
2000-03-01,
2000-03-02,881720.2
2000-03-03,816041.5
2000-03-04,389887.7
2000-03-05,448893.6
2000-03-06,404964.4
2000-03-07,499237.7
2000-03-08,611895.6
2000-03-09,920901.0
2000-03-10,263191.7
2000-03-11,832873.81
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,626945.1
2000-03-21,416505.8
2000-03-22,413677.5
2000-03-23,454980.4
2000-03-24,660161.0
2000-03-27,367103.1
2000-03-28,380312.0
2000-03-29,444559.5
2000-03-30,626125.0
2000-03-31,419745.4
2000-04-01,739320.409
2000-04-02,754856.51
2000-04-03,389887.7
2000-04-04,537698.2
2000-04-05,627576.5
2000-04-06,656870.0
2000-04-07,549875.3
2000-04-08,322239.3
2000-04-09,263532.0
2000-04-10,354915.71
2000-04-11,365553.8
2000-04-12,1432146.8
2000-04-13,787627.7
2000-04-14,1066584.4
2000-04-17,739025.1
2000-04-18,649441.0
2000-04-19,578812.2
2000-04-20,447711.2
2000-04-21,380817.0
2000-04-24,458254.0
2000-04-25,732258.6
2000-04-26,1218472.2
2000-04-27,622397.2
2000-04-28,993820.7
2000-05-01,958523.969
2000-05-02,934482.5
2000-05-03,448893.6
2000-05-04,453284.2
2000-05-05,527771.9
2000-05-06,404137.8
2000-05-07,375106.5
2000-05-08,317536.4
2000-05-09,345105.75
2000-05-10,441399.12
2000-05-11,445485.8
2000-05-12,400499.49
