Tarih,TP_MK_G_HIZMET
2000-01-02,178.1551
2000-01-03,163.01
2000-01-04,163.1711
2000-01-05,184.32
2000-01-06,158.99
2000-01-07,175.1721
2000-01-08,127.06
2000-01-09,109.4
2000-01-10,
2000-01-11,185.5412
2000-01-12,191.4335
2000-01-13,205.4341
2000-01-14,211.1132
2000-01-17,208.6737
2000-01-18,214.2443
2000-01-19,207.1252
2000-01-20,
2000-01-21,193.9565
2000-01-24,192.39
2000-01-25,191.0096
2000-01-26,197.7421
2000-01-27,197.3974
2000-01-28,192.7418
2000-01-31,182.7707
2000-02-01,178.1551
2000-02-02,175.3178
2000-02-03,170.53
2000-02-04,182.4824
2000-02-05,185.65
2000-02-06,155.82
2000-02-07,178.068
2000-02-08,129.21
2000-02-09,164.8703
2000-02-10,165.0222
2000-02-11,107.89
2000-02-14,156.1834
2000-02-15,161.2422
2000-02-16,160.0122
2000-02-17,155.0591
2000-02-18,150.7659
2000-02-21,142.0121
2000-02-22,132.7513
2000-02-23,128.5333
2000-02-24,139.6609
2000-02-25,149.0765
2000-02-28,144.41
2000-02-29,149.55
2000-03-01,
2000-03-02,170.53
2000-03-03,165.37
2000-03-04,147.51
2000-03-05,183.31
2000-03-06,160.55
2000-03-07,167.88
2000-03-08,166.21
2000-03-09,171.51
2000-03-10,93.69
2000-03-11,110.55
2000-03-13,
2000-03-14,
2000-03-15,
2000-03-16,
2000-03-17,
2000-03-20,164.46
2000-03-21,162.57
2000-03-22,158.27
2000-03-23,160.83
2000-03-24,164.31
2000-03-27,167.24
2000-03-28,163.56
2000-03-29,159.56
2000-03-30,146.02
2000-03-31,147.83
2000-04-01,163.1711
2000-04-02,182.4824
2000-04-03,147.51
2000-04-04,147.02
2000-04-05,172.97
2000-04-06,156.3
2000-04-07,157.55
2000-04-08,126.29
2000-04-09,111.49
2000-04-10,93.09
2000-04-11,151.97
2000-04-12,151.2
2000-04-13,160.74
2000-04-14,167.25
2000-04-17,158.62
2000-04-18,154.66
2000-04-19,153.17
2000-04-20,154.36
2000-04-21,156.71
2000-04-24,154.01
2000-04-25,165.34
2000-04-26,170.86
2000-04-27,170.68
2000-04-28,180.99
2000-05-01,164.6735
2000-05-02,185.65
2000-05-03,183.31
2000-05-04,146.16
2000-05-05,178.29
2000-05-06,157.69
2000-05-07,138.81
2000-05-08,173.92
2000-05-09,111.78
2000-05-10,95.88
2000-05-11,174.23
2000-05-12,61.05
2000-05-15,166.79
2000-05-16,168.73
2000-05-17,165.54
2000-05-18,162.21
2000-05-19,
2000-05-22,159.5
2000-05-23,150.71
2000-05-24,153.78
2000-05-25,156.94
2000-05-26,155.49
2000-05-29,154.45
2000-05-30,152.82
2000-05-31,155.02
2000-06-01,158.99
2000-06-02,155.82
2000-06-03,160.55
2000-06-04,156.3
2000-06-05,157.69
2000-06-06,156.62
2000-06-07,139.6
2000-06-08,160.11
2000-06-09,114.79
2000-06-10,96.81
2000-06-11,111.87
2000-06-12,153.21
2000-06-13,151.6
2000-06-14,148.0
2000-06-15,145.51
2000-06-16,140.6
2000-06-19,139.39
2000-06-20,144.08
2000-06-21,143.53
2000-06-22,144.35
2000-06-23,143.94
2000-06-26,145.68
2000-06-27,143.67
2000-06-28,145.47
2000-06-29,139.93
2000-06-30,140.19
2000-07-01,175.1721
2000-07-02,178.068
2000-07-03,167.88
2000-07-04,157.55
2000-07-05,138.81
2000-07-06,153.29
2000-07-07,138.55
2000-07-08,124.59
2000-07-09,112.99
2000-07-10,140.35
2000-07-11,141.54
2000-07-12,77.6
2000-07-13,133.53
2000-07-14,128.93
2000-07-17,125.1
2000-07-18,125.1
2000-07-19,126.65
2000-07-20,126.88
2000-07-21,129.07
2000-07-24,130.77
2000-07-25,130.13
2000-07-26,128.13
2000-07-27,124.78
2000-07-28,127.31
2000-07-31,126.29
2000-08-01,127.06
2000-08-02,175.4094
2000-08-03,127.2
2000-08-04,126.29
2000-08-05,173.92
2000-08-06,160.11
2000-08-07,124.59
2000-08-08,122.84
2000-08-09,119.88
2000-08-10,117.33
2000-08-11,103.24
2000-08-12,68.35
2000-08-14,119.76
2000-08-15,117.81
2000-08-16,114.39
2000-08-17,112.91
2000-08-18,111.74
2000-08-21,113.01
2000-08-22,108.82
2000-08-23,112.51
2000-08-24,113.13
2000-08-25,111.67
2000-08-28,109.2
2000-08-29,111.58
2000-08-30,
2000-08-31,108.13
2000-09-01,109.4
2000-09-02,164.8703
2000-09-03,171.51
2000-09-04,111.49
2000-09-05,177.18
2000-09-06,114.79
2000-09-07,112.99
2000-09-08,119.88
2000-09-10,99.45
2000-09-11,103.44
2000-09-12,102.61
2000-09-13,106.61
2000-09-14,104.16
2000-09-15,104.12
2000-09-18,100.05
2000-09-19,96.03
2000-09-20,98.83
2000-09-21,99.78
2000-09-22,93.25
2000-09-25,90.75
2000-09-26,89.07
2000-09-27,90.14
2000-09-28,91.73
2000-09-29,92.63
2000-10-01,
2000-10-02,165.0222
2000-10-03,93.69
2000-10-04,93.09
2000-10-05,95.88
2000-10-06,96.81
2000-10-07,140.35
2000-10-08,117.33
2000-10-09,99.45
2000-10-10,101.22
2000-10-11,106.38
2000-10-12,104.94
2000-10-13,99.79
2000-10-16,105.12
2000-10-17,108.68
2000-10-18,105.27
2000-10-19,102.98
2000-10-20,106.41
2000-10-23,102.6
2000-10-24,101.64
2000-10-25,103.8
2000-10-26,102.51
2000-10-27,102.4
2000-10-30,102.17
2000-10-31,104.35
2000-11-01,185.5412
2000-11-02,161.9116
2000-11-03,110.55
2000-11-04,151.97
2000-11-05,174.23
2000-11-06,111.87
2000-11-07,108.29
2000-11-08,103.24
2000-11-09,103.44
2000-11-10,106.38
2000-11-12,76.08
2000-11-13,102.86
2000-11-14,98.74
2000-11-15,98.94
2000-11-16,97.96
2000-11-17,96.63
2000-11-20,91.12
2000-11-21,89.28
2000-11-22,82.6
2000-11-23,85.76
2000-11-24,84.6
2000-11-27,83.66
2000-11-28,75.44
2000-11-29,71.55
2000-11-30,71.61
2000-12-01,191.4335
2000-12-04,151.2
2000-12-05,61.05
2000-12-06,153.21
2000-12-07,134.72
2000-12-08,68.35
2000-12-09,102.61
2000-12-10,104.94
2000-12-11,76.08
2000-12-12,75.01
2000-12-13,68.65
2000-12-14,73.69
2000-12-15,81.25
2000-12-18,75.71
2000-12-19,74.5
2000-12-20,73.25
2000-12-21,75.02
2000-12-22,77.61
2000-12-25,
2000-12-26,
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,78.37
2001-01-03,76.53
2001-01-04,79.28
2001-01-05,80.58
2001-01-06,69.58
2001-01-08,80.65
2001-01-09,82.4
2001-01-10,86.64
2001-01-11,91.2
2001-01-12,86.61
2001-01-15,85.26
2001-01-16,82.73
2001-01-17,82.15
2001-01-18,85.02
2001-01-19,82.76
2001-01-22,84.17
2001-01-23,79.54
2001-01-24,82.21
2001-01-25,80.68
2001-01-26,80.97
2001-01-29,78.31
2001-01-30,77.59
2001-01-31,77.06
2001-02-01,77.37
2001-02-02,77.23
2001-02-03,70.15
2001-02-04,56.89
2001-02-05,73.69
2001-02-06,71.19
2001-02-07,70.61
2001-02-08,59.62
2001-02-09,67.4
2001-02-10,48.2
2001-02-11,73.74
2001-02-12,64.06
2001-02-13,62.3
2001-02-14,64.84
2001-02-15,66.34
2001-02-16,65.42
2001-02-19,58.85
2001-02-20,55.84
2001-02-21,49.7
2001-02-22,52.09
2001-02-23,55.51
2001-02-26,63.08
2001-02-27,65.49
2001-02-28,65.67
2001-03-01,69.62
2001-03-02,70.15
2001-03-04,56.59
2001-03-05,81.78
2001-03-06,
2001-03-07,69.66
2001-03-08,59.52
2001-03-09,
2001-03-10,48.77
2001-03-12,68.91
2001-03-13,63.33
2001-03-14,65.83
2001-03-15,63.21
2001-03-16,66.67
2001-03-19,65.47
2001-03-20,65.61
2001-03-21,66.12
2001-03-22,61.1
2001-03-23,61.49
2001-03-26,62.36
2001-03-27,58.68
2001-03-28,54.35
2001-03-29,53.05
2001-03-30,55.51
2001-04-01,79.28
2001-04-02,56.89
2001-04-03,56.59
2001-04-04,56.83
2001-04-05,83.83
2001-04-06,60.78
2001-04-07,68.91
2001-04-09,60.72
2001-04-10,60.07
2001-04-11,59.46
2001-04-12,62.09
2001-04-13,63.46
2001-04-16,63.58
2001-04-17,63.89
2001-04-18,64.35
2001-04-19,66.52
2001-04-20,66.74
2001-04-23,
2001-04-24,67.44
