Tarih,TP_ITHISICREV4_TT
2016-06-01,19866846.221
2016-07-01,15128604.111
2016-08-01,16859473.73
2016-09-01,15644417.046
2016-10-01,17023966.733
2016-11-01,17023106.095
2016-12-01,18560109.87
2017-01-01,16090782.41
2017-02-01,16266371.713
2017-03-01,19443396.974
2017-04-01,17863642.558
2017-05-01,21342618.9
2017-06-01,19570302.007
2017-07-01,21886375.191
2017-08-01,19473137.026
2017-09-01,20792641.51
2017-10-01,21653372.885
2017-11-01,20984733.452
2017-12-01,23347753.286
2018-01-01,22177186.457
2018-02-01,19877242.641
2018-03-01,22262238.298
2018-04-01,21203475.43
2018-05-01,23190666.032
2018-06-01,19542776.716
2018-07-01,20957948.646
2018-08-01,15566872.96
2018-09-01,16931336.456
2018-10-01,16402671.366
2018-11-01,16295393.465
2018-12-01,16744674.178
2019-01-01,16164882.392
2019-02-01,16056511.004
2019-03-01,18250424.053
2019-04-01,18073122.744
2019-05-01,18540975.384
2019-06-01,15064938.704
2019-07-01,19229093.978
2019-08-01,15564693.229
2019-09-01,16940616.388
2019-10-01,18176350.241
2019-11-01,18228550.675
2019-12-01,20056730.816
2020-01-01,19214398.178
2020-02-01,17643981.702
2020-03-01,18822162.535
2020-04-01,13559434.963
2020-05-01,13393625.167
2020-06-01,16318144.199
2020-07-01,17717772.843
2020-08-01,18753214.226
2020-09-01,20846245.265
2020-10-01,19713269.082
2020-11-01,21142392.396
2020-12-01,22385196.412
2021-01-01,18065287.0
2021-02-01,19299649.0
2021-03-01,23621772.0
2021-04-01,21836914.0
2021-05-01,20624350.0
2021-06-01,22610957.0
2021-07-01,20686249.0
2021-08-01,23166487.0
2021-09-01,23320429.0
2021-10-01,22223334.0
2021-11-01,26901852.0
2021-12-01,29065813.0
2022-01-01,27843690.0
2022-02-01,27884541.0
2022-03-01,30876581.0
2022-04-01,29478504.0
2022-05-01,29588390.0
2022-06-01,31595085.0
2022-07-01,29238596.0
2022-08-01,32532085.0
2022-09-01,32203936.0
2022-10-01,29202395.0
2022-11-01,30655219.0
2022-12-01,32611552.0
2023-01-01,33621846.0
2023-02-01,30695902.0
2023-03-01,31938752.0
2023-04-01,27988326.0
2023-05-01,34125638.0
2023-06-01,26071482.0
2023-07-01,32311359.0
2023-08-01,30268059.0
2023-09-01,27506433.0
2023-10-01,29407654.0
2023-11-01,28973697.0
2023-12-01,29057765.0
2024-01-01,26186038.0
2024-02-01,27859429.0
2024-03-01,29951123.0
2024-04-01,29183794.0
2024-05-01,30648252.0
2024-06-01,24904342.0
2024-07-01,29780778.0
2024-08-01,27004525.0
2024-09-01,27117093.0
2024-10-01,29411784.0
2024-11-01,29745132.0
2024-12-01,32217983.0
2025-01-01,28671638.0
2025-02-01,28526246.0
2025-03-01,30601723.0
2025-04-01,32892423.0
2025-05-01,31458734.0
2025-06-01,28686610.0
2025-07-01,31381426.0
2025-08-01,25939978.0
