Tarih,TP_ITHISICREV4_02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,9147.005
2013-02-01,9828.361
2013-03-01,12061.616
2013-04-01,11287.078
2013-05-01,15044.933
2013-06-01,10650.305
2013-07-01,6706.033
2013-08-01,7404.91
2013-09-01,8788.618
2013-10-01,5119.456
2013-11-01,8283.963
2013-12-01,6652.803
2014-01-01,7872.889
2014-02-01,6717.78
2014-03-01,7004.718
2014-04-01,11264.387
2014-05-01,11625.175
2014-06-01,9131.728
2014-07-01,8780.266
2014-08-01,8028.552
2014-09-01,9449.943
2014-10-01,8705.682
2014-11-01,6966.447
2014-12-01,8448.376
2015-01-01,7682.629
2015-02-01,8788.818
2015-03-01,9006.852
2015-04-01,7227.089
2015-05-01,8830.7
2015-06-01,9382.734
2015-07-01,8467.807
2015-08-01,8212.813
2015-09-01,5420.107
2015-10-01,6003.313
2015-11-01,6152.716
2015-12-01,6120.276
2016-01-01,5389.015
2016-02-01,6247.09
2016-03-01,7734.695
2016-04-01,8600.807
2016-05-01,6204.394
2016-06-01,10030.127
2016-07-01,4634.598
2016-08-01,4695.165
2016-09-01,4153.257
