Tarih,TP_ITHISICREV4_E
2016-10-01,320429.948
2016-11-01,462878.369
2016-12-01,432157.128
2017-01-01,437699.12
2017-02-01,307280.651
2017-03-01,509315.482
2017-04-01,497665.459
2017-05-01,647872.303
2017-06-01,433078.181
2017-07-01,611896.202
2017-08-01,511040.89
2017-09-01,695345.977
2017-10-01,802428.217
2017-11-01,698122.762
2017-12-01,730081.051
2018-01-01,621955.922
2018-02-01,699356.969
2018-03-01,731640.287
2018-04-01,756868.299
2018-05-01,684915.307
2018-06-01,719325.347
2018-07-01,744988.818
2018-08-01,708171.147
2018-09-01,477212.463
2018-10-01,608042.161
2018-11-01,552463.537
2018-12-01,603220.707
2019-01-01,452597.671
2019-02-01,349712.331
2019-03-01,593663.712
2019-04-01,712909.877
2019-05-01,680388.411
2019-06-01,489641.33
2019-07-01,642325.715
2019-08-01,502400.186
2019-09-01,587980.774
2019-10-01,381091.139
2019-11-01,473324.443
2019-12-01,600595.27
2020-01-01,567774.652
2020-02-01,578444.893
2020-03-01,609547.898
2020-04-01,538693.222
2020-05-01,366056.809
2020-06-01,466794.294
2020-07-01,720003.472
2020-08-01,587169.009
2020-09-01,691105.981
2020-10-01,635800.162
2020-11-01,704126.838
2020-12-01,858629.875
2021-01-01,751592.0
2021-02-01,978283.0
2021-03-01,1133906.0
2021-04-01,1248040.0
2021-05-01,1046846.0
2021-06-01,1092272.0
2021-07-01,1271329.0
2021-08-01,1121940.0
2021-09-01,934404.0
2021-10-01,867840.0
2021-11-01,1152758.0
2021-12-01,1420541.0
2022-01-01,1171512.0
2022-02-01,1144335.0
2022-03-01,1218407.0
2022-04-01,1397397.0
2022-05-01,1557487.0
2022-06-01,1123013.0
2022-07-01,781746.0
2022-08-01,791575.0
2022-09-01,698028.0
2022-10-01,683517.0
2022-11-01,653564.0
2022-12-01,594568.0
2023-01-01,616132.0
2023-02-01,588686.0
2023-03-01,1122295.0
2023-04-01,854227.0
2023-05-01,922064.0
2023-06-01,616494.0
2023-07-01,870012.0
2023-08-01,715370.0
2023-09-01,499414.0
2023-10-01,700666.0
2023-11-01,716485.0
2023-12-01,744404.0
2024-01-01,841927.0
2024-02-01,824794.0
2024-03-01,941883.0
2024-04-01,783232.0
2024-05-01,896279.0
2024-06-01,652405.0
2024-07-01,782033.0
2024-08-01,929290.0
2024-09-01,720131.0
2024-10-01,723071.0
2024-11-01,842331.0
2024-12-01,874904.0
2025-01-01,666161.0
2025-02-01,687580.0
2025-03-01,760096.0
2025-04-01,866545.0
2025-05-01,805267.0
2025-06-01,595368.0
2025-07-01,676223.0
2025-08-01,627724.0
