Tarih,TP_ITHISICREV4_05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,62704.789
2013-02-01,39638.032
2013-03-01,64595.237
2013-04-01,155517.287
2013-05-01,11329.467
2013-06-01,81136.774
2013-07-01,85674.969
2013-08-01,69399.247
2013-09-01,67132.754
2013-10-01,23743.402
2013-11-01,84455.342
2013-12-01,82062.156
2014-01-01,99264.552
2014-02-01,33414.362
2014-03-01,56697.939
2014-04-01,91277.458
2014-05-01,96960.485
2014-06-01,29180.154
2014-07-01,75586.05
2014-08-01,60458.207
2014-09-01,40257.832
2014-10-01,67531.082
2014-11-01,60492.642
2014-12-01,76309.664
2015-01-01,240274.133
2015-02-01,264514.485
2015-03-01,246449.521
2015-04-01,261917.801
2015-05-01,238168.808
2015-06-01,232698.204
2015-07-01,182818.126
2015-08-01,240267.738
2015-09-01,230698.276
2015-10-01,242386.342
2015-11-01,253085.21
2015-12-01,295810.244
2016-01-01,200231.582
2016-02-01,246094.421
2016-03-01,209682.949
2016-04-01,151653.554
2016-05-01,151857.843
2016-06-01,213473.095
2016-07-01,208376.546
2016-08-01,204725.512
2016-09-01,168625.817
