Tarih,TP_ITHISICREV4_D
2016-10-01,20894.589
2016-11-01,21486.539
2016-12-01,15429.854
2017-01-01,25880.285
2017-02-01,1523.126
2017-03-01,3191.26
2017-04-01,6171.895
2017-05-01,2834.477
2017-06-01,3870.053
2017-07-01,4322.304
2017-08-01,6988.087
2017-09-01,5909.746
2017-10-01,19874.263
2017-11-01,2331.251
2017-12-01,2604.361
2018-01-01,4808.736
2018-02-01,3998.339
2018-03-01,2326.621
2018-04-01,4046.805
2018-05-01,9341.718
2018-06-01,5644.961
2018-07-01,5303.796
2018-08-01,5998.38
2018-09-01,5515.274
2018-10-01,3123.6
2018-11-01,3422.859
2018-12-01,3499.783
2019-01-01,1820.415
2019-02-01,91.267
2019-03-01,2770.166
2019-04-01,4203.987
2019-05-01,2173.548
2019-06-01,2471.704
2019-07-01,3624.619
2019-08-01,2651.217
2019-09-01,5837.338
2019-10-01,4151.466
2019-11-01,2438.584
2019-12-01,8373.264
2020-01-01,7662.345
2020-02-01,5400.264
2020-03-01,6525.093
2020-04-01,4949.799
2020-05-01,3213.973
2020-06-01,7346.68
2020-07-01,11461.763
2020-08-01,4534.888
2020-09-01,1397.208
2020-10-01,1114.156
2020-11-01,1475.877
2020-12-01,490.047
2021-01-01,582.0
2021-02-01,1374.0
2021-03-01,1420.0
2021-04-01,178.0
2021-05-01,209.0
2021-06-01,1540.0
2021-07-01,4438.0
2021-08-01,3146.0
2021-09-01,8317.0
2021-10-01,7026.0
2021-11-01,14806.0
2021-12-01,10972.0
2022-01-01,11701.0
2022-02-01,12802.0
2022-03-01,11337.0
2022-04-01,10357.0
2022-05-01,16239.0
2022-06-01,20941.0
2022-07-01,33231.0
2022-08-01,47496.0
2022-09-01,53587.0
2022-10-01,55792.0
2022-11-01,94956.0
2022-12-01,108109.0
2023-01-01,109761.0
2023-02-01,127942.0
2023-03-01,63773.0
2023-04-01,52401.0
2023-05-01,24923.0
2023-06-01,28905.0
2023-07-01,17205.0
2023-08-01,25976.0
2023-09-01,35854.0
2023-10-01,29337.0
2023-11-01,37672.0
2023-12-01,28481.0
2024-01-01,34862.0
2024-02-01,6457.0
2024-03-01,7165.0
2024-04-01,12725.0
2024-05-01,8353.0
2024-06-01,13638.0
2024-07-01,16491.0
2024-08-01,9861.0
2024-09-01,28411.0
2024-10-01,24775.0
2024-11-01,2419.0
2024-12-01,1192.0
2025-01-01,456.0
2025-02-01,222.0
2025-03-01,35.0
2025-04-01,2643.0
2025-05-01,10214.0
2025-06-01,15070.0
2025-07-01,15943.0
2025-08-01,9225.0
