Tarih,TP_ITHISICREV4_M
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,56.224
2013-02-01,110.405
2013-03-01,113.055
2013-04-01,74.747
2013-05-01,74.287
2013-06-01,97.517
2013-07-01,124.694
2013-08-01,55.658
2013-09-01,64.672
2013-10-01,145.163
2013-11-01,67.791
2013-12-01,186.87
2014-01-01,54.23
2014-02-01,139.382
2014-03-01,1941.952
2014-04-01,65.727
2014-05-01,116.036
2014-06-01,101.274
2014-07-01,163.625
2014-08-01,78.331
2014-09-01,65.199
2014-10-01,134.409
2014-11-01,75.704
2014-12-01,134.167
2015-01-01,100.677
2015-02-01,58.917
2015-03-01,204.54
2015-04-01,238.689
2015-05-01,199.472
2015-06-01,240.113
2015-07-01,419.741
2015-08-01,72.432
2015-09-01,92.961
2015-10-01,128.404
2015-11-01,893.58
2015-12-01,68.007
2016-01-01,114.852
2016-02-01,101.544
2016-03-01,49.844
2016-04-01,91.833
2016-05-01,78.017
2016-06-01,538.508
2016-07-01,79.925
2016-08-01,74.671
2016-09-01,134.676
2016-10-01,109.881
2016-11-01,105.838
2016-12-01,344.753
2017-01-01,138.934
