Tarih,TP_ITHISICREV4_M
2017-02-01,482.496
2017-03-01,150.125
2017-04-01,1267.356
2017-05-01,155.842
2017-06-01,86.598
2017-07-01,154.524
2017-08-01,76.242
2017-09-01,564.341
2017-10-01,76.512
2017-11-01,39.233
2017-12-01,115.893
2018-01-01,122.775
2018-02-01,55.586
2018-03-01,56.868
2018-04-01,57.295
2018-05-01,211.174
2018-06-01,203.089
2018-07-01,80.513
2018-08-01,26.703
2018-09-01,70.191
2018-10-01,110.217
2018-11-01,35.034
2018-12-01,572.189
2019-01-01,31.846
2019-02-01,24.139
2019-03-01,39.394
2019-04-01,32.948
2019-05-01,30.566
2019-06-01,31.946
2019-07-01,15.69
2019-08-01,7.843
2019-09-01,137.665
2019-10-01,26.69
2019-11-01,22.938
2019-12-01,46.719
2020-01-01,3.185
2020-02-01,8.799
2020-03-01,15.391
2020-04-01,14.334
2020-05-01,8.623
2020-06-01,13.489
2020-07-01,9.482
2020-08-01,19.632
2020-09-01,46.459
2020-10-01,20.593
2020-11-01,4.781
2020-12-01,129.939
2021-01-01,44.0
2021-02-01,106.0
2021-03-01,114.0
2021-04-01,13.0
2021-05-01,25.0
2021-06-01,16.0
2021-07-01,9.0
2021-08-01,48.0
2021-09-01,45.0
2021-10-01,10.0
2021-11-01,33.0
2021-12-01,20.0
2022-01-01,789.0
2022-02-01,52.0
2022-03-01,280.0
2022-04-01,5.0
2022-05-01,15.0
2022-06-01,16.0
2022-07-01,42.0
2022-08-01,42.0
2022-09-01,19.0
2022-10-01,19.0
2022-11-01,15.0
2022-12-01,82.0
2023-01-01,271.0
2023-02-01,26.0
2023-03-01,32.0
2023-04-01,22.0
2023-05-01,21.0
2023-06-01,27.0
2023-07-01,35.0
2023-08-01,52.0
2023-09-01,25.0
2023-10-01,23.0
2023-11-01,14.0
2023-12-01,56.0
2024-01-01,844.0
2024-02-01,37.0
2024-03-01,33.0
2024-04-01,26.0
2024-05-01,22.0
2024-06-01,10.0
2024-07-01,228.0
2024-08-01,20.0
2024-09-01,13.0
2024-10-01,15.0
2024-11-01,9.0
2024-12-01,52.0
2025-01-01,178.0
2025-02-01,16.0
2025-03-01,16.0
2025-04-01,36.0
2025-05-01,32.0
2025-06-01,17.0
2025-07-01,97.0
2025-08-01,40.0
