Tarih,TP_ITHISICREV4_C
2016-06-01,17190563.075
2016-07-01,12770578.962
2016-08-01,14288197.341
2016-09-01,13421657.918
2016-10-01,14535909.82
2016-11-01,14161051.019
2016-12-01,15340834.323
2017-01-01,12557227.307
2017-02-01,13182264.933
2017-03-01,15849966.502
2017-04-01,14419774.901
2017-05-01,17398611.624
2017-06-01,16522496.952
2017-07-01,18448042.072
2017-08-01,16174307.037
2017-09-01,17304466.277
2017-10-01,17912070.473
2017-11-01,17128310.479
2017-12-01,18968436.119
2018-01-01,17849160.947
2018-02-01,15981661.375
2018-03-01,18370015.926
2018-04-01,17271342.09
2018-05-01,19333373.148
2018-06-01,15897159.89
2018-07-01,16643826.771
2018-08-01,11873319.507
2018-09-01,13406369.345
2018-10-01,12536131.153
2018-11-01,12849291.807
2018-12-01,12451476.342
2019-01-01,11893561.63
2019-02-01,12337205.185
2019-03-01,13763794.882
2019-04-01,13806625.642
2019-05-01,14198389.603
2019-06-01,11745984.75
2019-07-01,15022657.283
2019-08-01,11849565.572
2019-09-01,13203884.771
2019-10-01,14401129.102
2019-11-01,14350214.085
2019-12-01,15571409.882
2020-01-01,14564404.029
2020-02-01,13748050.927
2020-03-01,15115266.948
2020-04-01,10948082.27
2020-05-01,11001914.912
2020-06-01,13839345.162
2020-07-01,14575302.827
2020-08-01,16062705.956
2020-09-01,17430929.345
2020-10-01,16705087.928
2020-11-01,17532905.497
2020-12-01,18277381.279
2021-01-01,14232658.0
2021-02-01,15370915.0
2021-03-01,18707605.0
2021-04-01,16991717.0
2021-05-01,16176429.0
2021-06-01,17795679.0
2021-07-01,15463875.0
2021-08-01,17620185.0
2021-09-01,18090654.0
2021-10-01,16132913.0
2021-11-01,19278897.0
2021-12-01,20119994.0
2022-01-01,17589142.0
2022-02-01,18994032.0
2022-03-01,21499317.0
2022-04-01,20349073.0
2022-05-01,21562964.0
2022-06-01,22821062.0
2022-07-01,21414880.0
2022-08-01,23411379.0
2022-09-01,23678814.0
2022-10-01,21829138.0
2022-11-01,23241519.0
2022-12-01,24723324.0
2023-01-01,24745841.0
2023-02-01,23644988.0
2023-03-01,25385091.0
2023-04-01,22463026.0
2023-05-01,28105304.0
2023-06-01,21450380.0
2023-07-01,27384702.0
2023-08-01,25469358.0
2023-09-01,22993307.0
2023-10-01,24306651.0
2023-11-01,23512335.0
2023-12-01,22618866.0
2024-01-01,19732679.0
2024-02-01,22165412.0
2024-03-01,24401423.0
2024-04-01,24107649.0
2024-05-01,25419126.0
2024-06-01,20345079.0
2024-07-01,24713541.0
2024-08-01,22041949.0
2024-09-01,22761022.0
2024-10-01,24948893.0
2024-11-01,23962006.0
2024-12-01,25468092.0
2025-01-01,22163353.0
2025-02-01,21840333.0
2025-03-01,24085014.0
2025-04-01,26914107.0
2025-05-01,26491035.0
2025-06-01,23943436.0
2025-07-01,26235623.0
2025-08-01,21351974.0
