Tarih,TP_ITHISICREV4_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,15010556.127
2013-02-01,15829920.29
2013-03-01,16776650.921
2013-04-01,18845031.316
2013-05-01,19143505.327
2013-06-01,17507423.148
2013-07-01,19490064.238
2013-08-01,15000796.392
2013-09-01,16749446.686
2013-10-01,16223904.655
2013-11-01,17278691.712
2013-12-01,18321978.621
2014-01-01,15153302.646
2014-02-01,14478518.187
2014-03-01,16661769.964
2014-04-01,16745915.803
2014-05-01,16955506.313
2014-06-01,17222292.246
2014-07-01,16336024.613
2014-08-01,15949570.848
2014-09-01,16894380.055
2014-10-01,15654499.222
2014-11-01,17062388.543
2014-12-01,17661766.989
2015-01-01,12893834.64
2015-02-01,13714949.082
2015-03-01,15531076.562
2015-04-01,15517265.279
2015-05-01,14797930.145
2015-06-01,15387711.576
2015-07-01,15893087.279
2015-08-01,13523979.451
2015-09-01,13138975.866
2015-10-01,14429480.693
2015-11-01,13262553.697
2015-12-01,15019420.04
2016-01-01,10985508.463
2016-02-01,13642619.56
2016-03-01,15564951.92
2016-04-01,13953027.408
2016-05-01,15104207.684
