Tarih,TP_AKONUTSAT2_TOPLAM
2016-09-01,42083.0
2016-10-01,48110.0
2016-11-01,48941.0
2016-12-01,49076.0
2017-01-01,35993.0
2017-02-01,38676.0
2017-03-01,50424.0
2017-04-01,43334.0
2017-05-01,41738.0
2017-06-01,35210.0
2017-07-01,38575.0
2017-08-01,38743.0
2017-09-01,40534.0
2017-10-01,38593.0
2017-11-01,37250.0
2017-12-01,34029.0
2018-01-01,28678.0
2018-02-01,27916.0
2018-03-01,32786.0
2018-04-01,27912.0
2018-05-01,36865.0
2018-06-01,47648.0
2018-07-01,30405.0
2018-08-01,12743.0
2018-09-01,11330.0
2018-10-01,8065.0
2018-11-01,5324.0
2018-12-01,7148.0
2019-01-01,6537.0
2019-02-01,8890.0
2019-03-01,22762.0
2019-04-01,22461.0
2019-05-01,14916.0
2019-06-01,7319.0
2019-07-01,13064.0
2019-08-01,34148.0
2019-09-01,57811.0
2019-10-01,50411.0
2019-11-01,43911.0
2019-12-01,50278.0
2020-01-01,42237.0
2020-02-01,43733.0
2020-03-01,43329.0
2020-04-01,17088.0
2020-05-01,18483.0
2020-06-01,101504.0
2020-07-01,130721.0
2020-08-01,76019.0
2020-09-01,35576.0
2020-10-01,25566.0
2020-11-01,24450.0
2020-12-01,14631.0
2021-01-01,10732.0
2021-02-01,14669.0
2021-03-01,21815.0
2021-04-01,17514.0
2021-05-01,10560.0
2021-06-01,28878.0
2021-07-01,20553.0
2021-08-01,27375.0
2021-09-01,29759.0
2021-10-01,28049.0
2021-11-01,39366.0
2021-12-01,45260.0
2022-01-01,18183.0
2022-02-01,19888.0
2022-03-01,30271.0
2022-04-01,32030.0
2022-05-01,29335.0
2022-06-01,40610.0
2022-07-01,19146.0
2022-08-01,22168.0
2022-09-01,16970.0
2022-10-01,13268.0
2022-11-01,16655.0
2022-12-01,21796.0
2023-01-01,16203.0
2023-02-01,17357.0
2023-03-01,25262.0
2023-04-01,21769.0
2023-05-01,27476.0
2023-06-01,13463.0
2023-07-01,14533.0
2023-08-01,16375.0
2023-09-01,8446.0
2023-10-01,5577.0
2023-11-01,5245.0
2023-12-01,6042.0
2024-01-01,5915.0
2024-02-01,8827.0
2024-03-01,12880.0
2024-04-01,7071.0
2024-05-01,9909.0
2024-06-01,6813.0
2024-07-01,11496.0
2024-08-01,13574.0
2024-09-01,15825.0
2024-10-01,21095.0
2024-11-01,21804.0
2024-12-01,23277.0
2025-01-01,16726.0
2025-02-01,16778.0
2025-03-01,18225.0
2025-04-01,17465.0
2025-05-01,19412.0
2025-06-01,14484.0
2025-07-01,18425.0
2025-08-01,19712.0
2025-09-01,21266.0
