Tarih,TP_ODEYDIEBS_A213
2017-05-01,33.0
2017-06-01,22.0
2017-07-01,759.0
2017-08-01,9.0
2017-09-01,600.0
2017-10-01,479.0
2017-11-01,887.0
2017-12-01,27.0
2018-01-01,34.0
2018-02-01,389.0
2018-03-01,741.0
2018-04-01,607.0
2018-05-01,209.0
2018-06-01,230.0
2018-07-01,150.0
2018-08-01,18.0
2018-09-01,
2018-10-01,1355.0
2018-11-01,10.0
2018-12-01,542.0
2019-01-01,35.0
2019-02-01,125.0
2019-03-01,317.0
2019-04-01,1770.0
2019-05-01,4.0
2019-06-01,1448.0
2019-07-01,1566.0
2019-08-01,
2019-09-01,16.0
2019-10-01,1650.0
2019-11-01,
2019-12-01,12.0
2020-01-01,952.0
2020-02-01,1372.0
2020-03-01,6.0
2020-04-01,1100.0
2020-05-01,46.0
2020-06-01,74.0
2020-07-01,
2020-08-01,
2020-09-01,5.0
2020-10-01,
2020-11-01,
2020-12-01,25.0
2021-01-01,
2021-02-01,1000.0
2021-03-01,417.0
2021-04-01,1000.0
2021-05-01,902.0
2021-06-01,750.0
2021-07-01,500.0
2021-08-01,
2021-09-01,529.0
2021-10-01,1250.0
2021-11-01,20.0
2021-12-01,
2022-01-01,167.0
2022-02-01,654.0
2022-03-01,830.0
2022-04-01,625.0
2022-05-01,1850.0
2022-06-01,87.0
2022-07-01,
2022-08-01,18.0
2022-09-01,1260.0
2022-10-01,1600.0
2022-11-01,938.0
2022-12-01,1027.0
2023-01-01,1373.0
2023-02-01,36.0
2023-03-01,975.0
2023-04-01,359.0
2023-05-01,45.0
2023-06-01,45.0
2023-07-01,53.0
2023-08-01,44.0
2023-09-01,566.0
2023-10-01,583.0
2023-11-01,82.0
2023-12-01,762.0
2024-01-01,1307.0
2024-02-01,285.0
2024-03-01,970.0
2024-04-01,1365.0
2024-05-01,865.0
2024-06-01,738.0
2024-07-01,400.0
2024-08-01,114.0
2024-09-01,962.0
2024-10-01,958.0
2024-11-01,449.0
2024-12-01,556.0
2025-01-01,1474.0
2025-02-01,1209.0
2025-03-01,1475.0
2025-04-01,213.0
2025-05-01,737.0
2025-06-01,167.0
2025-07-01,499.0
2025-08-01,305.0
