Tarih,TP_ODEYDIEBS_A31
2016-04-01,524.0
2016-05-01,316.0
2016-06-01,176.0
2016-07-01,318.0
2016-08-01,345.0
2016-09-01,609.0
2016-10-01,485.0
2016-11-01,277.0
2016-12-01,178.0
2017-01-01,349.0
2017-02-01,439.0
2017-03-01,526.0
2017-04-01,702.0
2017-05-01,385.0
2017-06-01,185.0
2017-07-01,331.0
2017-08-01,343.0
2017-09-01,672.0
2017-10-01,706.0
2017-11-01,446.0
2017-12-01,178.0
2018-01-01,221.0
2018-02-01,345.0
2018-03-01,703.0
2018-04-01,847.0
2018-05-01,491.0
2018-06-01,242.0
2018-07-01,284.0
2018-08-01,412.0
2018-09-01,610.0
2018-10-01,638.0
2018-11-01,462.0
2018-12-01,164.0
2019-01-01,269.0
2019-02-01,379.0
2019-03-01,588.0
2019-04-01,770.0
2019-05-01,497.0
2019-06-01,337.0
2019-07-01,299.0
2019-08-01,466.0
2019-09-01,632.0
2019-10-01,739.0
2019-11-01,374.0
2019-12-01,293.0
2020-01-01,267.0
2020-02-01,666.0
2020-03-01,754.0
2020-04-01,831.0
2020-05-01,446.0
2020-06-01,329.0
2020-07-01,304.0
2020-08-01,449.0
2020-09-01,796.0
2020-10-01,637.0
2020-11-01,405.0
2020-12-01,277.0
2021-01-01,329.0
2021-02-01,637.0
2021-03-01,856.0
2021-04-01,916.0
2021-05-01,325.0
2021-06-01,336.0
2021-07-01,464.0
2021-08-01,514.0
2021-09-01,768.0
2021-10-01,725.0
2021-11-01,450.0
2021-12-01,277.0
2022-01-01,463.0
2022-02-01,602.0
2022-03-01,846.0
2022-04-01,757.0
2022-05-01,370.0
2022-06-01,306.0
2022-07-01,490.0
2022-08-01,562.0
2022-09-01,804.0
2022-10-01,651.0
2022-11-01,356.0
2022-12-01,251.0
2023-01-01,501.0
2023-02-01,647.0
2023-03-01,756.0
2023-04-01,813.0
2023-05-01,466.0
2023-06-01,292.0
2023-07-01,915.0
2023-08-01,612.0
2023-09-01,727.0
2023-10-01,610.0
2023-11-01,461.0
2023-12-01,286.0
2024-01-01,857.0
2024-02-01,735.0
2024-03-01,789.0
2024-04-01,711.0
2024-05-01,534.0
2024-06-01,254.0
2024-07-01,1180.0
2024-08-01,660.0
2024-09-01,676.0
2024-10-01,755.0
2024-11-01,506.0
2024-12-01,325.0
2025-01-01,1246.0
2025-02-01,686.0
2025-03-01,643.0
2025-04-01,743.0
2025-05-01,682.0
2025-06-01,371.0
2025-07-01,1405.0
2025-08-01,649.0
