Tarih,TP_UNDNAKLIYE_TBG_RU_ADET
2016-06-01,104.0
2016-07-01,62.0
2016-08-01,13.0
2016-09-01,161.0
2016-10-01,832.0
2016-11-01,1749.0
2016-12-01,1970.0
2017-01-01,1002.0
2017-02-01,998.0
2017-03-01,606.0
2017-04-01,598.0
2017-05-01,590.0
2017-06-01,1762.0
2017-07-01,1081.0
2017-08-01,1285.0
2017-09-01,1128.0
2017-10-01,2375.0
2017-11-01,2883.0
2017-12-01,2597.0
2018-01-01,1591.0
2018-02-01,1786.0
2018-03-01,1883.0
2018-04-01,1936.0
2018-05-01,1665.0
2018-06-01,1660.0
2018-07-01,678.0
2018-08-01,853.0
2018-09-01,994.0
2018-10-01,1380.0
2018-11-01,1576.0
2018-12-01,1610.0
2019-01-01,868.0
2019-02-01,1153.0
2019-03-01,1463.0
2019-04-01,1294.0
2019-05-01,759.0
2019-06-01,30.0
2019-07-01,1202.0
2019-08-01,1063.0
2019-09-01,1059.0
2019-10-01,2667.0
2019-11-01,2433.0
2019-12-01,2673.0
2020-01-01,1442.0
2020-02-01,1792.0
2020-03-01,1926.0
2020-04-01,1753.0
2020-05-01,1579.0
2020-06-01,2631.0
2020-07-01,1907.0
2020-08-01,1343.0
2020-09-01,1258.0
2020-10-01,2963.0
2020-11-01,3452.0
2020-12-01,100.0
2021-01-01,2131.0
2021-02-01,2531.0
2021-03-01,2931.0
2021-04-01,2285.0
2021-05-01,2519.0
2021-06-01,2762.0
2021-07-01,1738.0
2021-08-01,1542.0
2021-09-01,1954.0
2021-10-01,3371.0
2021-11-01,3059.0
2021-12-01,3034.0
2022-01-01,2294.0
2022-02-01,2318.0
2022-03-01,2226.0
2022-04-01,2286.0
2022-05-01,3418.0
2022-06-01,3581.0
2022-07-01,3449.0
2022-08-01,3333.0
2022-09-01,3172.0
2022-10-01,4312.0
2022-11-01,5075.0
2022-12-01,4912.0
2023-01-01,4448.0
2023-02-01,2283.0
2023-03-01,3393.0
2023-04-01,2612.0
2023-05-01,3147.0
2023-06-01,3781.0
2023-07-01,1849.0
2023-08-01,1822.0
2023-09-01,1849.0
2023-10-01,2973.0
2023-11-01,2940.0
2023-12-01,3805.0
2024-01-01,3152.0
2024-02-01,3004.0
2024-03-01,3139.0
2024-04-01,2440.0
2024-05-01,2868.0
2024-06-01,3523.0
2024-07-01,2020.0
2024-08-01,1751.0
2024-09-01,1781.0
2024-10-01,2168.0
2024-11-01,2526.0
2024-12-01,2623.0
2025-01-01,2709.0
2025-02-01,2571.0
2025-03-01,3472.0
2025-04-01,2219.0
2025-05-01,1826.0
2025-06-01,
2025-07-01,726.0
2025-08-01,764.0
2025-09-01,980.0
