Tarih,TP_UNDNAKLIYE_TBG_GR_ADET
2016-07-01,946.0
2016-08-01,1359.0
2016-09-01,1402.0
2016-10-01,1388.0
2016-11-01,1337.0
2016-12-01,1412.0
2017-01-01,902.0
2017-02-01,985.0
2017-03-01,1160.0
2017-04-01,1112.0
2017-05-01,1002.0
2017-06-01,1238.0
2017-07-01,1073.0
2017-08-01,1002.0
2017-09-01,837.0
2017-10-01,894.0
2017-11-01,905.0
2017-12-01,1201.0
2018-01-01,832.0
2018-02-01,966.0
2018-03-01,1187.0
2018-04-01,1112.0
2018-05-01,1233.0
2018-06-01,1127.0
2018-07-01,1277.0
2018-08-01,1041.0
2018-09-01,1529.0
2018-10-01,1811.0
2018-11-01,1859.0
2018-12-01,1415.0
2019-01-01,966.0
2019-02-01,874.0
2019-03-01,1110.0
2019-04-01,1009.0
2019-05-01,1273.0
2019-06-01,1232.0
2019-07-01,1824.0
2019-08-01,1328.0
2019-09-01,1601.0
2019-10-01,1284.0
2019-11-01,1091.0
2019-12-01,1144.0
2020-01-01,648.0
2020-02-01,1040.0
2020-03-01,940.0
2020-04-01,495.0
2020-05-01,936.0
2020-06-01,1308.0
2020-07-01,1808.0
2020-08-01,1036.0
2020-09-01,1485.0
2020-10-01,1465.0
2020-11-01,1048.0
2020-12-01,1178.0
2021-01-01,1056.0
2021-02-01,1074.0
2021-03-01,1467.0
2021-04-01,1738.0
2021-05-01,1452.0
2021-06-01,1856.0
2021-07-01,1887.0
2021-08-01,1878.0
2021-09-01,2098.0
2021-10-01,2111.0
2021-11-01,1839.0
2021-12-01,2238.0
2022-01-01,1805.0
2022-02-01,1945.0
2022-03-01,2315.0
2022-04-01,2686.0
2022-05-01,1970.0
2022-06-01,2562.0
2022-07-01,2334.0
2022-08-01,2421.0
2022-09-01,2604.0
2022-10-01,2011.0
2022-11-01,1812.0
2022-12-01,1606.0
2023-01-01,1166.0
2023-02-01,1232.0
2023-03-01,1451.0
2023-04-01,1454.0
2023-05-01,1700.0
2023-06-01,2164.0
2023-07-01,1859.0
2023-08-01,1979.0
2023-09-01,2451.0
2023-10-01,2127.0
2023-11-01,2191.0
2023-12-01,2120.0
2024-01-01,1839.0
2024-02-01,1827.0
2024-03-01,1958.0
2024-04-01,1963.0
2024-05-01,2345.0
2024-06-01,2190.0
2024-07-01,2762.0
2024-08-01,2382.0
2024-09-01,2723.0
2024-10-01,3055.0
2024-11-01,2059.0
2024-12-01,2119.0
2025-01-01,1655.0
2025-02-01,1757.0
2025-03-01,2374.0
2025-04-01,2237.0
2025-05-01,2412.0
2025-06-01,
2025-07-01,2847.0
2025-08-01,2236.0
2025-09-01,2656.0
