Tarih,TP_UNDNAKLIYE_TBG_IR_ADET
2016-05-01,1499.0
2016-06-01,1213.0
2016-07-01,910.0
2016-08-01,1257.0
2016-09-01,2381.0
2016-10-01,1903.0
2016-11-01,1412.0
2016-12-01,1914.0
2017-01-01,3328.0
2017-02-01,2543.0
2017-03-01,3313.0
2017-04-01,2667.0
2017-05-01,1871.0
2017-06-01,1578.0
2017-07-01,1653.0
2017-08-01,2188.0
2017-09-01,1831.0
2017-10-01,2018.0
2017-11-01,2300.0
2017-12-01,2483.0
2018-01-01,2230.0
2018-02-01,1775.0
2018-03-01,1337.0
2018-04-01,969.0
2018-05-01,1356.0
2018-06-01,1839.0
2018-07-01,1932.0
2018-08-01,1685.0
2018-09-01,2188.0
2018-10-01,2805.0
2018-11-01,2304.0
2018-12-01,1673.0
2019-01-01,1699.0
2019-02-01,1412.0
2019-03-01,1231.0
2019-04-01,1914.0
2019-05-01,1590.0
2019-06-01,2167.0
2019-07-01,2678.0
2019-08-01,3236.0
2019-09-01,0.0
2019-10-01,3529.0
2019-11-01,3534.0
2019-12-01,3249.0
2020-01-01,2462.0
2020-02-01,2219.0
2020-03-01,279.0
2020-04-01,27.0
2020-05-01,96.0
2020-06-01,1711.0
2020-07-01,2675.0
2020-08-01,2371.0
2020-09-01,3097.0
2020-10-01,3099.0
2020-11-01,3141.0
2020-12-01,3330.0
2021-01-01,2103.0
2021-02-01,1703.0
2021-03-01,1378.0
2021-04-01,2284.0
2021-05-01,4146.0
2021-06-01,4282.0
2021-07-01,3742.0
2021-08-01,3638.0
2021-09-01,3064.0
2021-10-01,2698.0
2021-11-01,2562.0
2021-12-01,2885.0
2022-01-01,2382.0
2022-02-01,2833.0
2022-03-01,2092.0
2022-04-01,1606.0
2022-05-01,2161.0
2022-06-01,3270.0
2022-07-01,3708.0
2022-08-01,3622.0
2022-09-01,3822.0
2022-10-01,4195.0
2022-11-01,2649.0
2022-12-01,2701.0
2023-01-01,2527.0
2023-02-01,2230.0
2023-03-01,2197.0
2023-04-01,1989.0
2023-05-01,2089.0
2023-06-01,2472.0
2023-07-01,2899.0
2023-08-01,2847.0
2023-09-01,3011.0
2023-10-01,2248.0
2023-11-01,1778.0
2023-12-01,1451.0
2024-01-01,1206.0
2024-02-01,743.0
2024-03-01,769.0
2024-04-01,1130.0
2024-05-01,877.0
2024-06-01,1275.0
2024-07-01,1412.0
2024-08-01,1832.0
2024-09-01,1920.0
2024-10-01,1549.0
2024-11-01,819.0
2024-12-01,912.0
2025-01-01,1015.0
2025-02-01,706.0
2025-03-01,718.0
2025-04-01,564.0
2025-05-01,771.0
2025-06-01,733.0
2025-07-01,523.0
2025-08-01,623.0
2025-09-01,253.0
