Tarih,TP_UNDNAKLIYE_TBG_GE_ADET
2016-05-01,7486.0
2016-06-01,7280.0
2016-07-01,4273.0
2016-08-01,4661.0
2016-09-01,6399.0
2016-10-01,7003.0
2016-11-01,6601.0
2016-12-01,6603.0
2017-01-01,4760.0
2017-02-01,5366.0
2017-03-01,6589.0
2017-04-01,6895.0
2017-05-01,6898.0
2017-06-01,7057.0
2017-07-01,6278.0
2017-08-01,6958.0
2017-09-01,5475.0
2017-10-01,6990.0
2017-11-01,6759.0
2017-12-01,6841.0
2018-01-01,4853.0
2018-02-01,5752.0
2018-03-01,6721.0
2018-04-01,7248.0
2018-05-01,6642.0
2018-06-01,6480.0
2018-07-01,6463.0
2018-08-01,6378.0
2018-09-01,6615.0
2018-10-01,7428.0
2018-11-01,6239.0
2018-12-01,7018.0
2019-01-01,4473.0
2019-02-01,4950.0
2019-03-01,5936.0
2019-04-01,5416.0
2019-05-01,6977.0
2019-06-01,5531.0
2019-07-01,7614.0
2019-08-01,7382.0
2019-09-01,7573.0
2019-10-01,8526.0
2019-11-01,7652.0
2019-12-01,8239.0
2020-01-01,3867.0
2020-02-01,5694.0
2020-03-01,7763.0
2020-04-01,5546.0
2020-05-01,6469.0
2020-06-01,6587.0
2020-07-01,7832.0
2020-08-01,7026.0
2020-09-01,8372.0
2020-10-01,7496.0
2020-11-01,6339.0
2020-12-01,6703.0
2021-01-01,4118.0
2021-02-01,4925.0
2021-03-01,5844.0
2021-04-01,6175.0
2021-05-01,6158.0
2021-06-01,7006.0
2021-07-01,6890.0
2021-08-01,6415.0
2021-09-01,7539.0
2021-10-01,7528.0
2021-11-01,7070.0
2021-12-01,7893.0
2022-01-01,5948.0
2022-02-01,6090.0
2022-03-01,5890.0
2022-04-01,5732.0
2022-05-01,5925.0
2022-06-01,7060.0
2022-07-01,7592.0
2022-08-01,7676.0
2022-09-01,8040.0
2022-10-01,7875.0
2022-11-01,7774.0
2022-12-01,8656.0
2023-01-01,6796.0
2023-02-01,5457.0
2023-03-01,7324.0
2023-04-01,6621.0
2023-05-01,6322.0
2023-06-01,6870.0
2023-07-01,6436.0
2023-08-01,6932.0
2023-09-01,6988.0
2023-10-01,7388.0
2023-11-01,7048.0
2023-12-01,7547.0
2024-01-01,5389.0
2024-02-01,5458.0
2024-03-01,6552.0
2024-04-01,6022.0
2024-05-01,6672.0
2024-06-01,7204.0
2024-07-01,7568.0
2024-08-01,8058.0
2024-09-01,7830.0
2024-10-01,7841.0
2024-11-01,6332.0
2024-12-01,7436.0
2025-01-01,5374.0
2025-02-01,4432.0
2025-03-01,6305.0
2025-04-01,5466.0
2025-05-01,5859.0
2025-06-01,5541.0
2025-07-01,6313.0
2025-08-01,6442.0
2025-09-01,5975.0
