Tarih,TP_UNDNAKLIYE_TBG_BG_ADET
2016-05-01,2578.0
2016-06-01,2232.0
2016-07-01,1045.0
2016-08-01,1401.0
2016-09-01,1642.0
2016-10-01,2730.0
2016-11-01,3246.0
2016-12-01,3644.0
2017-01-01,2420.0
2017-02-01,2399.0
2017-03-01,2475.0
2017-04-01,2241.0
2017-05-01,1789.0
2017-06-01,1898.0
2017-07-01,1466.0
2017-08-01,1708.0
2017-09-01,1606.0
2017-10-01,3166.0
2017-11-01,3586.0
2017-12-01,4001.0
2018-01-01,3296.0
2018-02-01,3753.0
2018-03-01,4708.0
2018-04-01,4332.0
2018-05-01,4626.0
2018-06-01,3236.0
2018-07-01,3169.0
2018-08-01,4084.0
2018-09-01,4945.0
2018-10-01,6566.0
2018-11-01,6640.0
2018-12-01,6745.0
2019-01-01,5743.0
2019-02-01,5029.0
2019-03-01,5316.0
2019-04-01,4088.0
2019-05-01,4848.0
2019-06-01,4747.0
2019-07-01,4566.0
2019-08-01,4391.0
2019-09-01,4509.0
2019-10-01,6307.0
2019-11-01,7266.0
2019-12-01,7054.0
2020-01-01,4437.0
2020-02-01,5254.0
2020-03-01,5186.0
2020-04-01,4410.0
2020-05-01,5196.0
2020-06-01,5755.0
2020-07-01,5325.0
2020-08-01,4382.0
2020-09-01,5884.0
2020-10-01,7562.0
2020-11-01,7774.0
2020-12-01,7677.0
2021-01-01,6829.0
2021-02-01,6482.0
2021-03-01,7693.0
2021-04-01,8224.0
2021-05-01,8382.0
2021-06-01,9256.0
2021-07-01,8388.0
2021-08-01,6880.0
2021-09-01,8182.0
2021-10-01,10093.0
2021-11-01,11262.0
2021-12-01,11983.0
2022-01-01,10837.0
2022-02-01,9684.0
2022-03-01,11125.0
2022-04-01,11109.0
2022-05-01,9537.0
2022-06-01,9573.0
2022-07-01,7014.0
2022-08-01,7180.0
2022-09-01,7751.0
2022-10-01,8706.0
2022-11-01,8240.0
2022-12-01,8587.0
2023-01-01,7521.0
2023-02-01,7638.0
2023-03-01,8455.0
2023-04-01,7955.0
2023-05-01,8322.0
2023-06-01,9668.0
2023-07-01,6652.0
2023-08-01,7786.0
2023-09-01,8312.0
2023-10-01,9676.0
2023-11-01,11271.0
2023-12-01,11446.0
2024-01-01,10135.0
2024-02-01,9011.0
2024-03-01,9531.0
2024-04-01,8786.0
2024-05-01,9045.0
2024-06-01,8213.0
2024-07-01,7465.0
2024-08-01,8524.0
2024-09-01,9046.0
2024-10-01,10070.0
2024-11-01,9459.0
2024-12-01,9698.0
2025-01-01,9045.0
2025-02-01,8393.0
2025-03-01,9098.0
2025-04-01,8160.0
2025-05-01,9424.0
2025-06-01,8676.0
2025-07-01,9537.0
2025-08-01,8518.0
2025-09-01,8392.0
