Tarih,TP_UNDNAKLIYE_TBG_LB_ADET
2016-10-01,485.0
2016-11-01,420.0
2016-12-01,541.0
2017-01-01,402.0
2017-02-01,447.0
2017-03-01,470.0
2017-04-01,466.0
2017-05-01,458.0
2017-06-01,384.0
2017-07-01,337.0
2017-08-01,383.0
2017-09-01,394.0
2017-10-01,384.0
2017-11-01,433.0
2017-12-01,476.0
2018-01-01,349.0
2018-02-01,275.0
2018-03-01,388.0
2018-04-01,355.0
2018-05-01,328.0
2018-06-01,279.0
2018-07-01,352.0
2018-08-01,256.0
2018-09-01,461.0
2018-10-01,513.0
2018-11-01,451.0
2018-12-01,403.0
2019-01-01,284.0
2019-02-01,193.0
2019-03-01,359.0
2019-04-01,284.0
2019-05-01,343.0
2019-06-01,240.0
2019-07-01,230.0
2019-08-01,210.0
2019-09-01,275.0
2019-10-01,309.0
2019-11-01,147.0
2019-12-01,180.0
2020-01-01,70.0
2020-02-01,252.0
2020-03-01,245.0
2020-04-01,207.0
2020-05-01,252.0
2020-06-01,185.0
2020-07-01,87.0
2020-08-01,92.0
2020-09-01,189.0
2020-10-01,201.0
2020-11-01,304.0
2020-12-01,398.0
2021-01-01,328.0
2021-02-01,300.0
2021-03-01,438.0
2021-04-01,542.0
2021-05-01,498.0
2021-06-01,649.0
2021-07-01,437.0
2021-08-01,382.0
2021-09-01,563.0
2021-10-01,701.0
2021-11-01,584.0
2021-12-01,737.0
2022-01-01,441.0
2022-02-01,513.0
2022-03-01,719.0
2022-04-01,872.0
2022-05-01,692.0
2022-06-01,717.0
2022-07-01,615.0
2022-08-01,917.0
2022-09-01,660.0
2022-10-01,819.0
2022-11-01,851.0
2022-12-01,662.0
2023-01-01,299.0
2023-02-01,276.0
2023-03-01,331.0
2023-04-01,425.0
2023-05-01,443.0
2023-06-01,389.0
2023-07-01,369.0
2023-08-01,374.0
2023-09-01,478.0
2023-10-01,476.0
2023-11-01,243.0
2023-12-01,426.0
2024-01-01,301.0
2024-02-01,262.0
2024-03-01,395.0
2024-04-01,404.0
2024-05-01,310.0
2024-06-01,230.0
2024-07-01,213.0
2024-08-01,274.0
2024-09-01,238.0
2024-10-01,302.0
2024-11-01,298.0
2024-12-01,457.0
2025-01-01,241.0
2025-02-01,276.0
2025-03-01,462.0
2025-04-01,287.0
2025-05-01,345.0
2025-06-01,237.0
2025-07-01,301.0
2025-08-01,217.0
2025-09-01,174.0
