Tarih,TP_UNDNAKLIYE_TBG_AZ_ADET
2016-05-01,6910.0
2016-06-01,11274.0
2016-07-01,7986.0
2016-08-01,11115.0
2016-09-01,9971.0
2016-10-01,11767.0
2016-11-01,8177.0
2016-12-01,6795.0
2017-01-01,4782.0
2017-02-01,6063.0
2017-03-01,7782.0
2017-04-01,6264.0
2017-05-01,6800.0
2017-06-01,7485.0
2017-07-01,8052.0
2017-08-01,9268.0
2017-09-01,7388.0
2017-10-01,8502.0
2017-11-01,8641.0
2017-12-01,9173.0
2018-01-01,7945.0
2018-02-01,8042.0
2018-03-01,5759.0
2018-04-01,3136.0
2018-05-01,4115.0
2018-06-01,4606.0
2018-07-01,5900.0
2018-08-01,4511.0
2018-09-01,4572.0
2018-10-01,4463.0
2018-11-01,4545.0
2018-12-01,4058.0
2019-01-01,3073.0
2019-02-01,3195.0
2019-03-01,3538.0
2019-04-01,3348.0
2019-05-01,4253.0
2019-06-01,4506.0
2019-07-01,5272.0
2019-08-01,4358.0
2019-09-01,0.0
2019-10-01,4370.0
2019-11-01,3939.0
2019-12-01,3746.0
2020-01-01,2223.0
2020-02-01,2531.0
2020-03-01,1914.0
2020-04-01,1163.0
2020-05-01,2438.0
2020-06-01,3653.0
2020-07-01,4129.0
2020-08-01,2345.0
2020-09-01,2410.0
2020-10-01,2197.0
2020-11-01,1869.0
2020-12-01,1844.0
2021-01-01,1038.0
2021-02-01,1071.0
2021-03-01,944.0
2021-04-01,893.0
2021-05-01,942.0
2021-06-01,1163.0
2021-07-01,1006.0
2021-08-01,846.0
2021-09-01,882.0
2021-10-01,611.0
2021-11-01,688.0
2021-12-01,846.0
2022-01-01,653.0
2022-02-01,649.0
2022-03-01,1011.0
2022-04-01,996.0
2022-05-01,1223.0
2022-06-01,1715.0
2022-07-01,1732.0
2022-08-01,1608.0
2022-09-01,1629.0
2022-10-01,1667.0
2022-11-01,1177.0
2022-12-01,989.0
2023-01-01,928.0
2023-02-01,705.0
2023-03-01,843.0
2023-04-01,1124.0
2023-05-01,774.0
2023-06-01,890.0
2023-07-01,971.0
2023-08-01,0.0
2023-09-01,4.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,2.0
2024-08-01,1.0
2024-09-01,0.0
2024-10-01,1.0
2024-11-01,1.0
2024-12-01,1.0
2025-01-01,2.0
2025-02-01,0.0
2025-03-01,14.0
2025-04-01,1.0
2025-05-01,7.0
2025-06-01,2.0
2025-07-01,2.0
2025-08-01,4.0
2025-09-01,0.0
