Tarih,TP_UNDNAKLIYE_TBG_TOPLAM_ADET
2016-05-01,59893.0
2016-06-01,70515.0
2016-07-01,51243.0
2016-08-01,74447.0
2016-09-01,67797.0
2016-10-01,90174.0
2016-11-01,87725.0
2016-12-01,81348.0
2017-01-01,73386.0
2017-02-01,70262.0
2017-03-01,81738.0
2017-04-01,76482.0
2017-05-01,76331.0
2017-06-01,69794.0
2017-07-01,70283.0
2017-08-01,80627.0
2017-09-01,68655.0
2017-10-01,77764.0
2017-11-01,75319.0
2017-12-01,85777.0
2018-01-01,69455.0
2018-02-01,65141.0
2018-03-01,66979.0
2018-04-01,64968.0
2018-05-01,69706.0
2018-06-01,63163.0
2018-07-01,71795.0
2018-08-01,68754.0
2018-09-01,76072.0
2018-10-01,87450.0
2018-11-01,89337.0
2018-12-01,81511.0
2019-01-01,68597.0
2019-02-01,65389.0
2019-03-01,70847.0
2019-04-01,71390.0
2019-05-01,77641.0
2019-06-01,65961.0
2019-07-01,80869.0
2019-08-01,75004.0
2019-09-01,76314.0
2019-10-01,94406.0
2019-11-01,92653.0
2019-12-01,89291.0
2020-01-01,55333.0
2020-02-01,77436.0
2020-03-01,58098.0
2020-04-01,59631.0
2020-05-01,76156.0
2020-06-01,76948.0
2020-07-01,75129.0
2020-08-01,68855.0
2020-09-01,76498.0
2020-10-01,90953.0
2020-11-01,82426.0
2020-12-01,87027.0
2021-01-01,72187.0
2021-02-01,67024.0
2021-03-01,75014.0
2021-04-01,76141.0
2021-05-01,76295.0
2021-06-01,81165.0
2021-07-01,74924.0
2021-08-01,83749.0
2021-09-01,91497.0
2021-10-01,92657.0
2021-11-01,93670.0
2021-12-01,99315.0
2022-01-01,85584.0
2022-02-01,81002.0
2022-03-01,96176.0
2022-04-01,82624.0
2022-05-01,80690.0
2022-06-01,86844.0
2022-07-01,81142.0
2022-08-01,88539.0
2022-09-01,92843.0
2022-10-01,93603.0
2022-11-01,92206.0
2022-12-01,95991.0
2023-01-01,77664.0
2023-02-01,57867.0
2023-03-01,77568.0
2023-04-01,76121.0
2023-05-01,71865.0
2023-06-01,83166.0
2023-07-01,72234.0
2023-08-01,81568.0
2023-09-01,78408.0
2023-10-01,83631.0
2023-11-01,91388.0
2023-12-01,91225.0
2024-01-01,78454.0
2024-02-01,79310.0
2024-03-01,81746.0
2024-04-01,73700.0
2024-05-01,84563.0
2024-06-01,74341.0
2024-07-01,77582.0
2024-08-01,87242.0
2024-09-01,90486.0
2024-10-01,87355.0
2024-11-01,80972.0
2024-12-01,89620.0
2025-01-01,86267.0
2025-02-01,79158.0
2025-03-01,85989.0
2025-04-01,77145.0
2025-05-01,83126.0
2025-06-01,
2025-07-01,83153.0
2025-08-01,83213.0
2025-09-01,77324.0
