Tarih,TP_AC2_ANO_A
2016-03-01,1321.0
2016-04-01,1122.0
2016-05-01,1139.0
2016-06-01,1114.0
2016-07-01,677.0
2016-08-01,806.0
2016-09-01,681.0
2016-10-01,955.0
2016-11-01,1039.0
2016-12-01,975.0
2017-01-01,1024.0
2017-02-01,982.0
2017-03-01,1069.0
2017-04-01,1148.0
2017-05-01,1109.0
2017-06-01,1063.0
2017-07-01,963.0
2017-08-01,1184.0
2017-09-01,854.0
2017-10-01,1196.0
2017-11-01,1208.0
2017-12-01,1025.0
2018-01-01,1571.0
2018-02-01,1181.0
2018-03-01,1152.0
2018-04-01,1139.0
2018-05-01,1092.0
2018-06-01,831.0
2018-07-01,870.0
2018-08-01,659.0
2018-09-01,798.0
2018-10-01,888.0
2018-11-01,935.0
2018-12-01,881.0
2019-01-01,1001.0
2019-02-01,893.0
2019-03-01,996.0
2019-04-01,917.0
2019-05-01,934.0
2019-06-01,630.0
2019-07-01,918.0
2019-08-01,716.0
2019-09-01,1045.0
2019-10-01,1137.0
2019-11-01,1084.0
2019-12-01,1176.0
2020-01-01,1390.0
2020-02-01,1271.0
2020-03-01,1070.0
2020-04-01,447.0
2020-05-01,487.0
2020-06-01,1312.0
2020-07-01,1346.0
2020-08-01,1259.0
2020-09-01,1404.0
2020-10-01,1417.0
2020-11-01,1268.0
2020-12-01,1375.0
2021-01-01,1372.0
2021-02-01,1329.0
2021-03-01,1496.0
2021-04-01,1201.0
2021-05-01,601.0
2021-06-01,1252.0
2021-07-01,939.0
2021-08-01,1117.0
2021-09-01,1271.0
2021-10-01,1161.0
2021-11-01,1496.0
2021-12-01,1395.0
2022-01-01,1325.0
2022-02-01,1281.0
2022-03-01,1451.0
2022-04-01,1400.0
2022-05-01,1142.0
2022-06-01,1689.0
2022-07-01,1095.0
2022-08-01,1494.0
2022-09-01,1625.0
2022-10-01,1540.0
2022-11-01,1687.0
2022-12-01,2069.0
2023-01-01,1684.0
2023-02-01,1197.0
2023-03-01,1402.0
2023-04-01,1086.0
2023-05-01,1189.0
2023-06-01,1026.0
2023-07-01,1137.0
2023-08-01,1205.0
2023-09-01,1413.0
2023-10-01,1508.0
2023-11-01,1372.0
2023-12-01,2343.0
2024-01-01,1204.0
2024-02-01,1115.0
2024-03-01,1016.0
2024-04-01,764.0
2024-05-01,1079.0
2024-06-01,785.0
2024-07-01,1108.0
2024-08-01,1127.0
2024-09-01,1167.0
2024-10-01,1319.0
2024-11-01,1210.0
2024-12-01,1714.0
2025-01-01,1156.0
2025-02-01,998.0
2025-03-01,973.0
2025-04-01,793.0
2025-05-01,905.0
2025-06-01,835.0
2025-07-01,1101.0
2025-08-01,1037.0
