Tarih,TP_KAP2_TOP_A
2015-12-01,2039.0
2016-01-01,2178.0
2016-02-01,867.0
2016-03-01,780.0
2016-04-01,691.0
2016-05-01,581.0
2016-06-01,878.0
2016-07-01,602.0
2016-08-01,689.0
2016-09-01,903.0
2016-10-01,1096.0
2016-11-01,1167.0
2016-12-01,1896.0
2017-01-01,2142.0
2017-02-01,815.0
2017-03-01,720.0
2017-04-01,810.0
2017-05-01,861.0
2017-06-01,1112.0
2017-07-01,1211.0
2017-08-01,1312.0
2017-09-01,951.0
2017-10-01,1375.0
2017-11-01,1228.0
2017-12-01,2163.0
2018-01-01,2417.0
2018-02-01,682.0
2018-03-01,780.0
2018-04-01,623.0
2018-05-01,652.0
2018-06-01,752.0
2018-07-01,1017.0
2018-08-01,954.0
2018-09-01,1183.0
2018-10-01,1235.0
2018-11-01,1112.0
2018-12-01,2186.0
2019-01-01,2092.0
2019-02-01,665.0
2019-03-01,693.0
2019-04-01,776.0
2019-05-01,946.0
2019-06-01,756.0
2019-07-01,1213.0
2019-08-01,1011.0
2019-09-01,1233.0
2019-10-01,1272.0
2019-11-01,1103.0
2019-12-01,2290.0
2020-01-01,2292.0
2020-02-01,865.0
2020-03-01,821.0
2020-04-01,427.0
2020-05-01,517.0
2020-06-01,1130.0
2020-07-01,1514.0
2020-08-01,1305.0
2020-09-01,1582.0
2020-10-01,1331.0
2020-11-01,986.0
2020-12-01,3179.0
2021-01-01,958.0
2021-02-01,775.0
2021-03-01,1015.0
2021-04-01,1017.0
2021-05-01,563.0
2021-06-01,1269.0
2021-07-01,1141.0
2021-08-01,1442.0
2021-09-01,1687.0
2021-10-01,1599.0
2021-11-01,1661.0
2021-12-01,4057.0
2022-01-01,1088.0
2022-02-01,806.0
2022-03-01,1424.0
2022-04-01,2225.0
2022-05-01,2053.0
2022-06-01,2755.0
2022-07-01,1662.0
2022-08-01,1784.0
2022-09-01,2066.0
2022-10-01,1799.0
2022-11-01,1749.0
2022-12-01,4891.0
2023-01-01,1646.0
2023-02-01,1225.0
2023-03-01,1506.0
2023-04-01,1458.0
2023-05-01,2079.0
2023-06-01,1938.0
2023-07-01,2156.0
2023-08-01,1784.0
2023-09-01,2096.0
2023-10-01,2331.0
2023-11-01,2497.0
2023-12-01,6236.0
2024-01-01,1759.0
2024-02-01,2001.0
2024-03-01,1749.0
2024-04-01,1905.0
2024-05-01,2819.0
2024-06-01,2096.0
2024-07-01,2989.0
2024-08-01,1867.0
2024-09-01,2221.0
2024-10-01,2531.0
2024-11-01,2733.0
2024-12-01,7945.0
2025-01-01,2037.0
2025-02-01,1767.0
2025-03-01,2005.0
2025-04-01,2636.0
2025-05-01,2995.0
2025-06-01,2652.0
2025-07-01,3019.0
2025-08-01,1983.0
