Tarih,TP_AC2_KOL_S
2016-03-01,
2016-04-01,20000.0
2016-05-01,10002.0
2016-06-01,10000.0
2016-07-01,1005000.0
2016-08-01,
2016-09-01,300000.0
2016-10-01,5000.0
2016-11-01,
2016-12-01,
2017-01-01,50000.0
2017-02-01,100000.0
2017-03-01,
2017-04-01,170000.0
2017-05-01,1000.0
2017-06-01,70000.0
2017-07-01,
2017-08-01,21000.0
2017-09-01,
2017-10-01,10000.0
2017-11-01,50000.0
2017-12-01,
2018-01-01,
2018-02-01,4810000.0
2018-03-01,
2018-04-01,200000.0
2018-05-01,2000000.0
2018-06-01,
2018-07-01,1460600.0
2018-08-01,
2018-09-01,50000.0
2018-10-01,350000.0
2018-11-01,
2018-12-01,10000.0
2019-01-01,300000.0
2019-02-01,60000.0
2019-03-01,555000.0
2019-04-01,510000.0
2019-05-01,215000.0
2019-06-01,
2019-07-01,
2019-08-01,2625000.0
2019-09-01,
2019-10-01,1000000.0
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,30000.0
2020-03-01,30000.0
2020-04-01,100000.0
2020-05-01,
2020-06-01,1010000.0
2020-07-01,
2020-08-01,1150000.0
2020-09-01,100000.0
2020-10-01,540000.0
2020-11-01,5000.0
2020-12-01,
2021-01-01,2895000.0
2021-02-01,105000.0
2021-03-01,10000.0
2021-04-01,10000.0
2021-05-01,500000.0
2021-06-01,1005000.0
2021-07-01,2100000.0
2021-08-01,
2021-09-01,100000.0
2021-10-01,50000.0
2021-11-01,1600000.0
2021-12-01,2260000.0
2022-01-01,250500000.0
2022-02-01,500000.0
2022-03-01,
2022-04-01,
2022-05-01,100000000.0
2022-06-01,1300000.0
2022-07-01,630000.0
2022-08-01,
2022-09-01,120000.0
2022-10-01,105000.0
2022-11-01,13020000.0
2022-12-01,2510000.0
2023-01-01,790000.0
2023-02-01,
2023-03-01,
2023-04-01,1300000.0
2023-05-01,270000.0
2023-06-01,
2023-07-01,50000.0
2023-08-01,
2023-09-01,2050000.0
2023-10-01,310000.0
2023-11-01,1402000.0
2023-12-01,10000000.0
2024-01-01,1700000.0
2024-02-01,280000.0
2024-03-01,
2024-04-01,
2024-05-01,200000.0
2024-06-01,60000.0
2024-07-01,
2024-08-01,1000000.0
2024-09-01,21700000.0
2024-10-01,1330000.0
2024-11-01,
2024-12-01,
2025-01-01,18000000.0
2025-02-01,60000.0
2025-03-01,
2025-04-01,1010000.0
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,50000.0
