Tarih,TP_TRY_MT06,TP_TRY_MT06
2006-08-18,2006-33,17.96
2006-08-25,2006-34,17.84
2006-09-01,2006-35,18.03
2006-09-08,2006-36,18.03
2006-09-15,2006-37,18.06
2006-09-22,2006-38,17.82
2006-09-29,2006-39,18.27
2006-10-06,2006-40,18.22
2006-10-13,2006-41,18.16
2006-10-20,2006-42,18.18
2006-10-27,2006-43,17.88
2006-11-03,2006-44,18.58
2006-11-10,2006-45,18.43
2006-11-17,2006-46,18.46
2006-11-24,2006-47,18.21
2006-12-01,2006-48,18.23
2006-12-08,2006-49,18.57
2006-12-15,2006-50,18.33
2006-12-22,2006-51,18.31
2006-12-29,2006-52,19.12
2007-01-05,2007-1,18.28
2007-01-12,2007-2,18.55
2007-01-19,2007-3,18.54
2007-01-26,2007-4,18.3
2007-02-02,2007-5,18.49
2007-02-09,2007-6,18.26
2007-02-16,2007-7,18.24
2007-02-23,2007-8,18.29
2007-03-02,2007-9,18.31
2007-03-09,2007-10,18.21
2007-03-16,2007-11,18.1
2007-03-23,2007-12,17.96
2007-03-30,2007-13,18.12
2007-04-06,2007-14,18.17
2007-04-13,2007-15,18.07
2007-04-20,2007-16,18.09
2007-04-27,2007-17,18.09
2007-05-04,2007-18,18.13
2007-05-11,2007-19,18.2
2007-05-18,2007-20,18.1
2007-05-25,2007-21,17.92
2007-06-01,2007-22,18.03
2007-06-08,2007-23,18.03
2007-06-15,2007-24,18.07
2007-06-22,2007-25,17.9
2007-06-29,2007-26,17.93
2007-07-06,2007-27,17.96
2007-07-13,2007-28,18.03
2007-07-20,2007-29,17.95
2007-07-27,2007-30,17.95
2007-08-03,2007-31,17.9
2007-08-10,2007-32,17.7
2007-08-17,2007-33,17.81
2007-08-24,2007-34,17.85
2007-08-31,2007-35,17.8
2007-09-07,2007-36,17.83
2007-09-14,2007-37,17.82
2007-09-21,2007-38,17.72
2007-09-28,2007-39,17.64
2007-10-05,2007-40,17.58
2007-10-12,2007-41,17.44
2007-10-19,2007-42,17.3
2007-10-26,2007-43,17.07
2007-11-02,2007-44,17.02
2007-11-09,2007-45,16.94
2007-11-16,2007-46,16.76
2007-11-23,2007-47,16.71
2007-11-30,2007-48,16.91
2007-12-07,2007-49,16.84
2007-12-14,2007-50,16.82
2007-12-21,2007-51,16.7
2007-12-28,2007-52,17.07
2008-01-04,2008-1,16.9
2008-01-11,2008-2,16.65
2008-01-18,2008-3,16.43
2008-01-25,2008-4,16.27
2008-02-01,2008-5,16.35
2008-02-08,2008-6,16.38
2008-02-15,2008-7,16.21
2008-02-22,2008-8,16.16
2008-02-29,2008-9,16.07
2008-03-07,2008-10,16.4
2008-03-14,2008-11,16.22
2008-03-21,2008-12,16.17
2008-03-28,2008-13,16.29
2008-04-04,2008-14,16.4
2008-04-11,2008-15,16.3
2008-04-18,2008-16,16.24
2008-04-25,2008-17,16.25
2008-05-02,2008-18,16.49
2008-05-09,2008-19,16.58
2008-05-16,2008-20,16.66
2008-05-23,2008-21,16.84
2008-05-30,2008-22,17.1
2008-06-06,2008-23,17.13
2008-06-13,2008-24,17.29
2008-06-20,2008-25,17.47
2008-06-27,2008-26,17.72
2008-07-04,2008-27,18.03
2008-07-11,2008-28,17.87
2008-07-18,2008-29,17.86
2008-07-25,2008-30,17.83
2008-08-01,2008-31,17.87
2008-08-08,2008-32,17.59
2008-08-15,2008-33,17.77
2008-08-22,2008-34,17.91
2008-08-29,2008-35,17.93
2008-09-05,2008-36,17.9
2008-09-12,2008-37,17.75
2008-09-19,2008-38,17.92
2008-09-26,2008-39,18.14
2008-10-03,2008-40,17.56
2008-10-10,2008-41,18.33
2008-10-17,2008-42,18.16
2008-10-24,2008-43,18.38
2008-10-31,2008-44,18.35
2008-11-07,2008-45,19.13
2008-11-14,2008-46,19.25
2008-11-21,2008-47,19.23
2008-11-28,2008-48,19.69
2008-12-05,2008-49,19.43
2008-12-12,2008-50,18.21
2008-12-19,2008-51,19.21
2008-12-26,2008-52,18.27
2009-01-02,2009-1,18.05
2009-01-09,2009-2,17.07
2009-01-16,2009-3,15.47
2009-01-23,2009-4,14.08
2009-01-30,2009-5,13.7
2009-02-06,2009-6,13.6
2009-02-13,2009-7,13.44
2009-02-20,2009-8,12.88
2009-02-27,2009-9,12.2
2009-03-06,2009-10,12.29
2009-03-13,2009-11,12.1
2009-03-20,2009-12,11.98
2009-03-27,2009-13,11.63
2009-04-03,2009-14,11.99
2009-04-10,2009-15,11.89
2009-04-17,2009-16,11.7
2009-04-24,2009-17,11.36
2009-05-01,2009-18,11.38
2009-05-08,2009-19,11.53
2009-05-15,2009-20,11.34
2009-05-22,2009-21,11.19
2009-05-29,2009-22,11.19
2009-06-05,2009-23,11.2
2009-06-12,2009-24,11.46
2009-06-19,2009-25,11.29
2009-06-26,2009-26,11.42
2009-07-03,2009-27,11.64
2009-07-10,2009-28,11.23
2009-07-17,2009-29,11.04
2009-07-24,2009-30,10.65
2009-07-31,2009-31,10.58
2009-08-07,2009-32,10.37
2009-08-14,2009-33,10.13
2009-08-21,2009-34,9.94
2009-08-28,2009-35,9.42
2009-09-04,2009-36,9.41
2009-09-11,2009-37,9.3
2009-09-18,2009-38,9.15
2009-09-25,2009-39,8.81
2009-10-02,2009-40,9.04
2009-10-09,2009-41,8.71
2009-10-16,2009-42,8.45
2009-10-23,2009-43,8.08
2009-10-30,2009-44,8.01
2009-11-06,2009-45,8.13
2009-11-13,2009-46,8.09
2009-11-20,2009-47,8.12
2009-11-27,2009-48,7.98
2009-12-04,2009-49,8.15
2009-12-11,2009-50,8.26
2009-12-18,2009-51,8.45
2009-12-25,2009-52,8.68
2010-01-01,2010-1,8.75
2010-01-08,2010-2,8.39
2010-01-15,2010-3,7.94
2010-01-22,2010-4,7.82
2010-01-29,2010-5,7.98
2010-02-05,2010-6,7.93
2010-02-12,2010-7,7.97
2010-02-19,2010-8,7.93
2010-02-26,2010-9,7.95
2010-03-05,2010-10,8.05
2010-03-12,2010-11,8.18
2010-03-19,2010-12,8.27
2010-03-26,2010-13,8.18
2010-04-02,2010-14,8.4
2010-04-09,2010-15,8.15
2010-04-16,2010-16,8.04
2010-04-23,2010-17,8.02
2010-04-30,2010-18,8.15
2010-05-07,2010-19,8.31
2010-05-14,2010-20,8.41
2010-05-21,2010-21,8.45
2010-05-28,2010-22,8.49
2010-06-04,2010-23,8.64
2010-06-11,2010-24,8.57
2010-06-18,2010-25,8.66
2010-06-25,2010-26,8.61
2010-07-02,2010-27,8.73
2010-07-09,2010-28,8.48
2010-07-16,2010-29,8.35
2010-07-23,2010-30,8.25
2010-07-30,2010-31,8.09
2010-08-06,2010-32,8.21
2010-08-13,2010-33,8.18
2010-08-20,2010-34,8.22
2010-08-27,2010-35,8.13
2010-09-03,2010-36,8.15
2010-09-10,2010-37,7.95
2010-09-17,2010-38,8.28
2010-09-24,2010-39,8.14
2010-10-01,2010-40,8.31
2010-10-08,2010-41,7.97
2010-10-15,2010-42,7.93
2010-10-22,2010-43,7.83
2010-10-29,2010-44,7.87
2010-11-05,2010-45,7.98
2010-11-12,2010-46,8.03
2010-11-19,2010-47,
2010-11-26,2010-48,8.21
2010-12-03,2010-49,8.03
2010-12-10,2010-50,8.04
2010-12-17,2010-51,7.98
2010-12-24,2010-52,7.69
2010-12-31,2010-53,7.92
2011-01-07,2011-1,7.45
2011-01-14,2011-2,7.34
2011-01-21,2011-3,7.18
2011-01-28,2011-4,7.24
2011-02-04,2011-5,7.39
2011-02-11,2011-6,7.42
2011-02-18,2011-7,7.43
2011-02-25,2011-8,7.4
2011-03-04,2011-9,7.51
2011-03-11,2011-10,7.58
2011-03-18,2011-11,7.7
2011-03-25,2011-12,7.62
2011-04-01,2011-13,7.79
2011-04-08,2011-14,7.75
2011-04-15,2011-15,7.84
2011-04-22,2011-16,7.93
2011-04-29,2011-17,7.91
2011-05-06,2011-18,8.06
2011-05-13,2011-19,8.06
2011-05-20,2011-20,8.15
2011-05-27,2011-21,8.1
2011-06-03,2011-22,8.14
2011-06-10,2011-23,8.27
2011-06-17,2011-24,8.44
2011-06-24,2011-25,8.49
2011-07-01,2011-26,8.75
2011-07-08,2011-27,8.63
2011-07-15,2011-28,8.7
2011-07-22,2011-29,8.73
2011-07-29,2011-30,8.62
2011-08-05,2011-31,8.68
2011-08-12,2011-32,8.46
2011-08-19,2011-33,8.45
2011-08-26,2011-34,8.37
2011-09-02,2011-35,8.04
2011-09-09,2011-36,8.23
2011-09-16,2011-37,8.19
2011-09-23,2011-38,8.12
2011-09-30,2011-39,8.25
2011-10-07,2011-40,7.97
2011-10-14,2011-41,8.14
2011-10-21,2011-42,8.21
2011-10-28,2011-43,8.34
2011-11-04,2011-44,8.57
2011-11-11,2011-45,8.36
2011-11-18,2011-46,8.9
2011-11-25,2011-47,8.95
2011-12-02,2011-48,9.15
2011-12-09,2011-49,9.27
2011-12-16,2011-50,9.5
2011-12-23,2011-51,10.02
2011-12-30,2011-52,10.6
2012-01-06,2012-1,9.96
2012-01-13,2012-2,10.07
2012-01-20,2012-3,10.05
2012-01-27,2012-4,10.05
2012-02-03,2012-5,10.16
2012-02-10,2012-6,9.97
2012-02-17,2012-7,10.01
2012-02-24,2012-8,9.85
2012-03-02,2012-9,9.75
2012-03-09,2012-10,9.65
2012-03-16,2012-11,9.66
2012-03-23,2012-12,9.71
2012-03-30,2012-13,9.81
2012-04-06,2012-14,9.62
2012-04-13,2012-15,9.66
2012-04-20,2012-16,9.8
2012-04-27,2012-17,9.85
2012-05-04,2012-18,9.67
2012-05-11,2012-19,10.06
2012-05-18,2012-20,10.12
2012-05-25,2012-21,10.08
2012-06-01,2012-22,10.15
2012-06-08,2012-23,10.16
2012-06-15,2012-24,10.31
2012-06-22,2012-25,10.39
2012-06-29,2012-26,10.35
2012-07-06,2012-27,10.09
2012-07-13,2012-28,9.78
2012-07-20,2012-29,9.79
2012-07-27,2012-30,9.57
2012-08-03,2012-31,9.52
2012-08-10,2012-32,9.33
2012-08-17,2012-33,9.23
2012-08-24,2012-34,9.03
2012-08-31,2012-35,8.92
2012-09-07,2012-36,8.59
2012-09-14,2012-37,8.6
2012-09-21,2012-38,8.42
2012-09-28,2012-39,8.46
2012-10-05,2012-40,8.19
2012-10-12,2012-41,8.08
2012-10-19,2012-42,7.99
2012-10-26,2012-43,7.71
2012-11-02,2012-44,7.91
2012-11-09,2012-45,7.79
2012-11-16,2012-46,7.65
2012-11-23,2012-47,7.54
2012-11-30,2012-48,7.33
2012-12-07,2012-49,7.44
2012-12-14,2012-50,7.48
2012-12-21,2012-51,7.53
2012-12-28,2012-52,7.57
2013-01-04,2013-1,7.23
2013-01-11,2013-2,7.19
2013-01-18,2013-3,7.2
2013-01-25,2013-4,7.06
2013-02-01,2013-5,7.04
2013-02-08,2013-6,6.88
2013-02-15,2013-7,6.85
2013-02-22,2013-8,6.7
2013-03-01,2013-9,6.63
2013-03-08,2013-10,6.47
2013-03-15,2013-11,6.54
2013-03-22,2013-12,6.51
2013-03-29,2013-13,6.59
2013-04-05,2013-14,6.53
2013-04-12,2013-15,6.5
2013-04-19,2013-16,6.34
2013-04-26,2013-17,6.26
2013-05-03,2013-18,6.19
2013-05-10,2013-19,6.16
2013-05-17,2013-20,6.03
2013-05-24,2013-21,5.76
2013-05-31,2013-22,5.59
2013-06-07,2013-23,5.74
2013-06-14,2013-24,5.92
2013-06-21,2013-25,6.17
2013-06-28,2013-26,6.72
2013-07-05,2013-27,6.63
2013-07-12,2013-28,6.95
2013-07-19,2013-29,7.05
2013-07-26,2013-30,7.15
2013-08-02,2013-31,7.43
2013-08-09,2013-32,7.26
2013-08-16,2013-33,7.75
2013-08-23,2013-34,7.6
2013-08-30,2013-35,7.77
2013-09-06,2013-36,7.91
2013-09-13,2013-37,7.82
2013-09-20,2013-38,8.08
2013-09-27,2013-39,8.14
2013-10-04,2013-40,7.88
2013-10-11,2013-41,7.98
2013-10-18,2013-42,7.41
2013-10-25,2013-43,7.84
2013-11-01,2013-44,7.46
2013-11-08,2013-45,7.52
2013-11-15,2013-46,7.67
2013-11-22,2013-47,7.55
2013-11-29,2013-48,7.69
2013-12-06,2013-49,7.57
2013-12-13,2013-50,7.88
2013-12-20,2013-51,7.99
2013-12-27,2013-52,8.04
2014-01-03,2014-1,8.06
2014-01-10,2014-2,7.81
2014-01-17,2014-3,8.01
2014-01-24,2014-4,7.9
2014-01-31,2014-5,9.2
2014-02-07,2014-6,9.75
2014-02-14,2014-7,10.0
2014-02-21,2014-8,10.03
2014-02-28,2014-9,10.12
2014-03-07,2014-10,10.42
2014-03-14,2014-11,10.45
2014-03-21,2014-12,10.69
2014-03-28,2014-13,10.9
2014-04-04,2014-14,10.73
2014-04-11,2014-15,10.53
2014-04-18,2014-16,10.27
2014-04-25,2014-17,10.2
2014-05-02,2014-18,10.11
2014-05-09,2014-19,10.14
2014-05-16,2014-20,9.99
2014-05-23,2014-21,9.87
2014-05-30,2014-22,9.67
2014-06-06,2014-23,9.64
2014-06-13,2014-24,9.6
2014-06-20,2014-25,9.57
2014-06-27,2014-26,9.52
2014-07-04,2014-27,9.14
2014-07-11,2014-28,9.02
2014-07-18,2014-29,8.88
2014-07-25,2014-30,8.62
2014-08-01,2014-31,8.4
2014-08-08,2014-32,8.56
2014-08-15,2014-33,8.55
2014-08-22,2014-34,8.56
2014-08-29,2014-35,8.56
2014-09-05,2014-36,8.46
2014-09-12,2014-37,8.59
2014-09-19,2014-38,8.67
2014-09-26,2014-39,8.66
2014-10-03,2014-40,8.7
2014-10-10,2014-41,8.61
2014-10-17,2014-42,8.85
2014-10-24,2014-43,8.85
2014-10-31,2014-44,8.78
2014-11-07,2014-45,8.84
2014-11-14,2014-46,8.89
2014-11-21,2014-47,8.96
2014-11-28,2014-48,8.96
2014-12-05,2014-49,8.84
2014-12-12,2014-50,9.04
2014-12-19,2014-51,9.23
2014-12-26,2014-52,9.49
2015-01-02,2015-1,9.43
2015-01-09,2015-2,9.22
2015-01-16,2015-3,9.09
2015-01-23,2015-4,9.04
2015-01-30,2015-5,8.98
2015-02-06,2015-6,8.88
2015-02-13,2015-7,9.03
2015-02-20,2015-8,9.1
2015-02-27,2015-9,9.09
2015-03-06,2015-10,9.07
2015-03-13,2015-11,9.24
2015-03-20,2015-12,9.34
2015-03-27,2015-13,9.4
2015-04-03,2015-14,9.42
2015-04-10,2015-15,9.5
2015-04-17,2015-16,9.52
2015-04-24,2015-17,9.5
2015-05-01,2015-18,9.63
2015-05-08,2015-19,9.71
2015-05-15,2015-20,9.72
2015-05-22,2015-21,9.48
2015-05-29,2015-22,9.58
2015-06-05,2015-23,9.66
2015-06-12,2015-24,9.71
2015-06-19,2015-25,9.87
2015-06-26,2015-26,9.88
2015-07-03,2015-27,9.99
2015-07-10,2015-28,9.91
2015-07-17,2015-29,9.88
2015-07-24,2015-30,9.93
2015-07-31,2015-31,10.0
2015-08-07,2015-32,9.99
2015-08-14,2015-33,10.1
2015-08-21,2015-34,10.06
2015-08-28,2015-35,10.28
2015-09-04,2015-36,10.19
2015-09-11,2015-37,10.28
2015-09-18,2015-38,10.58
2015-09-25,2015-39,10.3
2015-10-02,2015-40,10.8
2015-10-09,2015-41,10.64
2015-10-16,2015-42,10.52
2015-10-23,2015-43,10.46
2015-10-30,2015-44,10.4
2015-11-06,2015-45,10.46
2015-11-13,2015-46,10.46
2015-11-20,2015-47,10.44
2015-11-27,2015-48,10.45
2015-12-04,2015-49,10.37
2015-12-11,2015-50,10.59
2015-12-18,2015-51,10.88
2015-12-25,2015-52,10.97
2016-01-01,2016-1,11.15
2016-01-08,2016-2,10.85
2016-01-15,2016-3,10.73
2016-01-22,2016-4,10.78
2016-01-29,2016-5,10.75
2016-02-05,2016-6,10.87
2016-02-12,2016-7,10.99
2016-02-19,2016-8,11.06
2016-02-26,2016-9,11.15
2016-03-04,2016-10,10.97
2016-03-11,2016-11,10.98
2016-03-18,2016-12,11.07
2016-03-25,2016-13,11.03
2016-04-01,2016-14,11.08
2016-04-08,2016-15,10.97
2016-04-15,2016-16,10.84
2016-04-22,2016-17,10.64
2016-04-29,2016-18,10.54
2016-05-06,2016-19,10.47
2016-05-13,2016-20,10.54
2016-05-20,2016-21,10.54
2016-05-27,2016-22,10.43
2016-06-03,2016-23,10.3
2016-06-10,2016-24,10.3
2016-06-17,2016-25,10.28
2016-06-24,2016-26,10.12
2016-07-01,2016-27,10.19
2016-07-08,2016-28,9.67
2016-07-15,2016-29,10.09
2016-07-22,2016-30,9.92
2016-07-29,2016-31,9.89
2016-08-05,2016-32,9.89
2016-08-12,2016-33,9.87
2016-08-19,2016-34,9.94
2016-08-26,2016-35,10.01
2016-09-02,2016-36,9.78
2016-09-09,2016-37,10.05
2016-09-16,2016-38,9.48
2016-09-23,2016-39,10.08
2016-09-30,2016-40,10.02
2016-10-07,2016-41,9.89
2016-10-14,2016-42,9.83
2016-10-21,2016-43,9.7
2016-10-28,2016-44,9.75
2016-11-04,2016-45,9.77
2016-11-11,2016-46,9.68
2016-11-18,2016-47,9.64
2016-11-25,2016-48,9.5
2016-12-02,2016-49,9.59
2016-12-09,2016-50,9.57
2016-12-16,2016-51,9.45
2016-12-23,2016-52,9.6
2016-12-30,2016-53,9.64
2017-01-06,2017-1,9.5
2017-01-13,2017-2,9.43
2017-01-20,2017-3,9.49
2017-01-27,2017-4,9.57
