Tarih,TP_TRYTAS_MT01,TP_TRYTAS_MT01
2007-09-07,2007-36,
2007-09-14,2007-37,
2007-09-21,2007-38,
2007-09-28,2007-39,
2007-10-05,2007-40,
2007-10-12,2007-41,
2007-10-19,2007-42,
2007-10-26,2007-43,
2007-11-02,2007-44,
2007-11-09,2007-45,
2007-11-16,2007-46,
2007-11-23,2007-47,
2007-11-30,2007-48,
2007-12-07,2007-49,
2007-12-14,2007-50,
2007-12-21,2007-51,
2007-12-28,2007-52,
2008-01-04,2008-1,
2008-01-11,2008-2,
2008-01-18,2008-3,
2008-01-25,2008-4,
2008-02-01,2008-5,
2008-02-08,2008-6,
2008-02-15,2008-7,
2008-02-22,2008-8,
2008-02-29,2008-9,
2008-03-07,2008-10,
2008-03-14,2008-11,
2008-03-21,2008-12,
2008-03-28,2008-13,
2008-04-04,2008-14,
2008-04-11,2008-15,
2008-04-18,2008-16,
2008-04-25,2008-17,
2008-05-02,2008-18,
2008-05-09,2008-19,
2008-05-16,2008-20,
2008-05-23,2008-21,
2008-05-30,2008-22,
2008-06-06,2008-23,
2008-06-13,2008-24,
2008-06-20,2008-25,
2008-06-27,2008-26,
2008-07-04,2008-27,
2008-07-11,2008-28,
2008-07-18,2008-29,
2008-07-25,2008-30,
2008-08-01,2008-31,
2008-08-08,2008-32,
2008-08-15,2008-33,
2008-08-22,2008-34,
2008-08-29,2008-35,
2008-09-05,2008-36,
2008-09-12,2008-37,
2008-09-19,2008-38,
2008-09-26,2008-39,
2008-10-03,2008-40,
2008-10-10,2008-41,
2008-10-17,2008-42,
2008-10-24,2008-43,
2008-10-31,2008-44,
2008-11-07,2008-45,
2008-11-14,2008-46,
2008-11-21,2008-47,
2008-11-28,2008-48,
2008-12-05,2008-49,
2008-12-12,2008-50,
2008-12-19,2008-51,
2008-12-26,2008-52,
2009-01-02,2009-1,
2009-01-09,2009-2,
2009-01-16,2009-3,
2009-01-23,2009-4,
2009-01-30,2009-5,
2009-02-06,2009-6,
2009-02-13,2009-7,
2009-02-20,2009-8,
2009-02-27,2009-9,
2009-03-06,2009-10,
2009-03-13,2009-11,
2009-03-20,2009-12,
2009-03-27,2009-13,
2009-04-03,2009-14,
2009-04-10,2009-15,
2009-04-17,2009-16,
2009-04-24,2009-17,
2009-05-01,2009-18,
2009-05-08,2009-19,
2009-05-15,2009-20,
2009-05-22,2009-21,
2009-05-29,2009-22,
2009-06-05,2009-23,
2009-06-12,2009-24,
2009-06-19,2009-25,
2009-06-26,2009-26,
2009-07-03,2009-27,
2009-07-10,2009-28,
2009-07-17,2009-29,
2009-07-24,2009-30,
2009-07-31,2009-31,
2009-08-07,2009-32,
2009-08-14,2009-33,
2009-08-21,2009-34,
2009-08-28,2009-35,
2009-09-04,2009-36,
2009-09-11,2009-37,
2009-09-18,2009-38,
2009-09-25,2009-39,
2009-10-02,2009-40,
2009-10-09,2009-41,
2009-10-16,2009-42,
2009-10-23,2009-43,
2009-10-30,2009-44,
2009-11-06,2009-45,
2009-11-13,2009-46,
2009-11-20,2009-47,
2009-11-27,2009-48,
2009-12-04,2009-49,
2009-12-11,2009-50,
2009-12-18,2009-51,
2009-12-25,2009-52,
2010-01-01,2010-1,
2010-01-08,2010-2,
2010-01-15,2010-3,
2010-01-22,2010-4,
2010-01-29,2010-5,
2010-02-05,2010-6,
2010-02-12,2010-7,
2010-02-19,2010-8,
2010-02-26,2010-9,
2010-03-05,2010-10,
2010-03-12,2010-11,
2010-03-19,2010-12,
2010-03-26,2010-13,
2010-04-02,2010-14,
2010-04-09,2010-15,
2010-04-16,2010-16,
2010-04-23,2010-17,
2010-04-30,2010-18,
2010-05-07,2010-19,
2010-05-14,2010-20,
2010-05-21,2010-21,
2010-05-28,2010-22,
2010-06-04,2010-23,
2010-06-11,2010-24,
2010-06-18,2010-25,
2010-06-25,2010-26,
2010-07-02,2010-27,
2010-07-09,2010-28,
2010-07-16,2010-29,
2010-07-23,2010-30,
2010-07-30,2010-31,
2010-08-06,2010-32,
2010-08-13,2010-33,
2010-08-20,2010-34,
2010-08-27,2010-35,
2010-09-03,2010-36,
2010-09-10,2010-37,
2010-09-17,2010-38,
2010-09-24,2010-39,
2010-10-01,2010-40,
2010-10-08,2010-41,
2010-10-15,2010-42,
2010-10-22,2010-43,
2010-10-29,2010-44,
2010-11-05,2010-45,
2010-11-12,2010-46,
2010-11-19,2010-47,
2010-11-26,2010-48,
2010-12-03,2010-49,
2010-12-10,2010-50,
2010-12-17,2010-51,
2010-12-24,2010-52,
2010-12-31,2010-53,
2011-01-07,2011-1,
2011-01-14,2011-2,
2011-01-21,2011-3,
2011-01-28,2011-4,
2011-02-04,2011-5,
2011-02-11,2011-6,
2011-02-18,2011-7,
2011-02-25,2011-8,
2011-03-04,2011-9,
2011-03-11,2011-10,
2011-03-18,2011-11,
2011-03-25,2011-12,
2011-04-01,2011-13,
2011-04-08,2011-14,
2011-04-15,2011-15,
2011-04-22,2011-16,
2011-04-29,2011-17,
2011-05-06,2011-18,
2011-05-13,2011-19,
2011-05-20,2011-20,
2011-05-27,2011-21,
2011-06-03,2011-22,
2011-06-10,2011-23,
2011-06-17,2011-24,
2011-06-24,2011-25,
2011-07-01,2011-26,
2011-07-08,2011-27,
2011-07-15,2011-28,
2011-07-22,2011-29,
2011-07-29,2011-30,
2011-08-05,2011-31,
2011-08-12,2011-32,
2011-08-19,2011-33,
2011-08-26,2011-34,
2011-09-02,2011-35,
2011-09-09,2011-36,
2011-09-16,2011-37,
2011-09-23,2011-38,
2011-09-30,2011-39,
2011-10-07,2011-40,
2011-10-14,2011-41,
2011-10-21,2011-42,
2011-10-28,2011-43,
2011-11-04,2011-44,
2011-11-11,2011-45,
2011-11-18,2011-46,
2011-11-25,2011-47,
2011-12-02,2011-48,
2011-12-09,2011-49,
2011-12-16,2011-50,
2011-12-23,2011-51,
2011-12-30,2011-52,
2012-01-06,2012-1,
2012-01-13,2012-2,
2012-01-20,2012-3,
2012-01-27,2012-4,
2012-02-03,2012-5,
2012-02-10,2012-6,
2012-02-17,2012-7,
2012-02-24,2012-8,
2012-03-02,2012-9,
2012-03-09,2012-10,
2012-03-16,2012-11,
2012-03-23,2012-12,
2012-03-30,2012-13,
2012-04-06,2012-14,
2012-04-13,2012-15,
2012-04-20,2012-16,
2012-04-27,2012-17,
2012-05-04,2012-18,
2012-05-11,2012-19,
2012-05-18,2012-20,
2012-05-25,2012-21,
2012-06-01,2012-22,
2012-06-08,2012-23,
2012-06-15,2012-24,
2012-06-22,2012-25,
2012-06-29,2012-26,
2012-07-06,2012-27,9.42
2012-07-13,2012-28,9.43
2012-07-20,2012-29,9.33
2012-07-27,2012-30,9.23
2012-08-03,2012-31,9.39
2012-08-10,2012-32,8.97
2012-08-17,2012-33,8.92
2012-08-24,2012-34,9.0
2012-08-31,2012-35,8.6
2012-09-07,2012-36,8.5
2012-09-14,2012-37,8.43
2012-09-21,2012-38,8.14
2012-09-28,2012-39,8.07
2012-10-05,2012-40,7.89
2012-10-12,2012-41,7.83
2012-10-19,2012-42,7.74
2012-10-26,2012-43,7.73
2012-11-02,2012-44,7.68
2012-11-09,2012-45,7.62
2012-11-16,2012-46,7.55
2012-11-23,2012-47,7.5
2012-11-30,2012-48,7.48
2012-12-07,2012-49,7.44
2012-12-14,2012-50,7.41
2012-12-21,2012-51,7.43
2012-12-28,2012-52,7.32
2013-01-04,2013-1,7.15
2013-01-11,2013-2,7.08
2013-01-18,2013-3,7.03
2013-01-25,2013-4,6.87
2013-02-01,2013-5,6.78
2013-02-08,2013-6,6.67
2013-02-15,2013-7,6.64
2013-02-22,2013-8,6.48
2013-03-01,2013-9,6.4
2013-03-08,2013-10,6.36
2013-03-15,2013-11,6.23
2013-03-22,2013-12,6.27
2013-03-29,2013-13,6.29
2013-04-05,2013-14,6.23
2013-04-12,2013-15,6.2
2013-04-19,2013-16,6.15
2013-04-26,2013-17,6.13
2013-05-03,2013-18,6.09
2013-05-10,2013-19,6.05
2013-05-17,2013-20,5.95
2013-05-24,2013-21,5.68
2013-05-31,2013-22,5.57
2013-06-07,2013-23,5.55
2013-06-14,2013-24,5.7
2013-06-21,2013-25,5.77
2013-06-28,2013-26,6.0
2013-07-05,2013-27,6.14
2013-07-12,2013-28,6.5
2013-07-19,2013-29,6.64
2013-07-26,2013-30,6.83
2013-08-02,2013-31,7.16
2013-08-09,2013-32,7.2
2013-08-16,2013-33,7.15
2013-08-23,2013-34,7.14
2013-08-30,2013-35,7.39
2013-09-06,2013-36,7.46
2013-09-13,2013-37,7.53
2013-09-20,2013-38,7.58
2013-09-27,2013-39,7.66
2013-10-04,2013-40,7.72
2013-10-11,2013-41,7.68
2013-10-18,2013-42,7.45
2013-10-25,2013-43,7.55
2013-11-01,2013-44,7.41
2013-11-08,2013-45,7.49
2013-11-15,2013-46,7.45
2013-11-22,2013-47,7.47
2013-11-29,2013-48,7.58
2013-12-06,2013-49,7.57
2013-12-13,2013-50,7.74
2013-12-20,2013-51,7.68
2013-12-27,2013-52,7.67
2014-01-03,2014-1,7.79
2014-01-10,2014-2,7.57
2014-01-17,2014-3,7.79
2014-01-24,2014-4,7.79
2014-01-31,2014-5,8.29
2014-02-07,2014-6,8.63
2014-02-14,2014-7,8.86
2014-02-21,2014-8,8.99
2014-02-28,2014-9,9.13
2014-03-07,2014-10,9.33
2014-03-14,2014-11,9.35
2014-03-21,2014-12,9.41
2014-03-28,2014-13,9.5
2014-04-04,2014-14,9.41
2014-04-11,2014-15,9.3
2014-04-18,2014-16,9.48
2014-04-25,2014-17,9.19
2014-05-02,2014-18,9.25
2014-05-09,2014-19,9.28
2014-05-16,2014-20,8.85
2014-05-23,2014-21,9.07
2014-05-30,2014-22,9.06
2014-06-06,2014-23,9.16
2014-06-13,2014-24,9.14
2014-06-20,2014-25,9.15
2014-06-27,2014-26,9.12
2014-07-04,2014-27,8.79
2014-07-11,2014-28,8.77
2014-07-18,2014-29,8.77
2014-07-25,2014-30,8.46
2014-08-01,2014-31,8.38
2014-08-08,2014-32,8.35
2014-08-15,2014-33,8.26
2014-08-22,2014-34,8.34
2014-08-29,2014-35,8.2
2014-09-05,2014-36,8.19
2014-09-12,2014-37,8.22
2014-09-19,2014-38,8.35
2014-09-26,2014-39,8.16
2014-10-03,2014-40,8.25
2014-10-10,2014-41,8.21
2014-10-17,2014-42,8.42
2014-10-24,2014-43,8.29
2014-10-31,2014-44,8.32
2014-11-07,2014-45,8.44
2014-11-14,2014-46,8.51
2014-11-21,2014-47,8.58
2014-11-28,2014-48,8.5
2014-12-05,2014-49,8.51
2014-12-12,2014-50,8.62
2014-12-19,2014-51,8.82
2014-12-26,2014-52,8.71
2015-01-02,2015-1,8.73
2015-01-09,2015-2,8.66
2015-01-16,2015-3,8.73
2015-01-23,2015-4,8.54
2015-01-30,2015-5,8.59
2015-02-06,2015-6,8.53
2015-02-13,2015-7,8.6
2015-02-20,2015-8,8.71
2015-02-27,2015-9,8.6
2015-03-06,2015-10,8.66
2015-03-13,2015-11,8.66
2015-03-20,2015-12,8.84
2015-03-27,2015-13,8.71
2015-04-03,2015-14,8.72
2015-04-10,2015-15,8.84
2015-04-17,2015-16,8.94
2015-04-24,2015-17,8.89
2015-05-01,2015-18,8.88
2015-05-08,2015-19,9.02
2015-05-15,2015-20,8.84
2015-05-22,2015-21,8.76
2015-05-29,2015-22,8.87
2015-06-05,2015-23,9.06
2015-06-12,2015-24,9.14
2015-06-19,2015-25,9.28
2015-06-26,2015-26,9.16
2015-07-03,2015-27,9.27
2015-07-10,2015-28,9.28
2015-07-17,2015-29,9.29
2015-07-24,2015-30,9.17
2015-07-31,2015-31,9.3
2015-08-07,2015-32,9.28
2015-08-14,2015-33,9.39
2015-08-21,2015-34,9.36
2015-08-28,2015-35,9.4
2015-09-04,2015-36,9.58
2015-09-11,2015-37,9.49
2015-09-18,2015-38,9.75
2015-09-25,2015-39,9.51
2015-10-02,2015-40,9.76
2015-10-09,2015-41,9.62
2015-10-16,2015-42,9.63
2015-10-23,2015-43,9.61
2015-10-30,2015-44,9.8
2015-11-06,2015-45,9.71
2015-11-13,2015-46,9.69
2015-11-20,2015-47,9.83
2015-11-27,2015-48,9.77
2015-12-04,2015-49,9.85
2015-12-11,2015-50,9.88
2015-12-18,2015-51,10.13
2015-12-25,2015-52,9.91
2016-01-01,2016-1,9.88
2016-01-08,2016-2,9.95
2016-01-15,2016-3,10.05
2016-01-22,2016-4,9.89
2016-01-29,2016-5,9.85
2016-02-05,2016-6,9.84
2016-02-12,2016-7,9.81
2016-02-19,2016-8,10.07
2016-02-26,2016-9,9.88
2016-03-04,2016-10,9.97
2016-03-11,2016-11,10.01
2016-03-18,2016-12,9.93
2016-03-25,2016-13,9.95
2016-04-01,2016-14,10.11
2016-04-08,2016-15,10.0
2016-04-15,2016-16,9.96
2016-04-22,2016-17,10.0
2016-04-29,2016-18,9.85
2016-05-06,2016-19,9.85
2016-05-13,2016-20,9.82
2016-05-20,2016-21,9.91
2016-05-27,2016-22,9.67
2016-06-03,2016-23,9.61
2016-06-10,2016-24,9.44
2016-06-17,2016-25,9.49
2016-06-24,2016-26,9.27
2016-07-01,2016-27,9.31
2016-07-08,2016-28,9.16
2016-07-15,2016-29,9.23
2016-07-22,2016-30,9.29
2016-07-29,2016-31,9.17
2016-08-05,2016-32,9.28
2016-08-12,2016-33,9.33
2016-08-19,2016-34,9.23
2016-08-26,2016-35,9.28
2016-09-02,2016-36,9.29
2016-09-09,2016-37,9.19
2016-09-16,2016-38,9.17
2016-09-23,2016-39,9.35
2016-09-30,2016-40,9.27
2016-10-07,2016-41,9.22
2016-10-14,2016-42,9.33
2016-10-21,2016-43,9.41
2016-10-28,2016-44,9.3
2016-11-04,2016-45,9.33
2016-11-11,2016-46,9.2
2016-11-18,2016-47,9.12
2016-11-25,2016-48,9.1
2016-12-02,2016-49,9.27
2016-12-09,2016-50,9.18
2016-12-16,2016-51,9.15
2016-12-23,2016-52,9.3
2016-12-30,2016-53,9.18
2017-01-06,2017-1,9.15
2017-01-13,2017-2,9.15
2017-01-20,2017-3,9.26
2017-01-27,2017-4,9.19
2017-02-03,2017-5,9.33
2017-02-10,2017-6,9.32
2017-02-17,2017-7,9.49
2017-02-24,2017-8,9.32
2017-03-03,2017-9,9.55
2017-03-10,2017-10,9.56
2017-03-17,2017-11,9.75
2017-03-24,2017-12,9.68
2017-03-31,2017-13,9.87
2017-04-07,2017-14,9.8
2017-04-14,2017-15,10.14
2017-04-21,2017-16,10.35
2017-04-28,2017-17,10.2
2017-05-05,2017-18,10.33
2017-05-12,2017-19,10.5
2017-05-19,2017-20,10.49
2017-05-26,2017-21,10.62
2017-06-02,2017-22,10.78
2017-06-09,2017-23,10.87
2017-06-16,2017-24,10.9
2017-06-23,2017-25,11.22
2017-06-30,2017-26,11.03
2017-07-07,2017-27,11.12
2017-07-14,2017-28,10.96
2017-07-21,2017-29,11.16
2017-07-28,2017-30,10.96
2017-08-04,2017-31,11.1
2017-08-11,2017-32,11.06
2017-08-18,2017-33,11.0
2017-08-25,2017-34,11.03
2017-09-01,2017-35,11.05
2017-09-08,2017-36,11.14
2017-09-15,2017-37,11.06
2017-09-22,2017-38,11.31
2017-09-29,2017-39,11.23
2017-10-06,2017-40,11.21
2017-10-13,2017-41,11.34
2017-10-20,2017-42,11.44
2017-10-27,2017-43,11.39
2017-11-03,2017-44,11.51
2017-11-10,2017-45,11.52
2017-11-17,2017-46,11.6
2017-11-24,2017-47,11.54
2017-12-01,2017-48,11.62
2017-12-08,2017-49,11.53
2017-12-15,2017-50,11.53
2017-12-22,2017-51,11.77
2017-12-29,2017-52,11.53
2018-01-05,2018-1,11.57
2018-01-12,2018-2,11.53
2018-01-19,2018-3,11.51
2018-01-26,2018-4,11.61
2018-02-02,2018-5,11.77
2018-02-09,2018-6,11.77
2018-02-16,2018-7,11.73
2018-02-23,2018-8,11.98
2018-03-02,2018-9,11.94
2018-03-09,2018-10,11.85
2018-03-16,2018-11,11.9
2018-03-23,2018-12,12.12
2018-03-30,2018-13,12.09
2018-04-06,2018-14,12.01
2018-04-13,2018-15,12.1
2018-04-20,2018-16,12.14
2018-04-27,2018-17,11.99
2018-05-04,2018-18,12.02
2018-05-11,2018-19,11.96
2018-05-18,2018-20,12.21
2018-05-25,2018-21,12.67
2018-06-01,2018-22,13.34
2018-06-08,2018-23,13.84
2018-06-15,2018-24,14.22
2018-06-22,2018-25,14.81
2018-06-29,2018-26,14.65
2018-07-06,2018-27,14.82
2018-07-13,2018-28,15.06
2018-07-20,2018-29,15.52
2018-07-27,2018-30,15.38
2018-08-03,2018-31,15.51
2018-08-10,2018-32,15.56
2018-08-17,2018-33,16.51
2018-08-24,2018-34,15.91
2018-08-31,2018-35,16.83
2018-09-07,2018-36,18.04
2018-09-14,2018-37,20.19
2018-09-21,2018-38,21.58
2018-09-28,2018-39,21.81
2018-10-05,2018-40,21.91
2018-10-12,2018-41,21.96
2018-10-19,2018-42,22.06
2018-10-26,2018-43,22.11
2018-11-02,2018-44,22.15
2018-11-09,2018-45,21.88
2018-11-16,2018-46,21.72
2018-11-23,2018-47,21.83
2018-11-30,2018-48,21.28
2018-12-07,2018-49,21.2
2018-12-14,2018-50,21.25
2018-12-21,2018-51,21.17
2018-12-28,2018-52,21.25
2019-01-04,2019-1,21.04
2019-01-11,2019-2,20.86
