Tarih,TP_USD_MT05,TP_USD_MT05
2006-08-18,2006-33,4.58
2006-08-25,2006-34,4.65
2006-09-01,2006-35,4.71
2006-09-08,2006-36,4.57
2006-09-15,2006-37,4.68
2006-09-22,2006-38,4.75
2006-09-29,2006-39,4.79
2006-10-06,2006-40,5.32
2006-10-13,2006-41,4.9
2006-10-20,2006-42,5.28
2006-10-27,2006-43,4.58
2006-11-03,2006-44,4.91
2006-11-10,2006-45,5.68
2006-11-17,2006-46,4.67
2006-11-24,2006-47,5.07
2006-12-01,2006-48,4.81
2006-12-08,2006-49,4.74
2006-12-15,2006-50,4.89
2006-12-22,2006-51,5.06
2006-12-29,2006-52,5.15
2007-01-05,2007-1,4.72
2007-01-12,2007-2,4.9
2007-01-19,2007-3,4.69
2007-01-26,2007-4,4.83
2007-02-02,2007-5,5.64
2007-02-09,2007-6,4.89
2007-02-16,2007-7,4.81
2007-02-23,2007-8,5.01
2007-03-02,2007-9,4.87
2007-03-09,2007-10,4.95
2007-03-16,2007-11,4.84
2007-03-23,2007-12,4.95
2007-03-30,2007-13,4.68
2007-04-06,2007-14,4.87
2007-04-13,2007-15,4.8
2007-04-20,2007-16,4.68
2007-04-27,2007-17,4.68
2007-05-04,2007-18,4.54
2007-05-11,2007-19,4.64
2007-05-18,2007-20,4.87
2007-05-25,2007-21,4.65
2007-06-01,2007-22,4.59
2007-06-08,2007-23,4.62
2007-06-15,2007-24,4.66
2007-06-22,2007-25,4.71
2007-06-29,2007-26,4.75
2007-07-06,2007-27,4.67
2007-07-13,2007-28,4.63
2007-07-20,2007-29,4.64
2007-07-27,2007-30,4.63
2007-08-03,2007-31,4.56
2007-08-10,2007-32,4.62
2007-08-17,2007-33,4.65
2007-08-24,2007-34,4.64
2007-08-31,2007-35,4.65
2007-09-07,2007-36,4.62
2007-09-14,2007-37,4.63
2007-09-21,2007-38,4.59
2007-09-28,2007-39,4.64
2007-10-05,2007-40,4.67
2007-10-12,2007-41,4.64
2007-10-19,2007-42,4.71
2007-10-26,2007-43,4.74
2007-11-02,2007-44,4.71
2007-11-09,2007-45,4.69
2007-11-16,2007-46,4.68
2007-11-23,2007-47,4.88
2007-11-30,2007-48,4.61
2007-12-07,2007-49,4.65
2007-12-14,2007-50,4.64
2007-12-21,2007-51,4.69
2007-12-28,2007-52,4.72
2008-01-04,2008-1,4.72
2008-01-11,2008-2,4.66
2008-01-18,2008-3,4.66
2008-01-25,2008-4,4.59
2008-02-01,2008-5,4.5
2008-02-08,2008-6,4.52
2008-02-15,2008-7,4.56
2008-02-22,2008-8,4.6
2008-02-29,2008-9,4.54
2008-03-07,2008-10,4.45
2008-03-14,2008-11,4.52
2008-03-21,2008-12,4.53
2008-03-28,2008-13,4.52
2008-04-04,2008-14,4.45
2008-04-11,2008-15,4.48
2008-04-18,2008-16,4.52
2008-04-25,2008-17,4.48
2008-05-02,2008-18,4.48
2008-05-09,2008-19,4.48
2008-05-16,2008-20,4.63
2008-05-23,2008-21,4.45
2008-05-30,2008-22,4.5
2008-06-06,2008-23,4.34
2008-06-13,2008-24,4.42
2008-06-20,2008-25,4.85
2008-06-27,2008-26,4.42
2008-07-04,2008-27,4.42
2008-07-11,2008-28,4.53
2008-07-18,2008-29,4.28
2008-07-25,2008-30,4.11
2008-08-01,2008-31,3.92
2008-08-08,2008-32,4.01
2008-08-15,2008-33,4.06
2008-08-22,2008-34,4.05
2008-08-29,2008-35,4.05
2008-09-05,2008-36,3.95
2008-09-12,2008-37,4.02
2008-09-19,2008-38,4.28
2008-09-26,2008-39,4.09
2008-10-03,2008-40,4.03
2008-10-10,2008-41,4.02
2008-10-17,2008-42,4.33
2008-10-24,2008-43,4.11
2008-10-31,2008-44,4.45
2008-11-07,2008-45,4.05
2008-11-14,2008-46,4.39
2008-11-21,2008-47,4.64
2008-11-28,2008-48,4.16
2008-12-05,2008-49,4.53
2008-12-12,2008-50,3.72
2008-12-19,2008-51,3.84
2008-12-26,2008-52,4.05
2009-01-02,2009-1,5.87
2009-01-09,2009-2,3.75
2009-01-16,2009-3,4.12
2009-01-23,2009-4,4.53
2009-01-30,2009-5,3.87
2009-02-06,2009-6,3.2
2009-02-13,2009-7,3.67
2009-02-20,2009-8,3.56
2009-02-27,2009-9,4.39
2009-03-06,2009-10,3.6
2009-03-13,2009-11,2.94
2009-03-20,2009-12,3.59
2009-03-27,2009-13,3.24
2009-04-03,2009-14,3.49
2009-04-10,2009-15,3.56
2009-04-17,2009-16,3.62
2009-04-24,2009-17,2.95
2009-05-01,2009-18,3.91
2009-05-08,2009-19,4.03
2009-05-15,2009-20,3.68
2009-05-22,2009-21,3.64
2009-05-29,2009-22,3.24
2009-06-05,2009-23,3.21
2009-06-12,2009-24,3.35
2009-06-19,2009-25,2.74
2009-06-26,2009-26,3.21
2009-07-03,2009-27,4.37
2009-07-10,2009-28,3.01
2009-07-17,2009-29,3.28
2009-07-24,2009-30,3.66
2009-07-31,2009-31,3.24
2009-08-07,2009-32,2.96
2009-08-14,2009-33,2.92
2009-08-21,2009-34,2.93
2009-08-28,2009-35,3.24
2009-09-04,2009-36,2.72
2009-09-11,2009-37,2.98
2009-09-18,2009-38,2.81
2009-09-25,2009-39,2.89
2009-10-02,2009-40,3.58
2009-10-09,2009-41,2.6
2009-10-16,2009-42,2.68
2009-10-23,2009-43,2.73
2009-10-30,2009-44,6.95
2009-11-06,2009-45,2.65
2009-11-13,2009-46,2.82
2009-11-20,2009-47,2.83
2009-11-27,2009-48,2.53
2009-12-04,2009-49,2.71
2009-12-11,2009-50,2.74
2009-12-18,2009-51,2.74
2009-12-25,2009-52,2.66
2010-01-01,2010-1,2.77
2010-01-08,2010-2,2.64
2010-01-15,2010-3,2.54
2010-01-22,2010-4,2.83
2010-01-29,2010-5,2.72
2010-02-05,2010-6,2.84
2010-02-12,2010-7,2.59
2010-02-19,2010-8,2.71
2010-02-26,2010-9,2.77
2010-03-05,2010-10,2.74
2010-03-12,2010-11,2.84
2010-03-19,2010-12,2.46
2010-03-26,2010-13,2.65
2010-04-02,2010-14,3.06
2010-04-09,2010-15,2.52
2010-04-16,2010-16,2.82
2010-04-23,2010-17,2.85
2010-04-30,2010-18,2.43
2010-05-07,2010-19,2.69
2010-05-14,2010-20,2.67
2010-05-21,2010-21,2.67
2010-05-28,2010-22,2.64
2010-06-04,2010-23,2.82
2010-06-11,2010-24,3.25
2010-06-18,2010-25,3.48
2010-06-25,2010-26,2.87
2010-07-02,2010-27,2.73
2010-07-09,2010-28,2.6
2010-07-16,2010-29,2.58
2010-07-23,2010-30,2.94
2010-07-30,2010-31,2.78
2010-08-06,2010-32,3.14
2010-08-13,2010-33,2.65
2010-08-20,2010-34,2.57
2010-08-27,2010-35,2.68
2010-09-03,2010-36,2.6
2010-09-10,2010-37,2.36
2010-09-17,2010-38,2.74
2010-09-24,2010-39,2.67
2010-10-01,2010-40,2.91
2010-10-08,2010-41,2.55
2010-10-15,2010-42,2.15
2010-10-22,2010-43,2.53
2010-10-29,2010-44,2.07
2010-11-05,2010-45,2.42
2010-11-12,2010-46,2.44
2010-11-19,2010-47,
2010-11-26,2010-48,2.25
2010-12-03,2010-49,3.09
2010-12-10,2010-50,2.55
2010-12-17,2010-51,2.45
2010-12-24,2010-52,2.3
2010-12-31,2010-53,3.21
2011-01-07,2011-1,2.76
2011-01-14,2011-2,3.19
2011-01-21,2011-3,2.66
2011-01-28,2011-4,1.97
2011-02-04,2011-5,2.52
2011-02-11,2011-6,2.8
2011-02-18,2011-7,3.68
2011-02-25,2011-8,5.1
2011-03-04,2011-9,3.28
2011-03-11,2011-10,3.22
2011-03-18,2011-11,2.34
2011-03-25,2011-12,3.39
2011-04-01,2011-13,3.0
2011-04-08,2011-14,2.64
2011-04-15,2011-15,2.16
2011-04-22,2011-16,2.34
2011-04-29,2011-17,3.78
2011-05-06,2011-18,3.07
2011-05-13,2011-19,3.17
2011-05-20,2011-20,2.94
2011-05-27,2011-21,3.38
2011-06-03,2011-22,3.92
2011-06-10,2011-23,2.89
2011-06-17,2011-24,3.58
2011-06-24,2011-25,2.83
2011-07-01,2011-26,2.76
2011-07-08,2011-27,3.7
2011-07-15,2011-28,3.59
2011-07-22,2011-29,2.96
2011-07-29,2011-30,3.9
2011-08-05,2011-31,3.29
2011-08-12,2011-32,3.66
2011-08-19,2011-33,3.79
2011-08-26,2011-34,3.14
2011-09-02,2011-35,3.05
2011-09-09,2011-36,3.14
2011-09-16,2011-37,3.25
2011-09-23,2011-38,3.04
2011-09-30,2011-39,3.3
2011-10-07,2011-40,3.36
2011-10-14,2011-41,3.34
2011-10-21,2011-42,3.49
2011-10-28,2011-43,8.33
2011-11-04,2011-44,3.3
2011-11-11,2011-45,2.96
2011-11-18,2011-46,3.19
2011-11-25,2011-47,2.94
2011-12-02,2011-48,3.33
2011-12-09,2011-49,3.83
2011-12-16,2011-50,3.26
2011-12-23,2011-51,4.24
2011-12-30,2011-52,3.45
2012-01-06,2012-1,3.67
2012-01-13,2012-2,4.12
2012-01-20,2012-3,3.48
2012-01-27,2012-4,3.53
2012-02-03,2012-5,3.45
2012-02-10,2012-6,3.76
2012-02-17,2012-7,4.66
2012-02-24,2012-8,3.9
2012-03-02,2012-9,5.37
2012-03-09,2012-10,3.11
2012-03-16,2012-11,3.47
2012-03-23,2012-12,3.13
2012-03-30,2012-13,3.54
2012-04-06,2012-14,3.94
2012-04-13,2012-15,3.32
2012-04-20,2012-16,3.61
2012-04-27,2012-17,4.13
2012-05-04,2012-18,4.14
2012-05-11,2012-19,3.28
2012-05-18,2012-20,4.35
2012-05-25,2012-21,2.89
2012-06-01,2012-22,3.12
2012-06-08,2012-23,3.61
2012-06-15,2012-24,3.68
2012-06-22,2012-25,3.51
2012-06-29,2012-26,3.51
2012-07-06,2012-27,3.73
2012-07-13,2012-28,4.14
2012-07-20,2012-29,3.41
2012-07-27,2012-30,3.54
2012-08-03,2012-31,3.35
2012-08-10,2012-32,3.43
2012-08-17,2012-33,2.97
2012-08-24,2012-34,3.36
2012-08-31,2012-35,3.26
2012-09-07,2012-36,3.18
2012-09-14,2012-37,3.04
2012-09-21,2012-38,3.04
2012-09-28,2012-39,3.24
2012-10-05,2012-40,3.03
2012-10-12,2012-41,3.11
2012-10-19,2012-42,2.94
2012-10-26,2012-43,2.86
2012-11-02,2012-44,3.17
2012-11-09,2012-45,2.7
2012-11-16,2012-46,2.53
2012-11-23,2012-47,3.11
2012-11-30,2012-48,4.29
2012-12-07,2012-49,2.66
2012-12-14,2012-50,3.21
2012-12-21,2012-51,3.06
2012-12-28,2012-52,2.8
2013-01-04,2013-1,3.72
2013-01-11,2013-2,2.95
2013-01-18,2013-3,2.62
2013-01-25,2013-4,2.62
2013-02-01,2013-5,2.76
2013-02-08,2013-6,2.62
2013-02-15,2013-7,2.62
2013-02-22,2013-8,2.58
2013-03-01,2013-9,2.7
2013-03-08,2013-10,2.31
2013-03-15,2013-11,2.26
2013-03-22,2013-12,2.5
2013-03-29,2013-13,2.47
2013-04-05,2013-14,2.76
2013-04-12,2013-15,2.51
2013-04-19,2013-16,2.51
2013-04-26,2013-17,2.46
2013-05-03,2013-18,2.36
2013-05-10,2013-19,2.42
2013-05-17,2013-20,2.42
2013-05-24,2013-21,2.21
2013-05-31,2013-22,2.77
2013-06-07,2013-23,2.78
2013-06-14,2013-24,2.5
2013-06-21,2013-25,2.34
2013-06-28,2013-26,2.36
2013-07-05,2013-27,2.62
2013-07-12,2013-28,2.49
2013-07-19,2013-29,2.94
2013-07-26,2013-30,2.66
2013-08-02,2013-31,2.72
2013-08-09,2013-32,2.73
2013-08-16,2013-33,2.91
2013-08-23,2013-34,3.1
2013-08-30,2013-35,2.84
2013-09-06,2013-36,3.13
2013-09-13,2013-37,2.65
2013-09-20,2013-38,2.78
2013-09-27,2013-39,2.83
2013-10-04,2013-40,2.7
2013-10-11,2013-41,3.01
2013-10-18,2013-42,2.55
2013-10-25,2013-43,2.86
2013-11-01,2013-44,2.67
2013-11-08,2013-45,2.53
2013-11-15,2013-46,2.58
2013-11-22,2013-47,2.35
2013-11-29,2013-48,2.7
2013-12-06,2013-49,3.25
2013-12-13,2013-50,2.64
2013-12-20,2013-51,2.97
2013-12-27,2013-52,2.61
2014-01-03,2014-1,2.22
2014-01-10,2014-2,3.51
2014-01-17,2014-3,2.74
2014-01-24,2014-4,2.32
2014-01-31,2014-5,2.35
2014-02-07,2014-6,2.72
2014-02-14,2014-7,2.62
2014-02-21,2014-8,2.8
2014-02-28,2014-9,2.62
2014-03-07,2014-10,2.38
2014-03-14,2014-11,2.63
2014-03-21,2014-12,2.93
2014-03-28,2014-13,2.61
2014-04-04,2014-14,2.96
2014-04-11,2014-15,2.55
2014-04-18,2014-16,2.56
2014-04-25,2014-17,2.83
2014-05-02,2014-18,2.58
2014-05-09,2014-19,2.31
2014-05-16,2014-20,2.24
2014-05-23,2014-21,2.33
2014-05-30,2014-22,2.39
2014-06-06,2014-23,2.28
2014-06-13,2014-24,2.24
2014-06-20,2014-25,3.05
2014-06-27,2014-26,1.97
2014-07-04,2014-27,2.47
2014-07-11,2014-28,2.17
2014-07-18,2014-29,2.15
2014-07-25,2014-30,2.2
2014-08-01,2014-31,2.01
2014-08-08,2014-32,2.04
2014-08-15,2014-33,2.1
2014-08-22,2014-34,2.08
2014-08-29,2014-35,2.13
2014-09-05,2014-36,2.15
2014-09-12,2014-37,2.02
2014-09-19,2014-38,2.06
2014-09-26,2014-39,2.04
2014-10-03,2014-40,1.97
2014-10-10,2014-41,2.0
2014-10-17,2014-42,2.01
2014-10-24,2014-43,1.96
2014-10-31,2014-44,1.97
2014-11-07,2014-45,1.95
2014-11-14,2014-46,2.04
2014-11-21,2014-47,2.15
2014-11-28,2014-48,1.81
2014-12-05,2014-49,1.93
2014-12-12,2014-50,1.85
2014-12-19,2014-51,2.33
2014-12-26,2014-52,2.51
2015-01-02,2015-1,2.83
2015-01-09,2015-2,2.17
2015-01-16,2015-3,1.98
2015-01-23,2015-4,1.98
2015-01-30,2015-5,1.89
2015-02-06,2015-6,1.86
2015-02-13,2015-7,1.93
2015-02-20,2015-8,1.15
2015-02-27,2015-9,2.53
2015-03-06,2015-10,2.14
2015-03-13,2015-11,2.47
2015-03-20,2015-12,2.23
2015-03-27,2015-13,1.99
2015-04-03,2015-14,2.02
2015-04-10,2015-15,2.31
2015-04-17,2015-16,2.15
2015-04-24,2015-17,2.22
2015-05-01,2015-18,2.29
2015-05-08,2015-19,2.04
2015-05-15,2015-20,2.0
2015-05-22,2015-21,1.88
2015-05-29,2015-22,2.01
2015-06-05,2015-23,2.12
2015-06-12,2015-24,1.91
2015-06-19,2015-25,1.96
2015-06-26,2015-26,1.48
2015-07-03,2015-27,1.92
2015-07-10,2015-28,1.84
2015-07-17,2015-29,1.91
2015-07-24,2015-30,1.52
2015-07-31,2015-31,2.02
2015-08-07,2015-32,1.82
2015-08-14,2015-33,1.9
2015-08-21,2015-34,1.96
2015-08-28,2015-35,2.02
2015-09-04,2015-36,1.88
2015-09-11,2015-37,1.89
2015-09-18,2015-38,1.92
2015-09-25,2015-39,1.78
2015-10-02,2015-40,1.88
2015-10-09,2015-41,1.98
2015-10-16,2015-42,2.18
2015-10-23,2015-43,1.72
2015-10-30,2015-44,1.57
2015-11-06,2015-45,1.88
2015-11-13,2015-46,1.87
2015-11-20,2015-47,1.82
2015-11-27,2015-48,1.74
2015-12-04,2015-49,1.83
2015-12-11,2015-50,1.68
2015-12-18,2015-51,1.81
2015-12-25,2015-52,1.84
2016-01-01,2016-1,2.08
2016-01-08,2016-2,1.69
2016-01-15,2016-3,2.16
2016-01-22,2016-4,2.01
2016-01-29,2016-5,2.15
2016-02-05,2016-6,1.43
2016-02-12,2016-7,2.89
2016-02-19,2016-8,2.13
2016-02-26,2016-9,2.25
2016-03-04,2016-10,1.58
2016-03-11,2016-11,2.06
2016-03-18,2016-12,1.83
2016-03-25,2016-13,2.41
2016-04-01,2016-14,2.02
2016-04-08,2016-15,1.93
2016-04-15,2016-16,2.09
2016-04-22,2016-17,1.96
2016-04-29,2016-18,2.18
2016-05-06,2016-19,1.96
2016-05-13,2016-20,2.05
2016-05-20,2016-21,1.96
2016-05-27,2016-22,1.83
2016-06-03,2016-23,1.48
2016-06-10,2016-24,2.07
2016-06-17,2016-25,2.44
2016-06-24,2016-26,2.06
2016-07-01,2016-27,1.95
2016-07-08,2016-28,1.82
2016-07-15,2016-29,2.0
2016-07-22,2016-30,1.44
2016-07-29,2016-31,1.89
2016-08-05,2016-32,1.83
2016-08-12,2016-33,1.92
2016-08-19,2016-34,2.03
2016-08-26,2016-35,1.95
2016-09-02,2016-36,2.12
2016-09-09,2016-37,2.01
2016-09-16,2016-38,1.76
2016-09-23,2016-39,1.99
2016-09-30,2016-40,2.16
2016-10-07,2016-41,3.08
2016-10-14,2016-42,2.1
2016-10-21,2016-43,2.38
2016-10-28,2016-44,2.26
2016-11-04,2016-45,1.98
2016-11-11,2016-46,2.65
2016-11-18,2016-47,2.56
2016-11-25,2016-48,2.52
2016-12-02,2016-49,2.25
2016-12-09,2016-50,2.02
2016-12-16,2016-51,2.16
2016-12-23,2016-52,2.47
2016-12-30,2016-53,2.86
2017-01-06,2017-1,3.43
2017-01-13,2017-2,3.0
2017-01-20,2017-3,2.09
2017-01-27,2017-4,2.34
