Tarih,TP_IN_RH2_EV_TOP_A
2015-09-01,1794.0
2015-10-01,1517.0
2015-11-01,1953.0
2015-12-01,2872.0
2016-01-01,1647.0
2016-02-01,1842.0
2016-03-01,1814.0
2016-04-01,2362.0
2016-05-01,1984.0
2016-06-01,2238.0
2016-07-01,1519.0
2016-08-01,1962.0
2016-09-01,1509.0
2016-10-01,2103.0
2016-11-01,2158.0
2016-12-01,2419.0
2017-01-01,1409.0
2017-02-01,1276.0
2017-03-01,1941.0
2017-04-01,2080.0
2017-05-01,2087.0
2017-06-01,3693.0
2017-07-01,2063.0
2017-08-01,2219.0
2017-09-01,4008.0
2017-10-01,2397.0
2017-11-01,1879.0
2017-12-01,2327.0
2018-01-01,1571.0
2018-02-01,1760.0
2018-03-01,2097.0
2018-04-01,2061.0
2018-05-01,2507.0
2018-06-01,2115.0
2018-07-01,1761.0
2018-08-01,1590.0
2018-09-01,1881.0
2018-10-01,2022.0
2018-11-01,1994.0
2018-12-01,2387.0
2019-01-01,1474.0
2019-02-01,975.0
2019-03-01,1725.0
2019-04-01,1227.0
2019-05-01,1408.0
2019-06-01,816.0
2019-07-01,1390.0
2019-08-01,1077.0
2019-09-01,1501.0
2019-10-01,1544.0
2019-11-01,2128.0
2019-12-01,2423.0
2020-01-01,1183.0
2020-02-01,1331.0
2020-03-01,1814.0
2020-04-01,1378.0
2020-05-01,1437.0
2020-06-01,2743.0
2020-07-01,2921.0
2020-08-01,2866.0
2020-09-01,4054.0
2020-10-01,4578.0
2020-11-01,4700.0
2020-12-01,6577.0
2021-01-01,3366.0
2021-02-01,3651.0
2021-03-01,5441.0
2021-04-01,4455.0
2021-05-01,2859.0
2021-06-01,5246.0
2021-07-01,4167.0
2021-08-01,4430.0
2021-09-01,5263.0
2021-10-01,5381.0
2021-11-01,5368.0
2021-12-01,8153.0
2022-01-01,3298.0
2022-02-01,3386.0
2022-03-01,4925.0
2022-04-01,4812.0
2022-05-01,3656.0
2022-06-01,5119.0
2022-07-01,3229.0
2022-08-01,4806.0
2022-09-01,4636.0
2022-10-01,4853.0
2022-11-01,4801.0
2022-12-01,8434.0
2023-01-01,4200.0
2023-02-01,2568.0
2023-03-01,3544.0
2023-04-01,3697.0
2023-05-01,4879.0
2023-06-01,4755.0
2023-07-01,5069.0
2023-08-01,5904.0
2023-09-01,5527.0
2023-10-01,5436.0
2023-11-01,5253.0
2023-12-01,9749.0
2024-01-01,2789.0
2024-02-01,3814.0
2024-03-01,5818.0
2024-04-01,2870.0
2024-05-01,4336.0
2024-06-01,3295.0
2024-07-01,4655.0
2024-08-01,4142.0
2024-09-01,4626.0
2024-10-01,4690.0
2024-11-01,4930.0
2024-12-01,8506.0
2025-01-01,4094.0
2025-02-01,3572.0
2025-03-01,3688.0
2025-04-01,3377.0
2025-05-01,4520.0
2025-06-01,5471.0
