Tarih,TP_IN_RH2_TOPLAM_OZE_A
2015-09-01,8885.0
2015-10-01,9255.0
2015-11-01,11151.0
2015-12-01,15591.0
2016-01-01,9429.0
2016-02-01,10965.0
2016-03-01,13786.0
2016-04-01,12282.0
2016-05-01,11341.0
2016-06-01,11376.0
2016-07-01,7333.0
2016-08-01,10212.0
2016-09-01,8414.0
2016-10-01,10645.0
2016-11-01,11395.0
2016-12-01,14668.0
2017-01-01,8440.0
2017-02-01,8560.0
2017-03-01,11879.0
2017-04-01,11766.0
2017-05-01,12569.0
2017-06-01,22237.0
2017-07-01,12144.0
2017-08-01,11614.0
2017-09-01,29774.0
2017-10-01,9829.0
2017-11-01,7394.0
2017-12-01,10414.0
2018-01-01,6621.0
2018-02-01,6821.0
2018-03-01,9037.0
2018-04-01,9029.0
2018-05-01,12539.0
2018-06-01,10531.0
2018-07-01,8428.0
2018-08-01,6087.0
2018-09-01,6766.0
2018-10-01,6729.0
2018-11-01,6443.0
2018-12-01,11184.0
2019-01-01,3779.0
2019-02-01,3117.0
2019-03-01,5587.0
2019-04-01,2906.0
2019-05-01,3543.0
2019-06-01,2059.0
2019-07-01,3425.0
2019-08-01,3334.0
2019-09-01,3636.0
2019-10-01,4165.0
2019-11-01,6391.0
2019-12-01,11070.0
2020-01-01,4038.0
2020-02-01,4177.0
2020-03-01,5239.0
2020-04-01,4871.0
2020-05-01,4858.0
2020-06-01,9939.0
2020-07-01,8865.0
2020-08-01,7413.0
2020-09-01,9529.0
2020-10-01,10519.0
2020-11-01,10760.0
2020-12-01,16775.0
2021-01-01,8569.0
2021-02-01,9317.0
2021-03-01,15612.0
2021-04-01,11558.0
2021-05-01,6927.0
2021-06-01,12335.0
2021-07-01,9281.0
2021-08-01,9503.0
2021-09-01,11456.0
2021-10-01,11423.0
2021-11-01,11517.0
2021-12-01,20221.0
2022-01-01,7069.0
2022-02-01,7334.0
2022-03-01,11421.0
2022-04-01,9473.0
2022-05-01,7774.0
2022-06-01,11608.0
2022-07-01,7368.0
2022-08-01,10106.0
2022-09-01,10673.0
2022-10-01,10781.0
2022-11-01,10992.0
2022-12-01,21743.0
2023-01-01,8663.0
2023-02-01,6354.0
2023-03-01,8222.0
2023-04-01,8661.0
2023-05-01,11127.0
2023-06-01,10902.0
2023-07-01,11013.0
2023-08-01,12345.0
2023-09-01,11762.0
2023-10-01,12333.0
2023-11-01,11473.0
2023-12-01,25070.0
2024-01-01,5829.0
2024-02-01,8646.0
2024-03-01,12714.0
2024-04-01,6823.0
2024-05-01,10270.0
2024-06-01,7553.0
2024-07-01,9809.0
2024-08-01,9531.0
2024-09-01,9835.0
2024-10-01,10070.0
2024-11-01,10206.0
2024-12-01,21050.0
2025-01-01,7364.0
2025-02-01,6498.0
2025-03-01,8518.0
2025-04-01,7320.0
2025-05-01,10724.0
2025-06-01,14663.0
