Tarih,TP_IN_RH2_TOPLAM_KOP_D
2015-11-01,1294.0
2015-12-01,2721.0
2016-01-01,2754.0
2016-02-01,886.0
2016-03-01,1244.0
2016-04-01,1448.0
2016-05-01,1405.0
2016-06-01,526.0
2016-07-01,618.0
2016-08-01,874.0
2016-09-01,885.0
2016-10-01,821.0
2016-11-01,725.0
2016-12-01,925.0
2017-01-01,147.0
2017-02-01,734.0
2017-03-01,876.0
2017-04-01,910.0
2017-05-01,734.0
2017-06-01,2911.0
2017-07-01,360.0
2017-08-01,1031.0
2017-09-01,7361.0
2017-10-01,522.0
2017-11-01,162.0
2017-12-01,2681.0
2018-01-01,432.0
2018-02-01,200.0
2018-03-01,658.0
2018-04-01,545.0
2018-05-01,847.0
2018-06-01,418.0
2018-07-01,566.0
2018-08-01,645.0
2018-09-01,987.0
2018-10-01,396.0
2018-11-01,1882.0
2018-12-01,1236.0
2019-01-01,576.0
2019-02-01,106.0
2019-03-01,387.0
2019-04-01,92.0
2019-05-01,228.0
2019-06-01,65.0
2019-07-01,200.0
2019-08-01,288.0
2019-09-01,370.0
2019-10-01,215.0
2019-11-01,662.0
2019-12-01,1252.0
2020-01-01,745.0
2020-02-01,483.0
2020-03-01,181.0
2020-04-01,448.0
2020-05-01,80.0
2020-06-01,1448.0
2020-07-01,583.0
2020-08-01,415.0
2020-09-01,359.0
2020-10-01,457.0
2020-11-01,331.0
2020-12-01,2349.0
2021-01-01,220.0
2021-02-01,442.0
2021-03-01,867.0
2021-04-01,859.0
2021-05-01,257.0
2021-06-01,408.0
2021-07-01,372.0
2021-08-01,526.0
2021-09-01,516.0
2021-10-01,823.0
2021-11-01,471.0
2021-12-01,1281.0
2022-01-01,241.0
2022-02-01,561.0
2022-03-01,238.0
2022-04-01,704.0
2022-05-01,387.0
2022-06-01,577.0
2022-07-01,170.0
2022-08-01,1083.0
2022-09-01,1034.0
2022-10-01,372.0
2022-11-01,870.0
2022-12-01,3199.0
2023-01-01,338.0
2023-02-01,645.0
2023-03-01,993.0
2023-04-01,306.0
2023-05-01,1347.0
2023-06-01,1914.0
2023-07-01,894.0
2023-08-01,1342.0
2023-09-01,706.0
2023-10-01,1302.0
2023-11-01,1217.0
2023-12-01,7095.0
2024-01-01,874.0
2024-02-01,1579.0
2024-03-01,2658.0
2024-04-01,1144.0
2024-05-01,733.0
2024-06-01,618.0
2024-07-01,961.0
2024-08-01,560.0
2024-09-01,1156.0
2024-10-01,1420.0
2024-11-01,1027.0
2024-12-01,3649.0
2025-01-01,588.0
2025-02-01,774.0
2025-03-01,1361.0
2025-04-01,915.0
2025-05-01,1121.0
2025-06-01,1324.0
