Tarih,TP_IN_RH2_DIGER_OZE_A
2016-03-01,2001.0
2016-04-01,865.0
2016-05-01,695.0
2016-06-01,469.0
2016-07-01,270.0
2016-08-01,399.0
2016-09-01,309.0
2016-10-01,446.0
2016-11-01,409.0
2016-12-01,444.0
2017-01-01,279.0
2017-02-01,259.0
2017-03-01,364.0
2017-04-01,399.0
2017-05-01,419.0
2017-06-01,527.0
2017-07-01,375.0
2017-08-01,389.0
2017-09-01,440.0
2017-10-01,595.0
2017-11-01,456.0
2017-12-01,467.0
2018-01-01,325.0
2018-02-01,309.0
2018-03-01,445.0
2018-04-01,468.0
2018-05-01,511.0
2018-06-01,548.0
2018-07-01,527.0
2018-08-01,442.0
2018-09-01,444.0
2018-10-01,346.0
2018-11-01,305.0
2018-12-01,380.0
2019-01-01,174.0
2019-02-01,156.0
2019-03-01,279.0
2019-04-01,182.0
2019-05-01,228.0
2019-06-01,99.0
2019-07-01,257.0
2019-08-01,207.0
2019-09-01,220.0
2019-10-01,215.0
2019-11-01,183.0
2019-12-01,160.0
2020-01-01,132.0
2020-02-01,139.0
2020-03-01,180.0
2020-04-01,192.0
2020-05-01,167.0
2020-06-01,320.0
2020-07-01,268.0
2020-08-01,222.0
2020-09-01,373.0
2020-10-01,418.0
2020-11-01,403.0
2020-12-01,493.0
2021-01-01,283.0
2021-02-01,286.0
2021-03-01,419.0
2021-04-01,399.0
2021-05-01,292.0
2021-06-01,489.0
2021-07-01,392.0
2021-08-01,408.0
2021-09-01,492.0
2021-10-01,439.0
2021-11-01,396.0
2021-12-01,537.0
2022-01-01,180.0
2022-02-01,195.0
2022-03-01,337.0
2022-04-01,237.0
2022-05-01,223.0
2022-06-01,323.0
2022-07-01,198.0
2022-08-01,310.0
2022-09-01,267.0
2022-10-01,265.0
2022-11-01,245.0
2022-12-01,411.0
2023-01-01,226.0
2023-02-01,144.0
2023-03-01,209.0
2023-04-01,226.0
2023-05-01,254.0
2023-06-01,226.0
2023-07-01,211.0
2023-08-01,198.0
2023-09-01,176.0
2023-10-01,179.0
2023-11-01,184.0
2023-12-01,354.0
2024-01-01,78.0
2024-02-01,177.0
2024-03-01,220.0
2024-04-01,95.0
2024-05-01,214.0
2024-06-01,189.0
2024-07-01,226.0
2024-08-01,297.0
2024-09-01,298.0
2024-10-01,344.0
2024-11-01,634.0
2024-12-01,680.0
2025-01-01,128.0
2025-02-01,151.0
2025-03-01,155.0
2025-04-01,179.0
2025-05-01,237.0
2025-06-01,243.0
