Tarih,TP_IN_RH2_TOPLAM_DEV_A
2016-03-01,782.0
2016-04-01,559.0
2016-05-01,762.0
2016-06-01,686.0
2016-07-01,394.0
2016-08-01,602.0
2016-09-01,573.0
2016-10-01,622.0
2016-11-01,887.0
2016-12-01,1151.0
2017-01-01,593.0
2017-02-01,559.0
2017-03-01,757.0
2017-04-01,767.0
2017-05-01,762.0
2017-06-01,867.0
2017-07-01,900.0
2017-08-01,759.0
2017-09-01,1046.0
2017-10-01,818.0
2017-11-01,897.0
2017-12-01,945.0
2018-01-01,907.0
2018-02-01,773.0
2018-03-01,772.0
2018-04-01,713.0
2018-05-01,850.0
2018-06-01,1049.0
2018-07-01,866.0
2018-08-01,502.0
2018-09-01,1131.0
2018-10-01,1054.0
2018-11-01,809.0
2018-12-01,777.0
2019-01-01,557.0
2019-02-01,746.0
2019-03-01,510.0
2019-04-01,487.0
2019-05-01,644.0
2019-06-01,319.0
2019-07-01,846.0
2019-08-01,350.0
2019-09-01,694.0
2019-10-01,477.0
2019-11-01,771.0
2019-12-01,427.0
2020-01-01,385.0
2020-02-01,498.0
2020-03-01,697.0
2020-04-01,170.0
2020-05-01,308.0
2020-06-01,655.0
2020-07-01,498.0
2020-08-01,425.0
2020-09-01,667.0
2020-10-01,767.0
2020-11-01,531.0
2020-12-01,845.0
2021-01-01,542.0
2021-02-01,608.0
2021-03-01,830.0
2021-04-01,567.0
2021-05-01,653.0
2021-06-01,748.0
2021-07-01,813.0
2021-08-01,1027.0
2021-09-01,795.0
2021-10-01,821.0
2021-11-01,1186.0
2021-12-01,1479.0
2022-01-01,543.0
2022-02-01,877.0
2022-03-01,1046.0
2022-04-01,1177.0
2022-05-01,731.0
2022-06-01,881.0
2022-07-01,581.0
2022-08-01,1248.0
2022-09-01,1186.0
2022-10-01,969.0
2022-11-01,1083.0
2022-12-01,1084.0
2023-01-01,1029.0
2023-02-01,389.0
2023-03-01,940.0
2023-04-01,938.0
2023-05-01,848.0
2023-06-01,1037.0
2023-07-01,924.0
2023-08-01,1426.0
2023-09-01,1599.0
2023-10-01,960.0
2023-11-01,1439.0
2023-12-01,1876.0
2024-01-01,1181.0
2024-02-01,1670.0
2024-03-01,2311.0
2024-04-01,1109.0
2024-05-01,849.0
2024-06-01,832.0
2024-07-01,1601.0
2024-08-01,1378.0
2024-09-01,1758.0
2024-10-01,1905.0
2024-11-01,1912.0
2024-12-01,2603.0
2025-01-01,2294.0
2025-02-01,1921.0
2025-03-01,1948.0
2025-04-01,2153.0
2025-05-01,3451.0
2025-06-01,2087.0
