Tarih,TP_IN_RH2_APT_DEV_A
2016-04-01,93.0
2016-05-01,306.0
2016-06-01,190.0
2016-07-01,58.0
2016-08-01,219.0
2016-09-01,224.0
2016-10-01,163.0
2016-11-01,289.0
2016-12-01,511.0
2017-01-01,265.0
2017-02-01,150.0
2017-03-01,258.0
2017-04-01,220.0
2017-05-01,278.0
2017-06-01,358.0
2017-07-01,382.0
2017-08-01,297.0
2017-09-01,366.0
2017-10-01,244.0
2017-11-01,347.0
2017-12-01,337.0
2018-01-01,392.0
2018-02-01,216.0
2018-03-01,142.0
2018-04-01,206.0
2018-05-01,247.0
2018-06-01,248.0
2018-07-01,287.0
2018-08-01,112.0
2018-09-01,402.0
2018-10-01,307.0
2018-11-01,270.0
2018-12-01,267.0
2019-01-01,166.0
2019-02-01,369.0
2019-03-01,61.0
2019-04-01,78.0
2019-05-01,143.0
2019-06-01,7.0
2019-07-01,166.0
2019-08-01,100.0
2019-09-01,216.0
2019-10-01,165.0
2019-11-01,236.0
2019-12-01,103.0
2020-01-01,142.0
2020-02-01,139.0
2020-03-01,162.0
2020-04-01,45.0
2020-05-01,119.0
2020-06-01,218.0
2020-07-01,175.0
2020-08-01,100.0
2020-09-01,258.0
2020-10-01,82.0
2020-11-01,222.0
2020-12-01,425.0
2021-01-01,295.0
2021-02-01,326.0
2021-03-01,280.0
2021-04-01,227.0
2021-05-01,302.0
2021-06-01,291.0
2021-07-01,244.0
2021-08-01,372.0
2021-09-01,148.0
2021-10-01,226.0
2021-11-01,414.0
2021-12-01,753.0
2022-01-01,291.0
2022-02-01,407.0
2022-03-01,343.0
2022-04-01,309.0
2022-05-01,254.0
2022-06-01,241.0
2022-07-01,117.0
2022-08-01,271.0
2022-09-01,434.0
2022-10-01,347.0
2022-11-01,378.0
2022-12-01,414.0
2023-01-01,261.0
2023-02-01,99.0
2023-03-01,333.0
2023-04-01,422.0
2023-05-01,251.0
2023-06-01,546.0
2023-07-01,461.0
2023-08-01,635.0
2023-09-01,856.0
2023-10-01,401.0
2023-11-01,829.0
2023-12-01,688.0
2024-01-01,580.0
2024-02-01,940.0
2024-03-01,1075.0
2024-04-01,634.0
2024-05-01,366.0
2024-06-01,291.0
2024-07-01,589.0
2024-08-01,425.0
2024-09-01,594.0
2024-10-01,673.0
2024-11-01,628.0
2024-12-01,1054.0
2025-01-01,657.0
2025-02-01,415.0
2025-03-01,696.0
2025-04-01,827.0
2025-05-01,2099.0
2025-06-01,895.0
