Tarih,TP_IN_RH2_DIGER_KOP_B
2016-03-01,30.0
2016-04-01,18.0
2016-05-01,1659.1
2016-06-01,1223.0
2016-07-01,260.0
2016-08-01,1090.0
2016-09-01,390.0
2016-10-01,2259.0
2016-11-01,7756.0
2016-12-01,14163.0
2017-01-01,1028.0
2017-02-01,897.0
2017-03-01,
2017-04-01,966.0
2017-05-01,233.0
2017-06-01,436.0
2017-07-01,8568.0
2017-08-01,32361.0
2017-09-01,1579.0
2017-10-01,1220.0
2017-11-01,110.0
2017-12-01,1077.0
2018-01-01,1185.0
2018-02-01,
2018-03-01,
2018-04-01,1785.0
2018-05-01,
2018-06-01,1064.0
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,67.0
2018-12-01,170.0
2019-01-01,
2019-02-01,1405.0
2019-03-01,
2019-04-01,
2019-05-01,6.0
2019-06-01,933.0
2019-07-01,99.3
2019-08-01,227.0
2019-09-01,
2019-10-01,
2019-11-01,242.6
2019-12-01,1010.0
2020-01-01,
2020-02-01,196.0
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,1373.0
2020-07-01,659.0
2020-08-01,3558.0
2020-09-01,
2020-10-01,40.0
2020-11-01,
2020-12-01,39.0
2021-01-01,157.0
2021-02-01,3825.0
2021-03-01,2505.0
2021-04-01,326.0
2021-05-01,1287.0
2021-06-01,
2021-07-01,8.0
2021-08-01,1.0
2021-09-01,1428.0
2021-10-01,129.0
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,600.0
2022-04-01,1234.0
2022-05-01,1783.7
2022-06-01,46.0
2022-07-01,65.0
2022-08-01,338.0
2022-09-01,
2022-10-01,
2022-11-01,6.0
2022-12-01,698.9
2023-01-01,
2023-02-01,
2023-03-01,1220.0
2023-04-01,
2023-05-01,945.0
2023-06-01,6.0
2023-07-01,
2023-08-01,34.0
2023-09-01,514.0
2023-10-01,
2023-11-01,6.0
2023-12-01,346.0
2024-01-01,1015.0
2024-02-01,
2024-03-01,3100.0
2024-04-01,
2024-05-01,808.0
2024-06-01,
2024-07-01,232.8
2024-08-01,
2024-09-01,719.8
2024-10-01,
2024-11-01,3109.4
2024-12-01,65.0
2025-01-01,503.5
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,74.3
2025-06-01,80.0
