Tarih,TP_IN_RH2_APT_DEV_D
2015-09-01,6925.0
2015-10-01,2057.0
2015-11-01,1532.0
2015-12-01,3560.0
2016-01-01,8376.0
2016-02-01,8560.0
2016-03-01,7172.0
2016-04-01,2613.0
2016-05-01,6944.0
2016-06-01,3390.0
2016-07-01,1464.0
2016-08-01,4721.0
2016-09-01,4016.0
2016-10-01,4240.0
2016-11-01,6017.0
2016-12-01,12765.0
2017-01-01,7295.0
2017-02-01,3375.0
2017-03-01,8037.0
2017-04-01,5722.0
2017-05-01,6647.0
2017-06-01,17347.0
2017-07-01,8134.0
2017-08-01,5508.0
2017-09-01,13949.0
2017-10-01,6827.0
2017-11-01,8040.0
2017-12-01,7753.0
2018-01-01,10192.0
2018-02-01,3757.0
2018-03-01,3604.0
2018-04-01,5127.0
2018-05-01,4651.0
2018-06-01,4807.0
2018-07-01,6774.0
2018-08-01,2227.0
2018-09-01,5548.0
2018-10-01,5413.0
2018-11-01,4565.0
2018-12-01,5965.0
2019-01-01,3667.0
2019-02-01,4493.0
2019-03-01,1495.0
2019-04-01,1253.0
2019-05-01,2307.0
2019-06-01,92.0
2019-07-01,2322.0
2019-08-01,2161.0
2019-09-01,3041.0
2019-10-01,1754.0
2019-11-01,3658.0
2019-12-01,1828.0
2020-01-01,2057.0
2020-02-01,3082.0
2020-03-01,4541.0
2020-04-01,1017.0
2020-05-01,1738.0
2020-06-01,4604.0
2020-07-01,3910.0
2020-08-01,1805.0
2020-09-01,5319.0
2020-10-01,1381.0
2020-11-01,4145.0
2020-12-01,7310.0
2021-01-01,5327.0
2021-02-01,5495.0
2021-03-01,5119.0
2021-04-01,3558.0
2021-05-01,6423.0
2021-06-01,5413.0
2021-07-01,6606.0
2021-08-01,6080.0
2021-09-01,3124.0
2021-10-01,4928.0
2021-11-01,7315.0
2021-12-01,15150.0
2022-01-01,7868.0
2022-02-01,8415.0
2022-03-01,7155.0
2022-04-01,4993.0
2022-05-01,4326.0
2022-06-01,4853.0
2022-07-01,2241.0
2022-08-01,4505.0
2022-09-01,7322.0
2022-10-01,5707.0
2022-11-01,6678.0
2022-12-01,6934.0
2023-01-01,4429.0
2023-02-01,1799.0
2023-03-01,6250.0
2023-04-01,10707.0
2023-05-01,4784.0
2023-06-01,11725.0
2023-07-01,9236.0
2023-08-01,12586.0
2023-09-01,17417.0
2023-10-01,8304.0
2023-11-01,16830.0
2023-12-01,15879.0
2024-01-01,11231.0
2024-02-01,18970.0
2024-03-01,18998.0
2024-04-01,10615.0
2024-05-01,6504.0
2024-06-01,5338.0
2024-07-01,8903.0
2024-08-01,7779.0
2024-09-01,11301.0
2024-10-01,11900.0
2024-11-01,12327.0
2024-12-01,19149.0
2025-01-01,12294.0
2025-02-01,7236.0
2025-03-01,12845.0
2025-04-01,14604.0
2025-05-01,37569.0
2025-06-01,17530.0
