Tarih,TP_IN_RH2_APT_KOP_D
2015-12-01,2612.0
2016-01-01,2750.0
2016-02-01,840.0
2016-03-01,1224.0
2016-04-01,1236.0
2016-05-01,1401.0
2016-06-01,513.0
2016-07-01,591.0
2016-08-01,691.0
2016-09-01,846.0
2016-10-01,808.0
2016-11-01,690.0
2016-12-01,845.0
2017-01-01,131.0
2017-02-01,722.0
2017-03-01,876.0
2017-04-01,907.0
2017-05-01,721.0
2017-06-01,2759.0
2017-07-01,338.0
2017-08-01,951.0
2017-09-01,7183.0
2017-10-01,446.0
2017-11-01,145.0
2017-12-01,2593.0
2018-01-01,350.0
2018-02-01,197.0
2018-03-01,641.0
2018-04-01,463.0
2018-05-01,807.0
2018-06-01,407.0
2018-07-01,566.0
2018-08-01,645.0
2018-09-01,975.0
2018-10-01,317.0
2018-11-01,1759.0
2018-12-01,1134.0
2019-01-01,539.0
2019-02-01,85.0
2019-03-01,363.0
2019-04-01,92.0
2019-05-01,224.0
2019-06-01,52.0
2019-07-01,200.0
2019-08-01,267.0
2019-09-01,369.0
2019-10-01,193.0
2019-11-01,659.0
2019-12-01,1188.0
2020-01-01,715.0
2020-02-01,445.0
2020-03-01,173.0
2020-04-01,408.0
2020-05-01,80.0
2020-06-01,1443.0
2020-07-01,562.0
2020-08-01,374.0
2020-09-01,316.0
2020-10-01,399.0
2020-11-01,286.0
2020-12-01,2343.0
2021-01-01,180.0
2021-02-01,419.0
2021-03-01,848.0
2021-04-01,829.0
2021-05-01,228.0
2021-06-01,380.0
2021-07-01,338.0
2021-08-01,506.0
2021-09-01,444.0
2021-10-01,799.0
2021-11-01,457.0
2021-12-01,1250.0
2022-01-01,203.0
2022-02-01,549.0
2022-03-01,182.0
2022-04-01,677.0
2022-05-01,342.0
2022-06-01,551.0
2022-07-01,164.0
2022-08-01,1081.0
2022-09-01,940.0
2022-10-01,357.0
2022-11-01,745.0
2022-12-01,2983.0
2023-01-01,337.0
2023-02-01,628.0
2023-03-01,982.0
2023-04-01,297.0
2023-05-01,1222.0
2023-06-01,1747.0
2023-07-01,824.0
2023-08-01,1276.0
2023-09-01,649.0
2023-10-01,1266.0
2023-11-01,1158.0
2023-12-01,7027.0
2024-01-01,814.0
2024-02-01,1566.0
2024-03-01,2599.0
2024-04-01,1127.0
2024-05-01,719.0
2024-06-01,611.0
2024-07-01,938.0
2024-08-01,517.0
2024-09-01,1047.0
2024-10-01,1342.0
2024-11-01,951.0
2024-12-01,3595.0
2025-01-01,542.0
2025-02-01,743.0
2025-03-01,1310.0
2025-04-01,911.0
2025-05-01,1088.0
2025-06-01,1309.0
