Tarih,TP_IN_RH2_OFIS_KOP_B
2016-01-01,39362.0
2016-02-01,7223.0
2016-03-01,92254.0
2016-04-01,17517.0
2016-05-01,3520.0
2016-06-01,4085.0
2016-07-01,1962.0
2016-08-01,3512.0
2016-09-01,
2016-10-01,15433.0
2016-11-01,709.0
2016-12-01,16861.0
2017-01-01,1644.0
2017-02-01,14503.0
2017-03-01,2309.0
2017-04-01,1558.0
2017-05-01,29292.0
2017-06-01,10773.0
2017-07-01,27276.0
2017-08-01,29024.0
2017-09-01,232478.0
2017-10-01,2420.0
2017-11-01,769.0
2017-12-01,29134.0
2018-01-01,1519.0
2018-02-01,5469.0
2018-03-01,17361.0
2018-04-01,
2018-05-01,5215.0
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,4513.0
2018-10-01,4985.0
2018-11-01,1016.0
2018-12-01,149283.7
2019-01-01,1426.6
2019-02-01,3880.0
2019-03-01,4046.0
2019-04-01,
2019-05-01,
2019-06-01,759.9
2019-07-01,75.0
2019-08-01,
2019-09-01,
2019-10-01,91412.0
2019-11-01,17636.0
2019-12-01,
2020-01-01,6578.0
2020-02-01,3006.0
2020-03-01,3108.0
2020-04-01,12441.0
2020-05-01,
2020-06-01,1257.0
2020-07-01,
2020-08-01,
2020-09-01,48899.0
2020-10-01,1012.0
2020-11-01,1770.0
2020-12-01,5009.0
2021-01-01,1895.0
2021-02-01,
2021-03-01,4710.0
2021-04-01,25684.4
2021-05-01,6810.0
2021-06-01,582.0
2021-07-01,2985.0
2021-08-01,755.0
2021-09-01,4229.0
2021-10-01,4845.0
2021-11-01,7249.0
2021-12-01,6768.0
2022-01-01,5243.3
2022-02-01,7471.8
2022-03-01,1514.8
2022-04-01,1754.0
2022-05-01,6270.3
2022-06-01,3988.2
2022-07-01,16976.2
2022-08-01,45229.0
2022-09-01,21744.6
2022-10-01,45963.2
2022-11-01,42547.0
2022-12-01,82809.3
2023-01-01,5621.0
2023-02-01,2255.4
2023-03-01,11132.0
2023-04-01,15695.0
2023-05-01,3598.0
2023-06-01,74540.9
2023-07-01,11228.3
2023-08-01,25669.5
2023-09-01,4589.8
2023-10-01,567.1
2023-11-01,20798.3
2023-12-01,20154.8
2024-01-01,
2024-02-01,18180.5
2024-03-01,25102.5
2024-04-01,84522.9
2024-05-01,4736.3
2024-06-01,14003.3
2024-07-01,9181.6
2024-08-01,25819.9
2024-09-01,23561.0
2024-10-01,47403.6
2024-11-01,9017.6
2024-12-01,233675.5
2025-01-01,11176.1
2025-02-01,17231.3
2025-03-01,49173.2
2025-04-01,9714.0
2025-05-01,25037.4
2025-06-01,25085.5
