Tarih,TP_EVDSSTATS_ZIYARETCI
2018-04-01,52398.0
2018-05-01,80621.0
2018-06-01,70111.0
2018-07-01,55124.0
2018-08-01,72451.0
2018-09-01,53712.0
2018-10-01,53520.0
2018-11-01,48841.0
2018-12-01,44556.0
2019-01-01,46407.0
2019-02-01,41016.0
2019-03-01,48009.0
2019-04-01,51595.0
2019-05-01,54339.0
2019-06-01,37635.0
2019-07-01,52054.0
2019-08-01,40325.0
2019-09-01,43000.0
2019-10-01,49845.0
2019-11-01,46434.0
2019-12-01,51279.0
2020-01-01,50385.0
2020-02-01,48971.0
2020-03-01,54301.0
2020-04-01,78536.0
2020-05-01,88030.0
2020-06-01,65597.0
2020-07-01,51988.0
2020-08-01,50385.0
2020-09-01,54636.0
2020-10-01,64891.0
2020-11-01,73084.0
2020-12-01,74411.0
2021-01-01,73443.0
2021-02-01,71634.0
2021-03-01,81407.0
2021-04-01,90940.0
2021-05-01,65135.0
2021-06-01,62850.0
2021-07-01,50670.0
2021-08-01,57458.0
2021-09-01,36712.0
2021-10-01,63194.0
2021-11-01,93048.0
2021-12-01,175717.0
2022-01-01,107124.0
2022-02-01,74670.0
2022-03-01,76238.0
2022-04-01,33393.0
2022-05-01,55394.0
2022-06-01,81139.0
2022-07-01,76283.0
2022-08-01,74102.0
2022-09-01,64312.0
2022-10-01,58551.0
2022-11-01,44682.0
2022-12-01,76486.0
2023-01-01,57712.0
2023-02-01,40271.0
2023-03-01,68458.0
2023-04-01,78917.0
2023-05-01,86564.0
2023-06-01,87734.0
2023-07-01,60377.0
2023-08-01,65514.0
2023-09-01,68057.0
2023-10-01,66636.0
2023-11-01,78958.0
2023-12-01,83717.0
2024-01-01,83616.0
2024-02-01,77041.0
2024-03-01,87360.0
2024-04-01,74500.0
2024-05-01,102548.0
2024-06-01,52786.0
2024-07-01,83148.0
2024-08-01,90259.0
2024-09-01,85045.0
2024-10-01,94981.0
2024-11-01,85196.0
2024-12-01,89997.0
2025-01-01,82201.0
2025-02-01,94776.0
2025-03-01,101688.0
2025-04-01,77106.0
2025-05-01,96252.0
2025-06-01,60755.0
2025-07-01,66114.0
2025-08-01,65169.0
2025-09-01,67711.0
