Tarih,TP_KAVRAMSAL_HAMM1_INDX,TP_KAVRAMSAL_HAMM1_INDX
2007-05-04,2007-18,107.21
2007-05-11,2007-19,109.7
2007-05-18,2007-20,111.26
2007-05-25,2007-21,111.02
2007-06-01,2007-22,112.89
2007-06-08,2007-23,111.93
2007-06-15,2007-24,117.27
2007-06-22,2007-25,116.25
2007-06-29,2007-26,117.39
2007-07-06,2007-27,114.95
2007-07-13,2007-28,117.48
2007-07-20,2007-29,118.27
2007-07-27,2007-30,116.65
2007-08-03,2007-31,115.05
2007-08-10,2007-32,115.13
2007-08-17,2007-33,121.27
2007-08-24,2007-34,118.08
2007-08-31,2007-35,120.7
2007-09-07,2007-36,117.72
2007-09-14,2007-37,118.6
2007-09-21,2007-38,119.39
2007-09-28,2007-39,117.7
2007-10-05,2007-40,120.94
2007-10-12,2007-41,122.43
2007-10-19,2007-42,118.88
2007-10-26,2007-43,117.43
2007-11-02,2007-44,117.21
2007-11-09,2007-45,115.88
2007-11-16,2007-46,119.07
2007-11-23,2007-47,117.78
2007-11-30,2007-48,118.99
2007-12-07,2007-49,116.93
2007-12-14,2007-50,124.31
2007-12-21,2007-51,126.63
2007-12-28,2007-52,125.41
2008-01-04,2008-1,117.33
2008-01-11,2008-2,116.18
2008-01-18,2008-3,117.74
2008-01-25,2008-4,117.02
2008-02-01,2008-5,116.09
2008-02-08,2008-6,114.14
2008-02-15,2008-7,119.53
2008-02-22,2008-8,115.65
2008-02-29,2008-9,118.68
2008-03-07,2008-10,117.59
2008-03-14,2008-11,121.15
2008-03-21,2008-12,122.27
2008-03-28,2008-13,125.49
2008-04-04,2008-14,124.2
2008-04-11,2008-15,126.31
2008-04-18,2008-16,128.59
2008-04-25,2008-17,129.61
2008-05-02,2008-18,130.01
2008-05-09,2008-19,127.23
2008-05-16,2008-20,130.3
2008-05-23,2008-21,128.03
2008-05-30,2008-22,126.39
2008-06-06,2008-23,127.19
2008-06-13,2008-24,129.67
2008-06-20,2008-25,129.87
2008-06-27,2008-26,131.7
2008-07-04,2008-27,127.72
2008-07-11,2008-28,129.29
2008-07-18,2008-29,132.47
2008-07-25,2008-30,131.55
2008-08-01,2008-31,132.39
2008-08-08,2008-32,128.75
2008-08-15,2008-33,132.93
2008-08-22,2008-34,131.7
2008-08-29,2008-35,127.56
2008-09-05,2008-36,127.14
2008-09-12,2008-37,129.62
2008-09-19,2008-38,132.98
2008-09-26,2008-39,141.59
2008-10-03,2008-40,135.53
2008-10-10,2008-41,134.26
2008-10-17,2008-42,138.46
2008-10-24,2008-43,142.01
2008-10-31,2008-44,137.36
2008-11-07,2008-45,133.67
2008-11-14,2008-46,136.04
2008-11-21,2008-47,135.5
2008-11-28,2008-48,134.32
2008-12-05,2008-49,141.81
2008-12-12,2008-50,140.74
2008-12-19,2008-51,136.22
2008-12-26,2008-52,134.62
2009-01-02,2009-1,134.85
2009-01-09,2009-2,128.17
2009-01-16,2009-3,134.92
2009-01-23,2009-4,134.51
2009-01-30,2009-5,131.28
2009-02-06,2009-6,130.48
2009-02-13,2009-7,133.28
2009-02-20,2009-8,134.24
2009-02-27,2009-9,139.59
2009-03-06,2009-10,137.01
2009-03-13,2009-11,139.91
2009-03-20,2009-12,141.08
2009-03-27,2009-13,140.71
2009-04-03,2009-14,137.34
2009-04-10,2009-15,138.94
2009-04-17,2009-16,140.62
2009-04-24,2009-17,142.73
2009-05-01,2009-18,143.17
2009-05-08,2009-19,138.54
2009-05-15,2009-20,146.54
2009-05-22,2009-21,143.04
2009-05-29,2009-22,144.55
2009-06-05,2009-23,140.57
2009-06-12,2009-24,144.79
2009-06-19,2009-25,145.77
2009-06-26,2009-26,146.25
2009-07-03,2009-27,141.83
2009-07-10,2009-28,143.65
2009-07-17,2009-29,149.83
2009-07-24,2009-30,146.61
2009-07-31,2009-31,148.51
2009-08-07,2009-32,143.3
2009-08-14,2009-33,148.37
2009-08-21,2009-34,148.05
2009-08-28,2009-35,149.21
2009-09-04,2009-36,147.1
2009-09-11,2009-37,152.86
2009-09-18,2009-38,162.51
2009-09-25,2009-39,157.6
2009-10-02,2009-40,157.72
2009-10-09,2009-41,152.69
2009-10-16,2009-42,158.63
2009-10-23,2009-43,156.76
2009-10-30,2009-44,155.92
2009-11-06,2009-45,152.77
2009-11-13,2009-46,157.06
2009-11-20,2009-47,163.46
2009-11-27,2009-48,169.0
2009-12-04,2009-49,157.48
2009-12-11,2009-50,159.63
2009-12-18,2009-51,164.84
2009-12-25,2009-52,166.83
2010-01-01,2010-1,172.84
2010-01-08,2010-2,158.54
2010-01-15,2010-3,163.99
2010-01-22,2010-4,162.9
2010-01-29,2010-5,163.33
2010-02-05,2010-6,158.73
2010-02-12,2010-7,159.64
2010-02-19,2010-8,161.39
2010-02-26,2010-9,168.24
2010-03-05,2010-10,161.81
2010-03-12,2010-11,164.21
2010-03-19,2010-12,165.99
2010-03-26,2010-13,166.82
2010-04-02,2010-14,168.26
2010-04-09,2010-15,165.87
2010-04-16,2010-16,173.47
2010-04-23,2010-17,172.54
2010-04-30,2010-18,172.8
2010-05-07,2010-19,168.26
2010-05-14,2010-20,174.86
2010-05-21,2010-21,175.8
2010-05-28,2010-22,175.32
2010-06-04,2010-23,171.33
2010-06-11,2010-24,177.18
2010-06-18,2010-25,180.86
2010-06-25,2010-26,182.17
2010-07-02,2010-27,182.15
2010-07-09,2010-28,179.25
2010-07-16,2010-29,185.48
2010-07-23,2010-30,185.83
2010-07-30,2010-31,183.59
2010-08-06,2010-32,180.89
2010-08-13,2010-33,183.51
2010-08-20,2010-34,184.78
2010-08-27,2010-35,188.28
2010-09-03,2010-36,187.82
2010-09-10,2010-37,195.98
2010-09-17,2010-38,193.45
2010-09-24,2010-39,193.8
2010-10-01,2010-40,194.92
2010-10-08,2010-41,189.16
2010-10-15,2010-42,195.78
2010-10-22,2010-43,194.97
2010-10-29,2010-44,194.31
2010-11-05,2010-45,195.65
2010-11-12,2010-46,214.05
2010-11-19,2010-47,212.48
2010-11-26,2010-48,196.8
2010-12-03,2010-49,192.3
2010-12-10,2010-50,194.06
2010-12-17,2010-51,200.81
2010-12-24,2010-52,205.26
2010-12-31,2010-53,216.16
2011-01-07,2011-1,197.72
2011-01-14,2011-2,204.99
2011-01-21,2011-3,203.8
2011-01-28,2011-4,203.33
2011-02-04,2011-5,199.91
2011-02-11,2011-6,201.2
2011-02-18,2011-7,203.79
2011-02-25,2011-8,207.92
2011-03-04,2011-9,205.35
2011-03-11,2011-10,205.6
2011-03-18,2011-11,210.65
2011-03-25,2011-12,211.17
2011-04-01,2011-13,211.03
2011-04-08,2011-14,209.17
2011-04-15,2011-15,216.96
2011-04-22,2011-16,214.83
2011-04-29,2011-17,216.49
2011-05-06,2011-18,212.11
2011-05-13,2011-19,216.97
2011-05-20,2011-20,218.94
2011-05-27,2011-21,220.18
2011-06-03,2011-22,217.75
2011-06-10,2011-23,220.22
2011-06-17,2011-24,227.46
2011-06-24,2011-25,228.22
2011-07-01,2011-26,227.5
2011-07-08,2011-27,221.05
2011-07-15,2011-28,230.27
2011-07-22,2011-29,233.32
2011-07-29,2011-30,229.86
2011-08-05,2011-31,223.09
2011-08-12,2011-32,228.12
2011-08-19,2011-33,232.93
2011-08-26,2011-34,243.91
2011-09-02,2011-35,234.2
2011-09-09,2011-36,228.25
2011-09-16,2011-37,233.8
2011-09-23,2011-38,235.87
2011-09-30,2011-39,235.44
2011-10-07,2011-40,227.99
2011-10-14,2011-41,234.42
2011-10-21,2011-42,236.08
2011-10-28,2011-43,235.6
2011-11-04,2011-44,244.18
2011-11-11,2011-45,235.49
2011-11-18,2011-46,231.25
2011-11-25,2011-47,230.49
2011-12-02,2011-48,229.73
2011-12-09,2011-49,225.26
2011-12-16,2011-50,231.33
2011-12-23,2011-51,232.79
2011-12-30,2011-52,239.68
2012-01-06,2012-1,219.96
2012-01-13,2012-2,224.91
2012-01-20,2012-3,223.75
2012-01-27,2012-4,221.55
2012-02-03,2012-5,214.99
2012-02-10,2012-6,213.5
2012-02-17,2012-7,219.72
2012-02-24,2012-8,221.56
2012-03-02,2012-9,218.25
2012-03-09,2012-10,217.0
2012-03-16,2012-11,224.84
2012-03-23,2012-12,222.84
2012-03-30,2012-13,222.01
2012-04-06,2012-14,213.59
2012-04-13,2012-15,223.83
2012-04-20,2012-16,225.53
2012-04-27,2012-17,228.32
2012-05-04,2012-18,220.16
2012-05-11,2012-19,222.3
2012-05-18,2012-20,227.79
2012-05-25,2012-21,227.34
2012-06-01,2012-22,230.46
2012-06-08,2012-23,227.59
2012-06-15,2012-24,237.71
2012-06-22,2012-25,236.44
2012-06-29,2012-26,243.93
2012-07-06,2012-27,229.65
2012-07-13,2012-28,236.96
2012-07-20,2012-29,235.39
2012-07-27,2012-30,237.3
2012-08-03,2012-31,232.59
2012-08-10,2012-32,235.28
2012-08-17,2012-33,250.55
2012-08-24,2012-34,244.01
2012-08-31,2012-35,243.36
2012-09-07,2012-36,239.02
2012-09-14,2012-37,249.35
2012-09-21,2012-38,249.98
2012-09-28,2012-39,257.57
2012-10-05,2012-40,243.64
2012-10-12,2012-41,251.47
2012-10-19,2012-42,263.25
2012-10-26,2012-43,262.4
2012-11-02,2012-44,253.78
2012-11-09,2012-45,246.06
2012-11-16,2012-46,252.47
2012-11-23,2012-47,250.39
2012-11-30,2012-48,249.98
2012-12-07,2012-49,243.35
2012-12-14,2012-50,251.41
2012-12-21,2012-51,255.89
2012-12-28,2012-52,293.73
2013-01-04,2013-1,268.96
2013-01-11,2013-2,271.8
2013-01-18,2013-3,275.99
2013-01-25,2013-4,277.13
2013-02-01,2013-5,277.04
2013-02-08,2013-6,270.21
2013-02-15,2013-7,281.95
2013-02-22,2013-8,277.33
2013-03-01,2013-9,281.82
2013-03-08,2013-10,274.61
2013-03-15,2013-11,287.34
2013-03-22,2013-12,285.37
2013-03-29,2013-13,292.14
2013-04-05,2013-14,279.9
2013-04-12,2013-15,284.89
2013-04-19,2013-16,292.27
2013-04-26,2013-17,290.28
2013-05-03,2013-18,287.44
2013-05-10,2013-19,287.99
2013-05-17,2013-20,296.68
2013-05-24,2013-21,301.12
2013-05-31,2013-22,306.64
2013-06-07,2013-23,302.46
2013-06-14,2013-24,313.36
2013-06-21,2013-25,317.15
2013-06-28,2013-26,326.08
2013-07-05,2013-27,313.46
2013-07-12,2013-28,317.93
2013-07-19,2013-29,322.43
2013-07-26,2013-30,324.98
2013-08-02,2013-31,326.03
2013-08-09,2013-32,334.61
2013-08-16,2013-33,331.17
2013-08-23,2013-34,332.64
2013-08-30,2013-35,339.68
2013-09-06,2013-36,333.01
2013-09-13,2013-37,336.78
2013-09-20,2013-38,337.33
2013-09-27,2013-39,347.31
2013-10-04,2013-40,335.7
2013-10-11,2013-41,369.62
2013-10-18,2013-42,365.81
2013-10-25,2013-43,344.5
2013-11-01,2013-44,342.94
2013-11-08,2013-45,336.94
2013-11-15,2013-46,347.49
2013-11-22,2013-47,342.37
2013-11-29,2013-48,344.29
2013-12-06,2013-49,337.83
2013-12-13,2013-50,344.56
2013-12-20,2013-51,354.58
2013-12-27,2013-52,363.8
2014-01-03,2014-1,349.35
2014-01-10,2014-2,346.09
2014-01-17,2014-3,357.76
2014-01-24,2014-4,361.22
2014-01-31,2014-5,359.68
2014-02-07,2014-6,347.55
2014-02-14,2014-7,357.61
2014-02-21,2014-8,355.55
2014-02-28,2014-9,357.71
2014-03-07,2014-10,352.34
2014-03-14,2014-11,364.6
2014-03-21,2014-12,369.69
2014-03-28,2014-13,370.6
2014-04-04,2014-14,355.33
2014-04-11,2014-15,355.64
2014-04-18,2014-16,365.1
2014-04-25,2014-17,364.13
2014-05-02,2014-18,364.16
2014-05-09,2014-19,355.55
2014-05-16,2014-20,367.62
2014-05-23,2014-21,364.42
2014-05-30,2014-22,362.27
2014-06-06,2014-23,359.69
2014-06-13,2014-24,366.49
2014-06-20,2014-25,373.03
2014-06-27,2014-26,384.5
2014-07-04,2014-27,369.18
2014-07-11,2014-28,375.05
2014-07-18,2014-29,384.86
2014-07-25,2014-30,399.88
2014-08-01,2014-31,391.87
2014-08-08,2014-32,380.6
2014-08-15,2014-33,394.15
2014-08-22,2014-34,392.21
2014-08-29,2014-35,390.52
2014-09-05,2014-36,381.46
2014-09-12,2014-37,390.46
2014-09-19,2014-38,398.68
2014-09-26,2014-39,403.29
2014-10-03,2014-40,372.6
2014-10-10,2014-41,398.3
2014-10-17,2014-42,403.52
2014-10-24,2014-43,401.37
2014-10-31,2014-44,399.48
2014-11-07,2014-45,387.67
2014-11-14,2014-46,395.31
2014-11-21,2014-47,393.76
2014-11-28,2014-48,396.36
2014-12-05,2014-49,387.75
2014-12-12,2014-50,392.13
2014-12-19,2014-51,406.21
2014-12-26,2014-52,406.85
2015-01-02,2015-1,405.85
2015-01-09,2015-2,392.1
2015-01-16,2015-3,400.44
2015-01-23,2015-4,404.0
2015-01-30,2015-5,405.92
2015-02-06,2015-6,398.48
2015-02-13,2015-7,405.12
2015-02-20,2015-8,404.23
2015-02-27,2015-9,414.41
2015-03-06,2015-10,407.7
2015-03-13,2015-11,415.15
2015-03-20,2015-12,421.97
2015-03-27,2015-13,422.9
2015-04-03,2015-14,416.6
2015-04-10,2015-15,421.63
2015-04-17,2015-16,438.05
2015-04-24,2015-17,440.03
2015-05-01,2015-18,442.37
2015-05-08,2015-19,440.45
2015-05-15,2015-20,452.88
2015-05-22,2015-21,444.94
2015-05-29,2015-22,452.47
2015-06-05,2015-23,454.47
2015-06-12,2015-24,463.26
2015-06-19,2015-25,467.63
2015-06-26,2015-26,461.61
2015-07-03,2015-27,458.91
2015-07-10,2015-28,469.39
2015-07-17,2015-29,489.16
2015-07-24,2015-30,473.64
2015-07-31,2015-31,474.93
2015-08-07,2015-32,465.64
2015-08-14,2015-33,481.68
2015-08-21,2015-34,489.43
2015-08-28,2015-35,488.46
2015-09-04,2015-36,484.98
2015-09-11,2015-37,496.79
2015-09-18,2015-38,528.21
2015-09-25,2015-39,520.49
2015-10-02,2015-40,494.62
2015-10-09,2015-41,493.92
2015-10-16,2015-42,499.95
2015-10-23,2015-43,501.25
2015-10-30,2015-44,497.42
2015-11-06,2015-45,485.05
2015-11-13,2015-46,489.43
2015-11-20,2015-47,488.29
2015-11-27,2015-48,495.92
2015-12-04,2015-49,484.98
2015-12-11,2015-50,491.19
2015-12-18,2015-51,500.33
2015-12-25,2015-52,504.24
2016-01-01,2016-1,503.75
2016-01-08,2016-2,489.45
2016-01-15,2016-3,501.99
2016-01-22,2016-4,499.4
2016-01-29,2016-5,496.92
2016-02-05,2016-6,485.5
2016-02-12,2016-7,493.44
2016-02-19,2016-8,500.42
2016-02-26,2016-9,504.97
2016-03-04,2016-10,500.49
2016-03-11,2016-11,502.97
2016-03-18,2016-12,511.28
2016-03-25,2016-13,509.72
2016-04-01,2016-14,512.03
2016-04-08,2016-15,507.01
2016-04-15,2016-16,519.0
2016-04-22,2016-17,514.98
2016-04-29,2016-18,520.66
2016-05-06,2016-19,518.55
2016-05-13,2016-20,521.9
2016-05-20,2016-21,527.4
2016-05-27,2016-22,525.07
2016-06-03,2016-23,523.54
2016-06-10,2016-24,525.14
2016-06-17,2016-25,540.07
2016-06-24,2016-26,543.39
2016-07-01,2016-27,557.63
2016-07-08,2016-28,545.16
2016-07-15,2016-29,549.95
2016-07-22,2016-30,560.24
2016-07-29,2016-31,556.78
2016-08-05,2016-32,545.74
2016-08-12,2016-33,549.66
2016-08-19,2016-34,554.65
2016-08-26,2016-35,555.01
2016-09-02,2016-36,548.35
2016-09-09,2016-37,596.68
2016-09-16,2016-38,586.46
2016-09-23,2016-39,557.79
2016-09-30,2016-40,561.45
2016-10-07,2016-41,549.23
2016-10-14,2016-42,555.53
2016-10-21,2016-43,561.97
2016-10-28,2016-44,563.14
2016-11-04,2016-45,556.46
2016-11-11,2016-46,561.11
2016-11-18,2016-47,573.28
2016-11-25,2016-48,580.83
2016-12-02,2016-49,570.0
2016-12-09,2016-50,576.28
2016-12-16,2016-51,597.43
2016-12-23,2016-52,599.7
2016-12-30,2016-53,617.32
2017-01-06,2017-1,583.16
2017-01-13,2017-2,605.05
2017-01-20,2017-3,608.78
2017-01-27,2017-4,608.25
2017-02-03,2017-5,600.93
2017-02-10,2017-6,601.64
2017-02-17,2017-7,608.63
2017-02-24,2017-8,609.02
2017-03-03,2017-9,607.6
2017-03-10,2017-10,615.58
2017-03-17,2017-11,628.11
2017-03-24,2017-12,636.43
2017-03-31,2017-13,647.71
2017-04-07,2017-14,647.77
2017-04-14,2017-15,666.74
2017-04-21,2017-16,671.08
2017-04-28,2017-17,676.7
2017-05-05,2017-18,658.45
2017-05-12,2017-19,658.54
2017-05-19,2017-20,670.03
2017-05-26,2017-21,664.34
2017-06-02,2017-22,660.82
2017-06-09,2017-23,672.83
2017-06-16,2017-24,679.76
2017-06-23,2017-25,698.83
2017-06-30,2017-26,680.65
2017-07-07,2017-27,667.02
2017-07-14,2017-28,669.93
2017-07-21,2017-29,677.45
2017-07-28,2017-30,677.17
2017-08-04,2017-31,670.07
2017-08-11,2017-32,671.6
2017-08-18,2017-33,680.62
2017-08-25,2017-34,706.29
2017-09-01,2017-35,699.47
2017-09-08,2017-36,670.08
2017-09-15,2017-37,682.37
2017-09-22,2017-38,685.82
2017-09-29,2017-39,701.01
2017-10-06,2017-40,673.85
