Tarih,TP_KAVRAMSAL_HAMM2_INDX,TP_KAVRAMSAL_HAMM2_INDX
2007-05-04,2007-18,130.22
2007-05-11,2007-19,131.99
2007-05-18,2007-20,132.24
2007-05-25,2007-21,133.17
2007-06-01,2007-22,132.45
2007-06-08,2007-23,132.81
2007-06-15,2007-24,134.89
2007-06-22,2007-25,134.26
2007-06-29,2007-26,135.69
2007-07-06,2007-27,135.77
2007-07-13,2007-28,136.66
2007-07-20,2007-29,137.02
2007-07-27,2007-30,136.72
2007-08-03,2007-31,136.88
2007-08-10,2007-32,136.72
2007-08-17,2007-33,141.98
2007-08-24,2007-34,139.56
2007-08-31,2007-35,140.1
2007-09-07,2007-36,139.18
2007-09-14,2007-37,139.46
2007-09-21,2007-38,139.17
2007-09-28,2007-39,138.35
2007-10-05,2007-40,139.28
2007-10-12,2007-41,139.82
2007-10-19,2007-42,139.8
2007-10-26,2007-43,139.66
2007-11-02,2007-44,139.09
2007-11-09,2007-45,140.5
2007-11-16,2007-46,141.26
2007-11-23,2007-47,141.59
2007-11-30,2007-48,140.98
2007-12-07,2007-49,140.98
2007-12-14,2007-50,143.36
2007-12-21,2007-51,144.76
2007-12-28,2007-52,145.0
2008-01-04,2008-1,144.32
2008-01-11,2008-2,143.87
2008-01-18,2008-3,145.28
2008-01-25,2008-4,146.2
2008-02-01,2008-5,145.53
2008-02-08,2008-6,145.65
2008-02-15,2008-7,147.48
2008-02-22,2008-8,147.16
2008-02-29,2008-9,147.88
2008-03-07,2008-10,149.53
2008-03-14,2008-11,151.96
2008-03-21,2008-12,152.54
2008-03-28,2008-13,154.71
2008-04-04,2008-14,155.62
2008-04-11,2008-15,158.21
2008-04-18,2008-16,159.62
2008-04-25,2008-17,159.54
2008-05-02,2008-18,157.92
2008-05-09,2008-19,156.97
2008-05-16,2008-20,158.14
2008-05-23,2008-21,158.27
2008-05-30,2008-22,155.97
2008-06-06,2008-23,157.23
2008-06-13,2008-24,158.94
2008-06-20,2008-25,158.95
2008-06-27,2008-26,159.41
2008-07-04,2008-27,160.01
2008-07-11,2008-28,160.22
2008-07-18,2008-29,161.15
2008-07-25,2008-30,161.21
2008-08-01,2008-31,160.22
2008-08-08,2008-32,159.43
2008-08-15,2008-33,161.26
2008-08-22,2008-34,161.21
2008-08-29,2008-35,160.61
2008-09-05,2008-36,161.58
2008-09-12,2008-37,164.16
2008-09-19,2008-38,166.14
2008-09-26,2008-39,168.11
2008-10-03,2008-40,165.57
2008-10-10,2008-41,170.18
2008-10-17,2008-42,174.33
2008-10-24,2008-43,181.03
2008-10-31,2008-44,173.82
2008-11-07,2008-45,174.48
2008-11-14,2008-46,178.78
2008-11-21,2008-47,180.51
2008-11-28,2008-48,178.19
2008-12-05,2008-49,181.19
2008-12-12,2008-50,182.41
2008-12-19,2008-51,182.17
2008-12-26,2008-52,182.47
2009-01-02,2009-1,183.94
2009-01-09,2009-2,182.53
2009-01-16,2009-3,186.54
2009-01-23,2009-4,185.81
2009-01-30,2009-5,183.02
2009-02-06,2009-6,183.57
2009-02-13,2009-7,184.92
2009-02-20,2009-8,185.0
2009-02-27,2009-9,186.75
2009-03-06,2009-10,188.03
2009-03-13,2009-11,189.36
2009-03-20,2009-12,188.54
2009-03-27,2009-13,187.46
2009-04-03,2009-14,185.35
2009-04-10,2009-15,183.81
2009-04-17,2009-16,185.06
2009-04-24,2009-17,187.29
2009-05-01,2009-18,185.67
2009-05-08,2009-19,184.12
2009-05-15,2009-20,187.23
2009-05-22,2009-21,185.62
2009-05-29,2009-22,187.61
2009-06-05,2009-23,186.38
2009-06-12,2009-24,188.08
2009-06-19,2009-25,189.55
2009-06-26,2009-26,190.33
2009-07-03,2009-27,188.61
2009-07-10,2009-28,190.17
2009-07-17,2009-29,191.51
2009-07-24,2009-30,190.22
2009-07-31,2009-31,190.44
2009-08-07,2009-32,189.95
2009-08-14,2009-33,191.49
2009-08-21,2009-34,192.18
2009-08-28,2009-35,192.48
2009-09-04,2009-36,193.02
2009-09-11,2009-37,195.31
2009-09-18,2009-38,196.52
2009-09-25,2009-39,196.66
2009-10-02,2009-40,196.41
2009-10-09,2009-41,195.44
2009-10-16,2009-42,196.74
2009-10-23,2009-43,197.82
2009-10-30,2009-44,197.96
2009-11-06,2009-45,198.31
2009-11-13,2009-46,198.49
2009-11-20,2009-47,200.54
2009-11-27,2009-48,202.85
2009-12-04,2009-49,200.24
2009-12-11,2009-50,202.0
2009-12-18,2009-51,203.65
2009-12-25,2009-52,206.25
2010-01-01,2010-1,207.61
2010-01-08,2010-2,204.79
2010-01-15,2010-3,206.84
2010-01-22,2010-4,207.14
2010-01-29,2010-5,206.64
2010-02-05,2010-6,205.58
2010-02-12,2010-7,206.89
2010-02-19,2010-8,207.23
2010-02-26,2010-9,210.46
2010-03-05,2010-10,209.42
2010-03-12,2010-11,210.57
2010-03-19,2010-12,210.94
2010-03-26,2010-13,212.65
2010-04-02,2010-14,212.81
2010-04-09,2010-15,212.01
2010-04-16,2010-16,214.23
2010-04-23,2010-17,213.77
2010-04-30,2010-18,213.16
2010-05-07,2010-19,214.17
2010-05-14,2010-20,215.3
2010-05-21,2010-21,217.14
2010-05-28,2010-22,216.44
2010-06-04,2010-23,216.65
2010-06-11,2010-24,219.59
2010-06-18,2010-25,219.91
2010-06-25,2010-26,222.95
2010-07-02,2010-27,223.68
2010-07-09,2010-28,223.54
2010-07-16,2010-29,224.81
2010-07-23,2010-30,224.73
2010-07-30,2010-31,223.83
2010-08-06,2010-32,223.68
2010-08-13,2010-33,224.87
2010-08-20,2010-34,224.3
2010-08-27,2010-35,226.55
2010-09-03,2010-36,227.07
2010-09-10,2010-37,229.48
2010-09-17,2010-38,228.9
2010-09-24,2010-39,230.51
2010-10-01,2010-40,229.17
2010-10-08,2010-41,228.47
2010-10-15,2010-42,229.0
2010-10-22,2010-43,231.12
2010-10-29,2010-44,231.3
2010-11-05,2010-45,232.07
2010-11-12,2010-46,237.47
2010-11-19,2010-47,238.25
2010-11-26,2010-48,235.02
2010-12-03,2010-49,235.49
2010-12-10,2010-50,236.7
2010-12-17,2010-51,241.0
2010-12-24,2010-52,243.96
2010-12-31,2010-53,247.03
2011-01-07,2011-1,243.28
2011-01-14,2011-2,245.45
2011-01-21,2011-3,246.03
2011-01-28,2011-4,245.58
2011-02-04,2011-5,245.62
2011-02-11,2011-6,247.12
2011-02-18,2011-7,247.45
2011-02-25,2011-8,253.25
2011-03-04,2011-9,253.32
2011-03-11,2011-10,253.46
2011-03-18,2011-11,257.78
2011-03-25,2011-12,257.65
2011-04-01,2011-13,256.68
2011-04-08,2011-14,256.09
2011-04-15,2011-15,257.89
2011-04-22,2011-16,258.35
2011-04-29,2011-17,257.94
2011-05-06,2011-18,259.63
2011-05-13,2011-19,263.24
2011-05-20,2011-20,262.2
2011-05-27,2011-21,264.04
2011-06-03,2011-22,263.93
2011-06-10,2011-23,264.63
2011-06-17,2011-24,268.53
2011-06-24,2011-25,269.81
2011-07-01,2011-26,268.28
2011-07-08,2011-27,267.97
2011-07-15,2011-28,270.4
2011-07-22,2011-29,271.73
2011-07-29,2011-30,271.35
2011-08-05,2011-31,270.75
2011-08-12,2011-32,274.2
2011-08-19,2011-33,273.87
2011-08-26,2011-34,275.98
2011-09-02,2011-35,272.43
2011-09-09,2011-36,272.49
2011-09-16,2011-37,273.43
2011-09-23,2011-38,275.48
2011-09-30,2011-39,274.97
2011-10-07,2011-40,275.06
2011-10-14,2011-41,276.38
2011-10-21,2011-42,278.37
2011-10-28,2011-43,273.32
2011-11-04,2011-44,276.44
2011-11-11,2011-45,275.56
2011-11-18,2011-46,273.96
2011-11-25,2011-47,275.28
2011-12-02,2011-48,273.8
2011-12-09,2011-49,273.87
2011-12-16,2011-50,277.68
2011-12-23,2011-51,278.21
2011-12-30,2011-52,279.74
2012-01-06,2012-1,275.48
2012-01-13,2012-2,275.78
2012-01-20,2012-3,274.91
2012-01-27,2012-4,274.71
2012-02-03,2012-5,271.49
2012-02-10,2012-6,272.88
2012-02-17,2012-7,273.64
2012-02-24,2012-8,275.29
2012-03-02,2012-9,273.15
2012-03-09,2012-10,275.64
2012-03-16,2012-11,278.05
2012-03-23,2012-12,278.51
2012-03-30,2012-13,276.8
2012-04-06,2012-14,276.31
2012-04-13,2012-15,278.9
2012-04-20,2012-16,279.71
2012-04-27,2012-17,278.78
2012-05-04,2012-18,277.52
2012-05-11,2012-19,279.42
2012-05-18,2012-20,281.9
2012-05-25,2012-21,282.4
2012-06-01,2012-22,282.84
2012-06-08,2012-23,281.81
2012-06-15,2012-24,285.28
2012-06-22,2012-25,283.94
2012-06-29,2012-26,286.72
2012-07-06,2012-27,283.0
2012-07-13,2012-28,286.44
2012-07-20,2012-29,286.26
2012-07-27,2012-30,289.7
2012-08-03,2012-31,285.42
2012-08-10,2012-32,287.88
2012-08-17,2012-33,292.05
2012-08-24,2012-34,291.46
2012-08-31,2012-35,291.66
2012-09-07,2012-36,293.87
2012-09-14,2012-37,296.95
2012-09-21,2012-38,297.14
2012-09-28,2012-39,296.09
2012-10-05,2012-40,295.24
2012-10-12,2012-41,298.33
2012-10-19,2012-42,301.09
2012-10-26,2012-43,302.04
2012-11-02,2012-44,298.11
2012-11-09,2012-45,298.85
2012-11-16,2012-46,300.26
2012-11-23,2012-47,299.73
2012-11-30,2012-48,298.4
2012-12-07,2012-49,299.55
2012-12-14,2012-50,301.92
2012-12-21,2012-51,303.45
2012-12-28,2012-52,314.82
2013-01-04,2013-1,311.13
2013-01-11,2013-2,313.55
2013-01-18,2013-3,313.7
2013-01-25,2013-4,316.2
2013-02-01,2013-5,314.65
2013-02-08,2013-6,313.83
2013-02-15,2013-7,314.96
2013-02-22,2013-8,315.78
2013-03-01,2013-9,317.14
2013-03-08,2013-10,317.86
2013-03-15,2013-11,320.58
2013-03-22,2013-12,321.32
2013-03-29,2013-13,320.81
2013-04-05,2013-14,321.11
2013-04-12,2013-15,321.69
2013-04-19,2013-16,324.3
2013-04-26,2013-17,324.98
2013-05-03,2013-18,325.79
2013-05-10,2013-19,326.22
2013-05-17,2013-20,328.68
2013-05-24,2013-21,330.79
2013-05-31,2013-22,334.59
2013-06-07,2013-23,335.55
2013-06-14,2013-24,336.76
2013-06-21,2013-25,339.28
2013-06-28,2013-26,339.45
2013-07-05,2013-27,338.5
2013-07-12,2013-28,342.72
2013-07-19,2013-29,343.62
2013-07-26,2013-30,347.82
2013-08-02,2013-31,347.69
2013-08-09,2013-32,351.08
2013-08-16,2013-33,350.24
2013-08-23,2013-34,354.67
2013-08-30,2013-35,358.11
2013-09-06,2013-36,361.06
2013-09-13,2013-37,359.71
2013-09-20,2013-38,358.72
2013-09-27,2013-39,364.15
2013-10-04,2013-40,362.82
2013-10-11,2013-41,369.33
2013-10-18,2013-42,369.19
2013-10-25,2013-43,365.49
2013-11-01,2013-44,365.48
2013-11-08,2013-45,367.08
2013-11-15,2013-46,371.77
2013-11-22,2013-47,368.21
2013-11-29,2013-48,369.96
2013-12-06,2013-49,371.58
2013-12-13,2013-50,373.95
2013-12-20,2013-51,376.21
2013-12-27,2013-52,382.45
2014-01-03,2014-1,382.19
2014-01-10,2014-2,385.01
2014-01-17,2014-3,387.83
2014-01-24,2014-4,393.87
2014-01-31,2014-5,389.36
2014-02-07,2014-6,388.24
2014-02-14,2014-7,389.46
2014-02-21,2014-8,389.6
2014-02-28,2014-9,391.11
2014-03-07,2014-10,389.93
2014-03-14,2014-11,394.56
2014-03-21,2014-12,397.51
2014-03-28,2014-13,394.23
2014-04-04,2014-14,388.53
2014-04-11,2014-15,388.71
2014-04-18,2014-16,392.82
2014-04-25,2014-17,392.8
2014-05-02,2014-18,391.41
2014-05-09,2014-19,388.16
2014-05-16,2014-20,391.29
2014-05-23,2014-21,390.64
2014-05-30,2014-22,389.81
2014-06-06,2014-23,391.41
2014-06-13,2014-24,394.36
2014-06-20,2014-25,396.26
2014-06-27,2014-26,400.52
2014-07-04,2014-27,397.08
2014-07-11,2014-28,399.59
2014-07-18,2014-29,402.02
2014-07-25,2014-30,406.09
2014-08-01,2014-31,407.58
2014-08-08,2014-32,406.46
2014-08-15,2014-33,408.67
2014-08-22,2014-34,408.91
2014-08-29,2014-35,407.11
2014-09-05,2014-36,407.74
2014-09-12,2014-37,411.46
2014-09-19,2014-38,415.41
2014-09-26,2014-39,417.48
2014-10-03,2014-40,410.51
2014-10-10,2014-41,417.88
2014-10-17,2014-42,420.24
2014-10-24,2014-43,416.77
2014-10-31,2014-44,414.31
2014-11-07,2014-45,415.34
2014-11-14,2014-46,417.23
2014-11-21,2014-47,414.01
2014-11-28,2014-48,414.78
2014-12-05,2014-49,416.35
2014-12-12,2014-50,420.8
2014-12-19,2014-51,424.73
2014-12-26,2014-52,428.05
2015-01-02,2015-1,425.09
2015-01-09,2015-2,423.87
2015-01-16,2015-3,422.5
2015-01-23,2015-4,427.62
2015-01-30,2015-5,427.86
2015-02-06,2015-6,434.31
2015-02-13,2015-7,437.97
2015-02-20,2015-8,435.0
2015-02-27,2015-9,438.66
2015-03-06,2015-10,445.82
2015-03-13,2015-11,445.47
2015-03-20,2015-12,449.34
2015-03-27,2015-13,450.38
2015-04-03,2015-14,451.16
2015-04-10,2015-15,451.92
2015-04-17,2015-16,461.9
2015-04-24,2015-17,462.21
2015-05-01,2015-18,462.42
2015-05-08,2015-19,466.29
2015-05-15,2015-20,467.27
2015-05-22,2015-21,460.9
2015-05-29,2015-22,466.3
2015-06-05,2015-23,471.76
2015-06-12,2015-24,479.41
2015-06-19,2015-25,478.72
2015-06-26,2015-26,474.58
2015-07-03,2015-27,474.24
2015-07-10,2015-28,474.2
2015-07-17,2015-29,478.28
2015-07-24,2015-30,481.51
2015-07-31,2015-31,484.05
2015-08-07,2015-32,482.42
2015-08-14,2015-33,488.11
2015-08-21,2015-34,500.64
2015-08-28,2015-35,494.94
2015-09-04,2015-36,500.74
2015-09-11,2015-37,508.28
2015-09-18,2015-38,514.39
2015-09-25,2015-39,512.33
2015-10-02,2015-40,508.49
2015-10-09,2015-41,504.47
2015-10-16,2015-42,504.75
2015-10-23,2015-43,503.13
2015-10-30,2015-44,500.09
2015-11-06,2015-45,496.62
2015-11-13,2015-46,500.01
2015-11-20,2015-47,495.8
2015-11-27,2015-48,499.9
2015-12-04,2015-49,499.24
2015-12-11,2015-50,504.5
2015-12-18,2015-51,504.61
2015-12-25,2015-52,506.83
2016-01-01,2016-1,502.54
2016-01-08,2016-2,508.99
2016-01-15,2016-3,510.91
2016-01-22,2016-4,511.86
2016-01-29,2016-5,506.7
2016-02-05,2016-6,505.36
2016-02-12,2016-7,509.39
2016-02-19,2016-8,512.4
2016-02-26,2016-9,510.96
2016-03-04,2016-10,512.1
2016-03-11,2016-11,512.38
2016-03-18,2016-12,515.44
2016-03-25,2016-13,517.5
2016-04-01,2016-14,516.26
2016-04-08,2016-15,517.0
2016-04-15,2016-16,520.37
2016-04-22,2016-17,518.13
2016-04-29,2016-18,518.16
2016-05-06,2016-19,525.62
2016-05-13,2016-20,528.88
2016-05-20,2016-21,530.29
2016-05-27,2016-22,528.23
2016-06-03,2016-23,530.23
2016-06-10,2016-24,529.77
2016-06-17,2016-25,535.02
2016-06-24,2016-26,534.64
2016-07-01,2016-27,533.31
2016-07-08,2016-28,532.76
2016-07-15,2016-29,533.88
2016-07-22,2016-30,546.7
2016-07-29,2016-31,540.95
2016-08-05,2016-32,542.01
2016-08-12,2016-33,541.09
2016-08-19,2016-34,540.29
2016-08-26,2016-35,541.45
2016-09-02,2016-36,542.5
2016-09-09,2016-37,554.07
2016-09-16,2016-38,554.75
2016-09-23,2016-39,548.0
2016-09-30,2016-40,548.31
2016-10-07,2016-41,552.1
2016-10-14,2016-42,556.67
2016-10-21,2016-43,557.29
2016-10-28,2016-44,557.79
2016-11-04,2016-45,560.7
2016-11-11,2016-46,566.74
2016-11-18,2016-47,571.88
2016-11-25,2016-48,577.66
2016-12-02,2016-49,577.73
2016-12-09,2016-50,574.23
2016-12-16,2016-51,585.46
2016-12-23,2016-52,586.79
2016-12-30,2016-53,591.18
2017-01-06,2017-1,590.67
2017-01-13,2017-2,602.4
2017-01-20,2017-3,601.48
2017-01-27,2017-4,602.84
2017-02-03,2017-5,595.01
2017-02-10,2017-6,593.16
2017-02-17,2017-7,594.39
2017-02-24,2017-8,589.04
2017-03-03,2017-9,594.53
2017-03-10,2017-10,600.26
2017-03-17,2017-11,602.73
2017-03-24,2017-12,602.34
2017-03-31,2017-13,605.86
2017-04-07,2017-14,612.32
2017-04-14,2017-15,617.25
2017-04-21,2017-16,620.64
2017-04-28,2017-17,617.21
2017-05-05,2017-18,616.23
2017-05-12,2017-19,619.78
2017-05-19,2017-20,623.98
2017-05-26,2017-21,625.59
2017-06-02,2017-22,625.76
2017-06-09,2017-23,630.33
2017-06-16,2017-24,631.5
2017-06-23,2017-25,638.4
2017-06-30,2017-26,632.81
2017-07-07,2017-27,639.96
2017-07-14,2017-28,638.41
2017-07-21,2017-29,639.53
2017-07-28,2017-30,637.26
2017-08-04,2017-31,639.27
2017-08-11,2017-32,641.08
2017-08-18,2017-33,641.32
2017-08-25,2017-34,646.72
2017-09-01,2017-35,642.78
2017-09-08,2017-36,638.09
2017-09-15,2017-37,643.33
2017-09-22,2017-38,649.69
2017-09-29,2017-39,652.35
2017-10-06,2017-40,650.89
