Tarih,TP_KAVRAMSAL_ARIM3_INDX,TP_KAVRAMSAL_ARIM3_INDX
2007-05-04,2007-18,127.04
2007-05-11,2007-19,129.12
2007-05-18,2007-20,129.82
2007-05-25,2007-21,130.33
2007-06-01,2007-22,130.1
2007-06-08,2007-23,130.67
2007-06-15,2007-24,132.29
2007-06-22,2007-25,132.62
2007-06-29,2007-26,133.32
2007-07-06,2007-27,134.01
2007-07-13,2007-28,135.25
2007-07-20,2007-29,136.22
2007-07-27,2007-30,136.3
2007-08-03,2007-31,135.43
2007-08-10,2007-32,135.84
2007-08-17,2007-33,137.22
2007-08-24,2007-34,137.21
2007-08-31,2007-35,136.95
2007-09-07,2007-36,137.51
2007-09-14,2007-37,138.23
2007-09-21,2007-38,138.98
2007-09-28,2007-39,138.24
2007-10-05,2007-40,140.19
2007-10-12,2007-41,141.4
2007-10-19,2007-42,140.69
2007-10-26,2007-43,140.39
2007-11-02,2007-44,140.68
2007-11-09,2007-45,141.35
2007-11-16,2007-46,142.79
2007-11-23,2007-47,141.52
2007-11-30,2007-48,141.57
2007-12-07,2007-49,141.97
2007-12-14,2007-50,144.6
2007-12-21,2007-51,145.49
2007-12-28,2007-52,145.6
2008-01-04,2008-1,145.3
2008-01-11,2008-2,145.25
2008-01-18,2008-3,145.75
2008-01-25,2008-4,146.18
2008-02-01,2008-5,145.86
2008-02-08,2008-6,145.75
2008-02-15,2008-7,147.56
2008-02-22,2008-8,146.65
2008-02-29,2008-9,147.36
2008-03-07,2008-10,148.13
2008-03-14,2008-11,149.05
2008-03-21,2008-12,149.81
2008-03-28,2008-13,150.59
2008-04-04,2008-14,151.38
2008-04-11,2008-15,152.33
2008-04-18,2008-16,153.26
2008-04-25,2008-17,153.98
2008-05-02,2008-18,153.45
2008-05-09,2008-19,153.62
2008-05-16,2008-20,154.46
2008-05-23,2008-21,154.05
2008-05-30,2008-22,153.3
2008-06-06,2008-23,154.08
2008-06-13,2008-24,155.25
2008-06-20,2008-25,155.68
2008-06-27,2008-26,156.52
2008-07-04,2008-27,155.81
2008-07-11,2008-28,157.46
2008-07-18,2008-29,158.46
2008-07-25,2008-30,159.48
2008-08-01,2008-31,159.31
2008-08-08,2008-32,159.26
2008-08-15,2008-33,160.8
2008-08-22,2008-34,160.32
2008-08-29,2008-35,159.8
2008-09-05,2008-36,160.12
2008-09-12,2008-37,161.49
2008-09-19,2008-38,162.22
2008-09-26,2008-39,165.23
2008-10-03,2008-40,163.62
2008-10-10,2008-41,164.06
2008-10-17,2008-42,164.83
2008-10-24,2008-43,164.79
2008-10-31,2008-44,164.12
2008-11-07,2008-45,163.77
2008-11-14,2008-46,164.68
2008-11-21,2008-47,164.42
2008-11-28,2008-48,165.72
2008-12-05,2008-49,168.22
2008-12-12,2008-50,168.91
2008-12-19,2008-51,168.52
2008-12-26,2008-52,168.96
2009-01-02,2009-1,169.74
2009-01-09,2009-2,168.63
2009-01-16,2009-3,170.53
2009-01-23,2009-4,170.0
2009-01-30,2009-5,168.37
2009-02-06,2009-6,168.78
2009-02-13,2009-7,169.3
2009-02-20,2009-8,169.04
2009-02-27,2009-9,170.11
2009-03-06,2009-10,170.29
2009-03-13,2009-11,170.55
2009-03-20,2009-12,170.96
2009-03-27,2009-13,170.9
2009-04-03,2009-14,171.15
2009-04-10,2009-15,170.92
2009-04-17,2009-16,171.59
2009-04-24,2009-17,172.2
2009-05-01,2009-18,171.85
2009-05-08,2009-19,172.3
2009-05-15,2009-20,173.41
2009-05-22,2009-21,172.84
2009-05-29,2009-22,173.35
2009-06-05,2009-23,173.2
2009-06-12,2009-24,174.37
2009-06-19,2009-25,175.18
2009-06-26,2009-26,175.99
2009-07-03,2009-27,175.51
2009-07-10,2009-28,176.16
2009-07-17,2009-29,177.39
2009-07-24,2009-30,177.51
2009-07-31,2009-31,177.83
2009-08-07,2009-32,178.19
2009-08-14,2009-33,178.9
2009-08-21,2009-34,179.19
2009-08-28,2009-35,178.86
2009-09-04,2009-36,179.74
2009-09-11,2009-37,180.82
2009-09-18,2009-38,183.26
2009-09-25,2009-39,182.8
2009-10-02,2009-40,182.6
2009-10-09,2009-41,182.93
2009-10-16,2009-42,184.27
2009-10-23,2009-43,184.07
2009-10-30,2009-44,183.74
2009-11-06,2009-45,184.31
2009-11-13,2009-46,184.85
2009-11-20,2009-47,185.96
2009-11-27,2009-48,187.7
2009-12-04,2009-49,185.96
2009-12-11,2009-50,187.48
2009-12-18,2009-51,188.67
2009-12-25,2009-52,191.02
2010-01-01,2010-1,191.83
2010-01-08,2010-2,191.3
2010-01-15,2010-3,193.46
2010-01-22,2010-4,193.4
2010-01-29,2010-5,192.63
2010-02-05,2010-6,192.01
2010-02-12,2010-7,192.73
2010-02-19,2010-8,192.94
2010-02-26,2010-9,194.84
2010-03-05,2010-10,194.34
2010-03-12,2010-11,195.33
2010-03-19,2010-12,196.26
2010-03-26,2010-13,197.25
2010-04-02,2010-14,198.11
2010-04-09,2010-15,198.23
2010-04-16,2010-16,200.74
2010-04-23,2010-17,200.34
2010-04-30,2010-18,199.58
2010-05-07,2010-19,200.65
2010-05-14,2010-20,202.02
2010-05-21,2010-21,201.87
2010-05-28,2010-22,201.67
2010-06-04,2010-23,202.3
2010-06-11,2010-24,203.96
2010-06-18,2010-25,204.6
2010-06-25,2010-26,207.03
2010-07-02,2010-27,207.08
2010-07-09,2010-28,207.93
2010-07-16,2010-29,208.86
2010-07-23,2010-30,209.39
2010-07-30,2010-31,208.53
2010-08-06,2010-32,208.54
2010-08-13,2010-33,209.57
2010-08-20,2010-34,209.63
2010-08-27,2010-35,210.69
2010-09-03,2010-36,211.94
2010-09-10,2010-37,214.6
2010-09-17,2010-38,213.73
2010-09-24,2010-39,214.71
2010-10-01,2010-40,215.12
2010-10-08,2010-41,215.1
2010-10-15,2010-42,216.48
2010-10-22,2010-43,217.22
2010-10-29,2010-44,217.3
2010-11-05,2010-45,218.79
2010-11-12,2010-46,223.6
2010-11-19,2010-47,223.85
2010-11-26,2010-48,219.82
2010-12-03,2010-49,220.12
2010-12-10,2010-50,221.2
2010-12-17,2010-51,223.39
2010-12-24,2010-52,225.47
2010-12-31,2010-53,227.85
2011-01-07,2011-1,225.82
2011-01-14,2011-2,226.73
2011-01-21,2011-3,226.71
2011-01-28,2011-4,225.6
2011-02-04,2011-5,226.38
2011-02-11,2011-6,227.22
2011-02-18,2011-7,227.77
2011-02-25,2011-8,231.51
2011-03-04,2011-9,231.45
2011-03-11,2011-10,232.87
2011-03-18,2011-11,235.62
2011-03-25,2011-12,236.76
2011-04-01,2011-13,236.52
2011-04-08,2011-14,237.43
2011-04-15,2011-15,238.31
2011-04-22,2011-16,238.92
2011-04-29,2011-17,238.28
2011-05-06,2011-18,239.34
2011-05-13,2011-19,241.68
2011-05-20,2011-20,240.56
2011-05-27,2011-21,241.92
2011-06-03,2011-22,241.68
2011-06-10,2011-23,243.56
2011-06-17,2011-24,245.13
2011-06-24,2011-25,245.92
2011-07-01,2011-26,243.91
2011-07-08,2011-27,244.53
2011-07-15,2011-28,245.8
2011-07-22,2011-29,245.53
2011-07-29,2011-30,244.91
2011-08-05,2011-31,244.14
2011-08-12,2011-32,244.79
2011-08-19,2011-33,244.1
2011-08-26,2011-34,245.56
2011-09-02,2011-35,244.22
2011-09-09,2011-36,244.12
2011-09-16,2011-37,244.41
2011-09-23,2011-38,244.84
2011-09-30,2011-39,243.61
2011-10-07,2011-40,244.15
2011-10-14,2011-41,245.23
2011-10-21,2011-42,245.3
2011-10-28,2011-43,244.57
2011-11-04,2011-44,247.59
2011-11-11,2011-45,247.06
2011-11-18,2011-46,244.67
2011-11-25,2011-47,244.44
2011-12-02,2011-48,244.2
2011-12-09,2011-49,244.78
2011-12-16,2011-50,246.5
2011-12-23,2011-51,246.44
2011-12-30,2011-52,246.46
2012-01-06,2012-1,245.31
2012-01-13,2012-2,245.93
2012-01-20,2012-3,246.05
2012-01-27,2012-4,246.74
2012-02-03,2012-5,246.17
2012-02-10,2012-6,247.29
2012-02-17,2012-7,247.37
2012-02-24,2012-8,248.29
2012-03-02,2012-9,247.6
2012-03-09,2012-10,248.83
2012-03-16,2012-11,249.97
2012-03-23,2012-12,249.51
2012-03-30,2012-13,249.5
2012-04-06,2012-14,249.18
2012-04-13,2012-15,250.9
2012-04-20,2012-16,251.89
2012-04-27,2012-17,252.73
2012-05-04,2012-18,252.54
2012-05-11,2012-19,253.83
2012-05-18,2012-20,254.13
2012-05-25,2012-21,254.33
2012-06-01,2012-22,255.11
2012-06-08,2012-23,255.71
2012-06-15,2012-24,257.88
2012-06-22,2012-25,258.08
2012-06-29,2012-26,259.24
2012-07-06,2012-27,258.58
2012-07-13,2012-28,260.62
2012-07-20,2012-29,260.36
2012-07-27,2012-30,262.32
2012-08-03,2012-31,260.69
2012-08-10,2012-32,263.27
2012-08-17,2012-33,265.48
2012-08-24,2012-34,264.29
2012-08-31,2012-35,263.46
2012-09-07,2012-36,265.16
2012-09-14,2012-37,267.54
2012-09-21,2012-38,268.27
2012-09-28,2012-39,268.09
2012-10-05,2012-40,267.69
2012-10-12,2012-41,269.33
2012-10-19,2012-42,271.29
2012-10-26,2012-43,272.24
2012-11-02,2012-44,268.94
2012-11-09,2012-45,270.64
2012-11-16,2012-46,271.71
2012-11-23,2012-47,270.91
2012-11-30,2012-48,269.27
2012-12-07,2012-49,271.09
2012-12-14,2012-50,272.77
2012-12-21,2012-51,273.53
2012-12-28,2012-52,283.57
2013-01-04,2013-1,281.17
2013-01-11,2013-2,282.18
2013-01-18,2013-3,283.54
2013-01-25,2013-4,284.61
2013-02-01,2013-5,283.67
2013-02-08,2013-6,283.22
2013-02-15,2013-7,284.69
2013-02-22,2013-8,284.36
2013-03-01,2013-9,286.16
2013-03-08,2013-10,286.03
2013-03-15,2013-11,287.58
2013-03-22,2013-12,288.25
2013-03-29,2013-13,289.24
2013-04-05,2013-14,288.85
2013-04-12,2013-15,289.87
2013-04-19,2013-16,291.32
2013-04-26,2013-17,292.18
2013-05-03,2013-18,292.67
2013-05-10,2013-19,293.48
2013-05-17,2013-20,294.92
2013-05-24,2013-21,296.0
2013-05-31,2013-22,297.48
2013-06-07,2013-23,297.57
2013-06-14,2013-24,298.14
2013-06-21,2013-25,299.32
2013-06-28,2013-26,298.29
2013-07-05,2013-27,297.13
2013-07-12,2013-28,300.04
2013-07-19,2013-29,302.84
2013-07-26,2013-30,304.99
2013-08-02,2013-31,304.77
2013-08-09,2013-32,307.52
2013-08-16,2013-33,306.86
2013-08-23,2013-34,307.72
2013-08-30,2013-35,307.08
2013-09-06,2013-36,309.29
2013-09-13,2013-37,310.81
2013-09-20,2013-38,312.0
2013-09-27,2013-39,314.22
2013-10-04,2013-40,313.0
2013-10-11,2013-41,320.26
2013-10-18,2013-42,320.03
2013-10-25,2013-43,316.77
2013-11-01,2013-44,316.21
2013-11-08,2013-45,316.12
2013-11-15,2013-46,318.75
2013-11-22,2013-47,317.43
2013-11-29,2013-48,317.64
2013-12-06,2013-49,318.22
2013-12-13,2013-50,320.03
2013-12-20,2013-51,321.88
2013-12-27,2013-52,324.39
2014-01-03,2014-1,321.66
2014-01-10,2014-2,322.54
2014-01-17,2014-3,324.9
2014-01-24,2014-4,325.6
2014-01-31,2014-5,322.19
2014-02-07,2014-6,324.24
2014-02-14,2014-7,325.92
2014-02-21,2014-8,325.7
2014-02-28,2014-9,325.14
2014-03-07,2014-10,325.68
2014-03-14,2014-11,328.16
2014-03-21,2014-12,330.2
2014-03-28,2014-13,329.72
2014-04-04,2014-14,328.21
2014-04-11,2014-15,329.99
2014-04-18,2014-16,331.94
2014-04-25,2014-17,331.85
2014-05-02,2014-18,331.27
2014-05-09,2014-19,331.05
2014-05-16,2014-20,334.09
2014-05-23,2014-21,332.71
2014-05-30,2014-22,331.39
2014-06-06,2014-23,332.82
2014-06-13,2014-24,335.07
2014-06-20,2014-25,336.11
2014-06-27,2014-26,338.49
2014-07-04,2014-27,336.07
2014-07-11,2014-28,338.03
2014-07-18,2014-29,341.01
2014-07-25,2014-30,345.11
2014-08-01,2014-31,344.63
2014-08-08,2014-32,342.19
2014-08-15,2014-33,345.17
2014-08-22,2014-34,344.29
2014-08-29,2014-35,344.88
2014-09-05,2014-36,345.0
2014-09-12,2014-37,346.82
2014-09-19,2014-38,348.43
2014-09-26,2014-39,350.16
2014-10-03,2014-40,344.3
2014-10-10,2014-41,349.82
2014-10-17,2014-42,350.47
2014-10-24,2014-43,350.87
2014-10-31,2014-44,349.24
2014-11-07,2014-45,349.81
2014-11-14,2014-46,350.48
2014-11-21,2014-47,349.6
2014-11-28,2014-48,350.17
2014-12-05,2014-49,351.53
2014-12-12,2014-50,353.06
2014-12-19,2014-51,354.46
2014-12-26,2014-52,356.65
2015-01-02,2015-1,354.7
2015-01-09,2015-2,354.9
2015-01-16,2015-3,357.24
2015-01-23,2015-4,358.37
2015-01-30,2015-5,356.44
2015-02-06,2015-6,359.03
2015-02-13,2015-7,360.09
2015-02-20,2015-8,359.61
2015-02-27,2015-9,361.91
2015-03-06,2015-10,363.37
2015-03-13,2015-11,364.67
2015-03-20,2015-12,365.46
2015-03-27,2015-13,367.04
2015-04-03,2015-14,367.01
2015-04-10,2015-15,369.26
2015-04-17,2015-16,371.56
2015-04-24,2015-17,372.94
2015-05-01,2015-18,371.63
2015-05-08,2015-19,372.94
2015-05-15,2015-20,376.91
2015-05-22,2015-21,376.59
2015-05-29,2015-22,375.96
2015-06-05,2015-23,378.32
2015-06-12,2015-24,380.9
2015-06-19,2015-25,381.37
2015-06-26,2015-26,380.84
2015-07-03,2015-27,379.23
2015-07-10,2015-28,379.91
2015-07-17,2015-29,386.84
2015-07-24,2015-30,384.19
2015-07-31,2015-31,383.3
2015-08-07,2015-32,382.3
2015-08-14,2015-33,385.83
2015-08-21,2015-34,385.35
2015-08-28,2015-35,384.61
2015-09-04,2015-36,386.45
2015-09-11,2015-37,387.96
2015-09-18,2015-38,392.49
2015-09-25,2015-39,392.95
2015-10-02,2015-40,388.55
2015-10-09,2015-41,389.54
2015-10-16,2015-42,391.87
2015-10-23,2015-43,392.13
2015-10-30,2015-44,389.2
2015-11-06,2015-45,389.36
2015-11-13,2015-46,391.56
2015-11-20,2015-47,390.33
2015-11-27,2015-48,390.39
2015-12-04,2015-49,390.0
2015-12-11,2015-50,391.52
2015-12-18,2015-51,391.62
2015-12-25,2015-52,392.9
2016-01-01,2016-1,390.17
2016-01-08,2016-2,390.37
2016-01-15,2016-3,391.9
2016-01-22,2016-4,391.8
2016-01-29,2016-5,390.95
2016-02-05,2016-6,391.8
2016-02-12,2016-7,393.17
2016-02-19,2016-8,394.5
2016-02-26,2016-9,396.08
2016-03-04,2016-10,396.87
2016-03-11,2016-11,398.33
2016-03-18,2016-12,401.29
2016-03-25,2016-13,402.78
2016-04-01,2016-14,403.22
2016-04-08,2016-15,402.91
2016-04-15,2016-16,405.12
2016-04-22,2016-17,405.69
2016-04-29,2016-18,404.98
2016-05-06,2016-19,405.55
2016-05-13,2016-20,406.93
2016-05-20,2016-21,407.46
2016-05-27,2016-22,407.78
2016-06-03,2016-23,408.56
2016-06-10,2016-24,409.85
2016-06-17,2016-25,412.7
2016-06-24,2016-26,415.13
2016-07-01,2016-27,414.05
2016-07-08,2016-28,413.94
2016-07-15,2016-29,414.59
2016-07-22,2016-30,416.0
2016-07-29,2016-31,413.89
2016-08-05,2016-32,414.47
2016-08-12,2016-33,416.24
2016-08-19,2016-34,416.77
2016-08-26,2016-35,417.03
2016-09-02,2016-36,417.28
2016-09-09,2016-37,426.93
2016-09-16,2016-38,426.63
2016-09-23,2016-39,421.77
2016-09-30,2016-40,419.67
2016-10-07,2016-41,420.28
2016-10-14,2016-42,422.14
2016-10-21,2016-43,424.72
2016-10-28,2016-44,423.32
2016-11-04,2016-45,424.11
2016-11-11,2016-46,425.4
2016-11-18,2016-47,426.15
2016-11-25,2016-48,425.89
2016-12-02,2016-49,423.68
2016-12-09,2016-50,424.88
2016-12-16,2016-51,427.65
2016-12-23,2016-52,428.98
2016-12-30,2016-53,430.58
2017-01-06,2017-1,427.65
2017-01-13,2017-2,424.85
2017-01-20,2017-3,426.47
2017-01-27,2017-4,425.43
2017-02-03,2017-5,423.78
2017-02-10,2017-6,424.28
2017-02-17,2017-7,426.57
2017-02-24,2017-8,427.49
2017-03-03,2017-9,427.03
2017-03-10,2017-10,427.63
2017-03-17,2017-11,432.27
2017-03-24,2017-12,434.5
2017-03-31,2017-13,435.9
2017-04-07,2017-14,437.83
2017-04-14,2017-15,443.67
2017-04-21,2017-16,446.54
2017-04-28,2017-17,446.74
2017-05-05,2017-18,446.42
2017-05-12,2017-19,447.74
2017-05-19,2017-20,450.69
2017-05-26,2017-21,451.31
2017-06-02,2017-22,452.3
2017-06-09,2017-23,455.44
2017-06-16,2017-24,458.34
2017-06-23,2017-25,462.53
2017-06-30,2017-26,458.06
2017-07-07,2017-27,457.86
2017-07-14,2017-28,459.46
2017-07-21,2017-29,461.08
2017-07-28,2017-30,459.19
2017-08-04,2017-31,460.07
2017-08-11,2017-32,461.7
2017-08-18,2017-33,463.07
2017-08-25,2017-34,468.41
2017-09-01,2017-35,466.88
2017-09-08,2017-36,464.29
2017-09-15,2017-37,466.74
2017-09-22,2017-38,468.51
2017-09-29,2017-39,467.82
2017-10-06,2017-40,467.37
