Tarih,TP_KAVRAMSAL_ARIM1_INDX,TP_KAVRAMSAL_ARIM1_INDX
2007-05-04,2007-18,106.28
2007-05-11,2007-19,109.21
2007-05-18,2007-20,110.84
2007-05-25,2007-21,110.55
2007-06-01,2007-22,112.53
2007-06-08,2007-23,111.57
2007-06-15,2007-24,116.66
2007-06-22,2007-25,116.22
2007-06-29,2007-26,117.04
2007-07-06,2007-27,115.24
2007-07-13,2007-28,117.82
2007-07-20,2007-29,119.58
2007-07-27,2007-30,118.09
2007-08-03,2007-31,115.91
2007-08-10,2007-32,116.29
2007-08-17,2007-33,119.54
2007-08-24,2007-34,118.16
2007-08-31,2007-35,120.46
2007-09-07,2007-36,118.22
2007-09-14,2007-37,119.83
2007-09-21,2007-38,121.42
2007-09-28,2007-39,120.2
2007-10-05,2007-40,123.91
2007-10-12,2007-41,126.06
2007-10-19,2007-42,121.62
2007-10-26,2007-43,120.25
2007-11-02,2007-44,120.68
2007-11-09,2007-45,118.79
2007-11-16,2007-46,122.17
2007-11-23,2007-47,120.1
2007-11-30,2007-48,121.68
2007-12-07,2007-49,120.11
2007-12-14,2007-50,127.89
2007-12-21,2007-51,129.99
2007-12-28,2007-52,128.87
2008-01-04,2008-1,120.59
2008-01-11,2008-2,119.79
2008-01-18,2008-3,120.83
2008-01-25,2008-4,119.58
2008-02-01,2008-5,119.16
2008-02-08,2008-6,116.72
2008-02-15,2008-7,122.31
2008-02-22,2008-8,117.9
2008-02-29,2008-9,121.29
2008-03-07,2008-10,119.08
2008-03-14,2008-11,121.75
2008-03-21,2008-12,122.85
2008-03-28,2008-13,125.25
2008-04-04,2008-14,123.57
2008-04-11,2008-15,124.69
2008-04-18,2008-16,126.43
2008-04-25,2008-17,128.53
2008-05-02,2008-18,129.78
2008-05-09,2008-19,127.48
2008-05-16,2008-20,130.86
2008-05-23,2008-21,128.29
2008-05-30,2008-22,127.82
2008-06-06,2008-23,128.35
2008-06-13,2008-24,130.24
2008-06-20,2008-25,131.07
2008-06-27,2008-26,133.2
2008-07-04,2008-27,128.04
2008-07-11,2008-28,130.56
2008-07-18,2008-29,134.13
2008-07-25,2008-30,133.5
2008-08-01,2008-31,135.79
2008-08-08,2008-32,132.36
2008-08-15,2008-33,136.64
2008-08-22,2008-34,135.07
2008-08-29,2008-35,131.06
2008-09-05,2008-36,130.08
2008-09-12,2008-37,131.83
2008-09-19,2008-38,134.21
2008-09-26,2008-39,143.86
2008-10-03,2008-40,138.2
2008-10-10,2008-41,133.6
2008-10-17,2008-42,135.58
2008-10-24,2008-43,134.77
2008-10-31,2008-44,134.79
2008-11-07,2008-45,130.6
2008-11-14,2008-46,130.8
2008-11-21,2008-47,129.02
2008-11-28,2008-48,130.36
2008-12-05,2008-49,137.86
2008-12-12,2008-50,136.4
2008-12-19,2008-51,132.05
2008-12-26,2008-52,130.83
2009-01-02,2009-1,130.76
2009-01-09,2009-2,124.17
2009-01-16,2009-3,129.66
2009-01-23,2009-4,128.95
2009-01-30,2009-5,126.45
2009-02-06,2009-6,125.34
2009-02-13,2009-7,127.84
2009-02-20,2009-8,128.3
2009-02-27,2009-9,133.19
2009-03-06,2009-10,129.77
2009-03-13,2009-11,132.06
2009-03-20,2009-12,133.74
2009-03-27,2009-13,134.21
2009-04-03,2009-14,131.93
2009-04-10,2009-15,134.64
2009-04-17,2009-16,135.76
2009-04-24,2009-17,136.87
2009-05-01,2009-18,138.04
2009-05-08,2009-19,134.82
2009-05-15,2009-20,141.59
2009-05-22,2009-21,139.0
2009-05-29,2009-22,139.49
2009-06-05,2009-23,136.2
2009-06-12,2009-24,140.33
2009-06-19,2009-25,140.87
2009-06-26,2009-26,141.49
2009-07-03,2009-27,137.82
2009-07-10,2009-28,139.2
2009-07-17,2009-29,145.47
2009-07-24,2009-30,143.32
2009-07-31,2009-31,145.42
2009-08-07,2009-32,140.49
2009-08-14,2009-33,145.29
2009-08-21,2009-34,144.58
2009-08-28,2009-35,145.36
2009-09-04,2009-36,143.17
2009-09-11,2009-37,148.51
2009-09-18,2009-38,158.75
2009-09-25,2009-39,153.62
2009-10-02,2009-40,153.66
2009-10-09,2009-41,149.42
2009-10-16,2009-42,155.56
2009-10-23,2009-43,152.88
2009-10-30,2009-44,151.69
2009-11-06,2009-45,148.51
2009-11-13,2009-46,153.04
2009-11-20,2009-47,158.99
2009-11-27,2009-48,164.18
2009-12-04,2009-49,153.03
2009-12-11,2009-50,155.21
2009-12-18,2009-51,160.24
2009-12-25,2009-52,162.2
2010-01-01,2010-1,168.12
2010-01-08,2010-2,155.24
2010-01-15,2010-3,161.04
2010-01-22,2010-4,159.79
2010-01-29,2010-5,159.96
2010-02-05,2010-6,155.57
2010-02-12,2010-7,156.17
2010-02-19,2010-8,157.91
2010-02-26,2010-9,163.7
2010-03-05,2010-10,157.52
2010-03-12,2010-11,160.04
2010-03-19,2010-12,162.24
2010-03-26,2010-13,162.87
2010-04-02,2010-14,164.73
2010-04-09,2010-15,162.98
2010-04-16,2010-16,170.95
2010-04-23,2010-17,170.16
2010-04-30,2010-18,170.44
2010-05-07,2010-19,165.43
2010-05-14,2010-20,172.74
2010-05-21,2010-21,172.15
2010-05-28,2010-22,172.21
2010-06-04,2010-23,168.35
2010-06-11,2010-24,173.66
2010-06-18,2010-25,177.7
2010-06-25,2010-26,178.71
2010-07-02,2010-27,178.33
2010-07-09,2010-28,176.05
2010-07-16,2010-29,182.23
2010-07-23,2010-30,183.03
2010-07-30,2010-31,180.94
2010-08-06,2010-32,178.26
2010-08-13,2010-33,180.87
2010-08-20,2010-34,182.79
2010-08-27,2010-35,185.68
2010-09-03,2010-36,185.4
2010-09-10,2010-37,193.68
2010-09-17,2010-38,191.26
2010-09-24,2010-39,191.29
2010-10-01,2010-40,193.2
2010-10-08,2010-41,188.18
2010-10-15,2010-42,195.28
2010-10-22,2010-43,193.88
2010-10-29,2010-44,192.87
2010-11-05,2010-45,195.13
2010-11-12,2010-46,213.26
2010-11-19,2010-47,211.32
2010-11-26,2010-48,194.95
2010-12-03,2010-49,190.18
2010-12-10,2010-50,191.68
2010-12-17,2010-51,197.63
2010-12-24,2010-52,201.32
2010-12-31,2010-53,211.67
2011-01-07,2011-1,194.12
2011-01-14,2011-2,200.68
2011-01-21,2011-3,199.11
2011-01-28,2011-4,198.05
2011-02-04,2011-5,194.47
2011-02-11,2011-6,195.44
2011-02-18,2011-7,198.54
2011-02-25,2011-8,201.51
2011-03-04,2011-9,198.74
2011-03-11,2011-10,199.88
2011-03-18,2011-11,204.39
2011-03-25,2011-12,205.73
2011-04-01,2011-13,205.87
2011-04-08,2011-14,204.67
2011-04-15,2011-15,211.98
2011-04-22,2011-16,209.9
2011-04-29,2011-17,211.18
2011-05-06,2011-18,206.21
2011-05-13,2011-19,210.4
2011-05-20,2011-20,212.46
2011-05-27,2011-21,213.2
2011-06-03,2011-22,210.68
2011-06-10,2011-23,213.32
2011-06-17,2011-24,219.84
2011-06-24,2011-25,220.24
2011-07-01,2011-26,219.25
2011-07-08,2011-27,212.97
2011-07-15,2011-28,221.64
2011-07-22,2011-29,223.8
2011-07-29,2011-30,220.26
2011-08-05,2011-31,212.98
2011-08-12,2011-32,216.24
2011-08-19,2011-33,220.53
2011-08-26,2011-34,231.04
2011-09-02,2011-35,222.39
2011-09-09,2011-36,216.99
2011-09-16,2011-37,222.13
2011-09-23,2011-38,223.38
2011-09-30,2011-39,222.17
2011-10-07,2011-40,215.54
2011-10-14,2011-41,221.37
2011-10-21,2011-42,222.03
2011-10-28,2011-43,224.11
2011-11-04,2011-44,232.29
2011-11-11,2011-45,223.94
2011-11-18,2011-46,219.52
2011-11-25,2011-47,217.69
2011-12-02,2011-48,217.64
2011-12-09,2011-49,213.58
2011-12-16,2011-50,218.7
2011-12-23,2011-51,219.79
2011-12-30,2011-52,225.75
2012-01-06,2012-1,208.21
2012-01-13,2012-2,213.97
2012-01-20,2012-3,212.97
2012-01-27,2012-4,211.45
2012-02-03,2012-5,206.16
2012-02-10,2012-6,204.79
2012-02-17,2012-7,210.4
2012-02-24,2012-8,212.17
2012-03-02,2012-9,209.3
2012-03-09,2012-10,207.67
2012-03-16,2012-11,214.52
2012-03-23,2012-12,212.29
2012-03-30,2012-13,212.13
2012-04-06,2012-14,204.03
2012-04-13,2012-15,213.62
2012-04-20,2012-16,215.5
2012-04-27,2012-17,218.7
2012-05-04,2012-18,211.19
2012-05-11,2012-19,212.79
2012-05-18,2012-20,217.43
2012-05-25,2012-21,216.65
2012-06-01,2012-22,219.84
2012-06-08,2012-23,217.44
2012-06-15,2012-24,227.15
2012-06-22,2012-25,226.56
2012-06-29,2012-26,233.14
2012-07-06,2012-27,220.09
2012-07-13,2012-28,227.29
2012-07-20,2012-29,226.1
2012-07-27,2012-30,227.37
2012-08-03,2012-31,223.5
2012-08-10,2012-32,226.44
2012-08-17,2012-33,240.78
2012-08-24,2012-34,234.22
2012-08-31,2012-35,232.95
2012-09-07,2012-36,228.5
2012-09-14,2012-37,238.08
2012-09-21,2012-38,238.93
2012-09-28,2012-39,246.73
2012-10-05,2012-40,232.74
2012-10-12,2012-41,240.15
2012-10-19,2012-42,251.51
2012-10-26,2012-43,250.79
2012-11-02,2012-44,242.88
2012-11-09,2012-45,236.06
2012-11-16,2012-46,241.75
2012-11-23,2012-47,239.5
2012-11-30,2012-48,239.03
2012-12-07,2012-49,232.64
2012-12-14,2012-50,240.64
2012-12-21,2012-51,244.76
2012-12-28,2012-52,281.02
2013-01-04,2013-1,257.97
2013-01-11,2013-2,260.61
2013-01-18,2013-3,265.3
2013-01-25,2013-4,265.71
2013-02-01,2013-5,265.84
2013-02-08,2013-6,259.41
2013-02-15,2013-7,270.71
2013-02-22,2013-8,265.31
2013-03-01,2013-9,269.73
2013-03-08,2013-10,262.77
2013-03-15,2013-11,274.22
2013-03-22,2013-12,272.41
2013-03-29,2013-13,278.94
2013-04-05,2013-14,267.54
2013-04-12,2013-15,273.08
2013-04-19,2013-16,279.75
2013-04-26,2013-17,277.73
2013-05-03,2013-18,274.97
2013-05-10,2013-19,275.85
2013-05-17,2013-20,283.05
2013-05-24,2013-21,285.92
2013-05-31,2013-22,290.45
2013-06-07,2013-23,285.13
2013-06-14,2013-24,295.92
2013-06-21,2013-25,297.82
2013-06-28,2013-26,306.03
2013-07-05,2013-27,293.59
2013-07-12,2013-28,297.82
2013-07-19,2013-29,302.86
2013-07-26,2013-30,304.7
2013-08-02,2013-31,305.48
2013-08-09,2013-32,313.76
2013-08-16,2013-33,310.47
2013-08-23,2013-34,309.48
2013-08-30,2013-35,313.28
2013-09-06,2013-36,306.7
2013-09-13,2013-37,312.08
2013-09-20,2013-38,315.05
2013-09-27,2013-39,321.81
2013-10-04,2013-40,311.38
2013-10-11,2013-41,343.82
2013-10-18,2013-42,340.31
2013-10-25,2013-43,320.07
2013-11-01,2013-44,318.64
2013-11-08,2013-45,311.62
2013-11-15,2013-46,320.66
2013-11-22,2013-47,316.96
2013-11-29,2013-48,318.61
2013-12-06,2013-49,311.07
2013-12-13,2013-50,317.61
2013-12-20,2013-51,325.83
2013-12-27,2013-52,332.6
2014-01-03,2014-1,316.58
2014-01-10,2014-2,313.1
2014-01-17,2014-3,322.89
2014-01-24,2014-4,323.03
2014-01-31,2014-5,320.91
2014-02-07,2014-6,312.92
2014-02-14,2014-7,322.28
2014-02-21,2014-8,319.99
2014-02-28,2014-9,320.8
2014-03-07,2014-10,317.26
2014-03-14,2014-11,327.1
2014-03-21,2014-12,331.4
2014-03-28,2014-13,334.37
2014-04-04,2014-14,323.17
2014-04-11,2014-15,324.67
2014-04-18,2014-16,332.06
2014-04-25,2014-17,330.77
2014-05-02,2014-18,331.82
2014-05-09,2014-19,325.92
2014-05-16,2014-20,337.13
2014-05-23,2014-21,333.64
2014-05-30,2014-22,331.71
2014-06-06,2014-23,328.57
2014-06-13,2014-24,335.14
2014-06-20,2014-25,340.02
2014-06-27,2014-26,350.3
2014-07-04,2014-27,336.3
2014-07-11,2014-28,342.0
2014-07-18,2014-29,351.21
2014-07-25,2014-30,366.58
2014-08-01,2014-31,357.34
2014-08-08,2014-32,345.97
2014-08-15,2014-33,358.45
2014-08-22,2014-34,356.08
2014-08-29,2014-35,355.38
2014-09-05,2014-36,347.86
2014-09-12,2014-37,354.62
2014-09-19,2014-38,360.94
2014-09-26,2014-39,364.38
2014-10-03,2014-40,337.93
2014-10-10,2014-41,359.69
2014-10-17,2014-42,363.38
2014-10-24,2014-43,363.32
2014-10-31,2014-44,362.95
2014-11-07,2014-45,351.49
2014-11-14,2014-46,358.04
2014-11-21,2014-47,357.29
2014-11-28,2014-48,360.43
2014-12-05,2014-49,352.01
2014-12-12,2014-50,354.58
2014-12-19,2014-51,365.01
2014-12-26,2014-52,366.06
2015-01-02,2015-1,365.16
2015-01-09,2015-2,354.35
2015-01-16,2015-3,363.86
2015-01-23,2015-4,364.95
2015-01-30,2015-5,364.47
2015-02-06,2015-6,355.81
2015-02-13,2015-7,359.91
2015-02-20,2015-8,361.13
2015-02-27,2015-9,369.16
2015-03-06,2015-10,360.23
2015-03-13,2015-11,367.84
2015-03-20,2015-12,373.09
2015-03-27,2015-13,373.26
2015-04-03,2015-14,367.68
2015-04-10,2015-15,373.05
2015-04-17,2015-16,383.26
2015-04-24,2015-17,385.09
2015-05-01,2015-18,387.1
2015-05-08,2015-19,383.69
2015-05-15,2015-20,397.58
2015-05-22,2015-21,393.81
2015-05-29,2015-22,397.11
2015-06-05,2015-23,396.34
2015-06-12,2015-24,401.7
2015-06-19,2015-25,406.39
2015-06-26,2015-26,403.95
2015-07-03,2015-27,400.24
2015-07-10,2015-28,410.33
2015-07-17,2015-29,430.05
2015-07-24,2015-30,412.6
2015-07-31,2015-31,411.14
2015-08-07,2015-32,403.37
2015-08-14,2015-33,416.23
2015-08-21,2015-34,414.47
2015-08-28,2015-35,416.17
2015-09-04,2015-36,411.65
2015-09-11,2015-37,417.72
2015-09-18,2015-38,444.86
2015-09-25,2015-39,439.5
2015-10-02,2015-40,416.92
2015-10-09,2015-41,419.57
2015-10-16,2015-42,426.8
2015-10-23,2015-43,428.77
2015-10-30,2015-44,425.58
2015-11-06,2015-45,417.08
2015-11-13,2015-46,420.6
2015-11-20,2015-47,421.07
2015-11-27,2015-48,425.67
2015-12-04,2015-49,416.26
2015-12-11,2015-50,419.83
2015-12-18,2015-51,427.19
2015-12-25,2015-52,430.68
2016-01-01,2016-1,430.97
2016-01-08,2016-2,414.26
2016-01-15,2016-3,424.26
2016-01-22,2016-4,421.95
2016-01-29,2016-5,422.34
2016-02-05,2016-6,414.78
2016-02-12,2016-7,420.08
2016-02-19,2016-8,425.23
2016-02-26,2016-9,430.99
2016-03-04,2016-10,427.57
2016-03-11,2016-11,430.8
2016-03-18,2016-12,438.72
2016-03-25,2016-13,436.76
2016-04-01,2016-14,440.7
2016-04-08,2016-15,435.44
2016-04-15,2016-16,445.32
2016-04-22,2016-17,443.81
2016-04-29,2016-18,448.47
2016-05-06,2016-19,441.67
2016-05-13,2016-20,443.57
2016-05-20,2016-21,447.38
2016-05-27,2016-22,447.57
2016-06-03,2016-23,445.66
2016-06-10,2016-24,448.88
2016-06-17,2016-25,460.24
2016-06-24,2016-26,465.79
2016-07-01,2016-27,477.86
2016-07-08,2016-28,467.43
2016-07-15,2016-29,471.09
2016-07-22,2016-30,472.63
2016-07-29,2016-31,471.52
2016-08-05,2016-32,462.12
2016-08-12,2016-33,467.7
2016-08-19,2016-34,473.11
2016-08-26,2016-35,472.81
2016-09-02,2016-36,466.83
2016-09-09,2016-37,508.64
2016-09-16,2016-38,499.16
2016-09-23,2016-39,475.06
2016-09-30,2016-40,476.16
2016-10-07,2016-41,463.68
2016-10-14,2016-42,467.74
2016-10-21,2016-43,474.8
2016-10-28,2016-44,474.41
2016-11-04,2016-45,467.56
2016-11-11,2016-46,468.69
2016-11-18,2016-47,475.73
2016-11-25,2016-48,478.44
2016-12-02,2016-49,467.63
2016-12-09,2016-50,476.11
2016-12-16,2016-51,488.34
2016-12-23,2016-52,490.61
2016-12-30,2016-53,503.54
2017-01-06,2017-1,473.26
2017-01-13,2017-2,480.76
2017-01-20,2017-3,485.49
2017-01-27,2017-4,483.29
2017-02-03,2017-5,481.31
2017-02-10,2017-6,483.65
2017-02-17,2017-7,490.71
2017-02-24,2017-8,495.43
2017-03-03,2017-9,489.89
2017-03-10,2017-10,493.12
2017-03-17,2017-11,506.08
2017-03-24,2017-12,515.15
2017-03-31,2017-13,523.56
2017-04-07,2017-14,520.84
2017-04-14,2017-15,538.48
2017-04-21,2017-16,542.45
2017-04-28,2017-17,550.05
2017-05-05,2017-18,535.69
2017-05-12,2017-19,534.52
2017-05-19,2017-20,543.85
2017-05-26,2017-21,538.7
2017-06-02,2017-22,537.02
2017-06-09,2017-23,546.48
2017-06-16,2017-24,554.18
2017-06-23,2017-25,568.93
2017-06-30,2017-26,553.7
2017-07-07,2017-27,537.05
2017-07-14,2017-28,541.98
2017-07-21,2017-29,549.02
2017-07-28,2017-30,548.53
2017-08-04,2017-31,541.96
2017-08-11,2017-32,543.45
2017-08-18,2017-33,551.72
2017-08-25,2017-34,574.16
2017-09-01,2017-35,570.14
2017-09-08,2017-36,546.93
2017-09-15,2017-37,555.47
2017-09-22,2017-38,555.4
2017-09-29,2017-39,565.11
2017-10-06,2017-40,543.71
