Tarih,TP_FHGE_S13
2017-10-01,142.3
2017-11-01,141.9
2017-12-01,140.9
2018-01-01,150.5
2018-02-01,139.6
2018-03-01,135.2
2018-04-01,139.4
2018-05-01,153.5
2018-06-01,131.9
2018-07-01,135.7
2018-08-01,125.9
2018-09-01,110.6
2018-10-01,102.2
2018-11-01,127.8
2018-12-01,117.3
2019-01-01,123.7
2019-02-01,113.1
2019-03-01,120.9
2019-04-01,131.0
2019-05-01,120.1
2019-06-01,118.4
2019-07-01,114.0
2019-08-01,132.9
2019-09-01,122.0
2019-10-01,120.2
2019-11-01,142.9
2019-12-01,135.8
2020-01-01,162.6
2020-02-01,160.1
2020-03-01,150.5
2020-04-01,127.1
2020-05-01,156.5
2020-06-01,166.5
2020-07-01,165.0
2020-08-01,156.7
2020-09-01,157.1
2020-10-01,149.8
2020-11-01,165.1
2020-12-01,168.0
2021-01-01,171.2
2021-02-01,159.1
2021-03-01,138.8
2021-04-01,145.7
2021-05-01,95.6
2021-06-01,87.7
2021-07-01,86.1
2021-08-01,96.4
2021-09-01,107.1
2021-10-01,110.0
2021-11-01,143.2
2021-12-01,169.3
2022-01-01,159.0
2022-02-01,156.8
2022-03-01,127.4
2022-04-01,148.4
2022-05-01,162.3
2022-06-01,145.9
2022-07-01,144.4
2022-08-01,122.4
2022-09-01,161.7
2022-10-01,151.9
2022-11-01,171.7
2022-12-01,180.3
2023-01-01,171.4
2023-02-01,155.6
2023-03-01,146.8
2023-04-01,122.3
2023-05-01,136.9
2023-06-01,121.1
2023-07-01,149.1
2023-08-01,186.3
2023-09-01,182.3
2023-10-01,174.3
2023-11-01,161.4
2023-12-01,128.6
2024-01-01,96.3
2024-02-01,114.5
2024-03-01,131.7
2024-04-01,165.9
2024-05-01,164.0
2024-06-01,142.4
2024-07-01,120.6
2024-08-01,127.9
2024-09-01,130.9
2024-10-01,106.2
2024-11-01,77.5
2024-12-01,98.8
2025-01-01,134.5
2025-02-01,152.7
2025-03-01,132.6
2025-04-01,129.3
2025-05-01,121.7
2025-06-01,127.3
2025-07-01,139.8
2025-08-01,156.0
2025-09-01,158.7
