Tarih,TP_FHGE_S08
2017-10-01,183.4
2017-11-01,175.9
2017-12-01,162.9
2018-01-01,157.9
2018-02-01,161.6
2018-03-01,163.3
2018-04-01,159.9
2018-05-01,158.6
2018-06-01,149.3
2018-07-01,159.7
2018-08-01,149.2
2018-09-01,140.4
2018-10-01,125.4
2018-11-01,140.1
2018-12-01,148.3
2019-01-01,150.5
2019-02-01,164.2
2019-03-01,170.9
2019-04-01,143.0
2019-05-01,148.2
2019-06-01,146.8
2019-07-01,167.2
2019-08-01,164.7
2019-09-01,160.2
2019-10-01,173.4
2019-11-01,175.1
2019-12-01,173.6
2020-01-01,171.9
2020-02-01,155.8
2020-03-01,142.1
2020-04-01,109.5
2020-05-01,150.9
2020-06-01,144.5
2020-07-01,160.9
2020-08-01,151.4
2020-09-01,123.3
2020-10-01,144.1
2020-11-01,137.9
2020-12-01,124.3
2021-01-01,142.4
2021-02-01,137.0
2021-03-01,154.7
2021-04-01,146.7
2021-05-01,164.3
2021-06-01,163.8
2021-07-01,167.1
2021-08-01,179.2
2021-09-01,180.5
2021-10-01,178.8
2021-11-01,176.5
2021-12-01,161.0
2022-01-01,153.9
2022-02-01,161.6
2022-03-01,159.7
2022-04-01,156.9
2022-05-01,149.7
2022-06-01,136.3
2022-07-01,134.9
2022-08-01,144.5
2022-09-01,152.8
2022-10-01,146.8
2022-11-01,139.7
2022-12-01,147.3
2023-01-01,125.4
2023-02-01,136.1
2023-03-01,150.5
2023-04-01,155.3
2023-05-01,152.8
2023-06-01,152.6
2023-07-01,157.8
2023-08-01,153.1
2023-09-01,169.5
2023-10-01,131.8
2023-11-01,146.1
2023-12-01,149.8
2024-01-01,122.9
2024-02-01,156.6
2024-03-01,164.5
2024-04-01,151.9
2024-05-01,155.7
2024-06-01,154.3
2024-07-01,168.3
2024-08-01,164.0
2024-09-01,173.4
2024-10-01,173.6
2024-11-01,172.4
2024-12-01,177.6
2025-01-01,176.4
2025-02-01,180.4
2025-03-01,173.1
2025-04-01,176.1
2025-05-01,161.7
2025-06-01,168.5
2025-07-01,169.7
2025-08-01,179.3
2025-09-01,187.5
