Tarih,TP_FHGE_S12
2017-10-01,157.7
2017-11-01,176.1
2017-12-01,181.9
2018-01-01,168.6
2018-02-01,146.8
2018-03-01,150.2
2018-04-01,145.7
2018-05-01,159.1
2018-06-01,135.2
2018-07-01,149.6
2018-08-01,138.5
2018-09-01,136.0
2018-10-01,129.1
2018-11-01,126.2
2018-12-01,161.1
2019-01-01,149.5
2019-02-01,161.4
2019-03-01,130.7
2019-04-01,138.3
2019-05-01,134.7
2019-06-01,137.7
2019-07-01,120.9
2019-08-01,126.4
2019-09-01,140.3
2019-10-01,142.3
2019-11-01,143.8
2019-12-01,142.3
2020-01-01,140.0
2020-02-01,143.2
2020-03-01,139.0
2020-04-01,49.5
2020-05-01,107.0
2020-06-01,144.7
2020-07-01,186.7
2020-08-01,157.3
2020-09-01,133.2
2020-10-01,158.2
2020-11-01,118.6
2020-12-01,115.1
2021-01-01,141.0
2021-02-01,139.4
2021-03-01,143.2
2021-04-01,135.9
2021-05-01,150.6
2021-06-01,179.7
2021-07-01,158.4
2021-08-01,154.7
2021-09-01,148.4
2021-10-01,160.1
2021-11-01,143.1
2021-12-01,132.9
2022-01-01,142.5
2022-02-01,143.0
2022-03-01,138.9
2022-04-01,162.3
2022-05-01,135.4
2022-06-01,142.9
2022-07-01,132.1
2022-08-01,135.1
2022-09-01,134.8
2022-10-01,153.2
2022-11-01,156.3
2022-12-01,140.4
2023-01-01,163.1
2023-02-01,141.0
2023-03-01,147.8
2023-04-01,141.5
2023-05-01,139.6
2023-06-01,144.3
2023-07-01,153.4
2023-08-01,134.8
2023-09-01,149.5
2023-10-01,147.9
2023-11-01,165.0
2023-12-01,180.5
2024-01-01,160.0
2024-02-01,156.8
2024-03-01,167.7
2024-04-01,159.9
2024-05-01,156.6
2024-06-01,170.3
2024-07-01,170.0
2024-08-01,177.7
2024-09-01,174.9
2024-10-01,171.6
2024-11-01,171.9
2024-12-01,173.9
2025-01-01,174.9
2025-02-01,170.6
2025-03-01,173.5
2025-04-01,166.9
2025-05-01,171.8
2025-06-01,174.1
2025-07-01,175.3
2025-08-01,178.5
2025-09-01,178.5
