Tarih,TP_PBD_H26
2000-01-01,43111773.0
2000-02-01,44094962.0
2000-03-01,45107327.0
2000-04-01,46429226.0
2000-05-01,47640660.0
2000-06-01,49880792.0
2000-07-01,52563836.0
2000-08-01,52378942.0
2000-09-01,54174570.0
2000-10-01,55644588.0
2000-11-01,56859591.0
2000-12-01,58467538.0
2001-01-01,59501591.0
2001-02-01,66860110.0
2001-03-01,74575053.0
2001-04-01,77956996.0
2001-05-01,80544608.0
2001-06-01,86243458.0
2001-07-01,88699323.0
2001-08-01,96667638.0
2001-09-01,103776092.0
2001-10-01,108016465.0
2001-11-01,106565706.0
2001-12-01,108748347.0
2002-01-01,101988469.0
2002-02-01,108104729.0
2002-03-01,106218553.0
2002-04-01,108852657.0
2002-05-01,112705712.0
2002-06-01,120069072.0
2002-07-01,128045647.0
2002-08-01,126574259.0
2002-09-01,129619665.0
2002-10-01,132909141.0
2002-11-01,131277074.0
2002-12-01,136586938.0
2003-01-01,138155149.0
2003-02-01,138199980.0
2003-03-01,137058252.0
2003-04-01,135028817.0
2003-05-01,133069921.0
2003-06-01,135754301.0
2003-07-01,138996845.0
2003-08-01,138904989.0
2003-09-01,144302748.0
2003-10-01,151975298.0
2003-11-01,155404292.0
2003-12-01,156392652.0
2004-01-01,159367159.0
2004-02-01,159872117.0
2004-03-01,161059696.0
2004-04-01,167379424.0
2004-05-01,173477960.0
2004-06-01,172643389.0
2004-07-01,174527286.0
2004-08-01,180169627.0
2004-09-01,184408069.0
2004-10-01,187063593.0
2004-11-01,191641783.0
2004-12-01,191703343.0
2005-01-01,188792828.0
2005-02-01,187762412.0
2005-03-01,194457376.0
2005-04-01,201138611.0
2005-05-01,203478044.0
2005-06-01,208837662.0
2005-07-01,213604580.0
2005-08-01,221097260.0
2005-09-01,226419944.0
2005-10-01,228566738.0
2005-11-01,234056403.0
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,
2024-03-01,
