Tarih,TP_PBD_H12
2000-01-01,41878280.0
2000-02-01,42267462.0
2000-03-01,43493789.0
2000-04-01,45066964.0
2000-05-01,46270238.0
2000-06-01,47966921.0
2000-07-01,50711638.0
2000-08-01,51003360.0
2000-09-01,52582964.0
2000-10-01,53805591.0
2000-11-01,54737136.0
2000-12-01,56849061.0
2001-01-01,57479773.0
2001-02-01,65135749.0
2001-03-01,72200477.0
2001-04-01,75504001.0
2001-05-01,77373346.0
2001-06-01,84668912.0
2001-07-01,86163444.0
2001-08-01,92494506.0
2001-09-01,101187822.0
2001-10-01,105754526.0
2001-11-01,103208893.0
2001-12-01,106566525.0
2002-01-01,98874821.0
2002-02-01,103956186.0
2002-03-01,103060396.0
2002-04-01,104901857.0
2002-05-01,109774943.0
2002-06-01,116763252.0
2002-07-01,123269015.0
2002-08-01,121381468.0
2002-09-01,125443967.0
2002-10-01,128458142.0
2002-11-01,125324216.0
2002-12-01,133664544.0
2003-01-01,132761251.0
2003-02-01,130790931.0
2003-03-01,132266932.0
2003-04-01,127975489.0
2003-05-01,126237382.0
2003-06-01,129692516.0
2003-07-01,131937538.0
2003-08-01,133053359.0
2003-09-01,137689590.0
2003-10-01,144955858.0
2003-11-01,147178735.0
2003-12-01,151001010.0
2004-01-01,153443920.0
2004-02-01,151409383.0
2004-03-01,153804904.0
2004-04-01,159111721.0
2004-05-01,162642992.0
2004-06-01,165060053.0
2004-07-01,166257634.0
2004-08-01,172021075.0
2004-09-01,176753490.0
2004-10-01,179452972.0
2004-11-01,180632296.0
2004-12-01,184403562.0
2005-01-01,177517045.0
2005-02-01,177952582.0
2005-03-01,185316288.0
2005-04-01,190601395.0
2005-05-01,191189280.0
2005-06-01,197700182.0
2005-07-01,201797715.0
2005-08-01,207647391.0
2005-09-01,214497271.0
2005-10-01,217702287.0
2005-11-01,219552534.0
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,
2024-03-01,
