Tarih,TP_KB_KRE05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,22887.0
2011-01-01,17174.0
2011-02-01,306777.0
2011-03-01,301331.0
2011-04-01,280759.0
2011-05-01,305578.0
2011-06-01,321563.0
2011-07-01,281047.0
2011-08-01,289782.0
2011-09-01,319123.0
2011-10-01,338647.0
2011-11-01,354982.0
2011-12-01,300796.0
2012-01-01,349206.0
2012-02-01,343149.0
2012-03-01,313368.0
2012-04-01,382421.0
2012-05-01,380499.0
2012-06-01,339716.0
2012-07-01,380046.0
2012-08-01,377788.0
2012-09-01,352885.0
2012-10-01,412109.0
2012-11-01,393656.0
2012-12-01,403154.0
2013-01-01,405537.0
2013-02-01,444555.0
2013-03-01,374252.0
2013-04-01,425732.0
2013-05-01,491122.0
2013-06-01,500727.0
2013-07-01,532638.0
2013-08-01,552153.0
2013-09-01,549024.0
2013-10-01,545327.0
2013-11-01,546561.0
2013-12-01,576618.0
2014-01-01,687688.0
2014-02-01,676035.0
2014-03-01,685554.0
2014-04-01,686470.0
2014-05-01,685233.0
2014-06-01,699814.0
2014-07-01,692188.0
2014-08-01,695450.0
2014-09-01,817676.0
2014-10-01,801061.0
