Tarih,TP_KARTMETRE_D2
2017-09-01,111.54
2017-10-01,113.88
2017-11-01,111.98
2017-12-01,117.28
2018-01-01,112.63
2018-02-01,101.9
2018-03-01,117.25
2018-04-01,114.67
2018-05-01,121.65
2018-06-01,114.37
2018-07-01,126.27
2018-08-01,118.48
2018-09-01,116.41
2018-10-01,109.9
2018-11-01,111.64
2018-12-01,114.37
2019-01-01,109.21
2019-02-01,101.55
2019-03-01,119.27
2019-04-01,113.91
2019-05-01,124.72
2019-06-01,118.59
2019-07-01,128.99
2019-08-01,121.24
2019-09-01,122.48
2019-10-01,121.77
2019-11-01,123.99
2019-12-01,126.64
2020-01-01,122.17
2020-02-01,116.29
2020-03-01,116.48
2020-04-01,91.49
2020-05-01,101.54
2020-06-01,126.64
2020-07-01,146.76
2020-08-01,131.87
2020-09-01,136.79
2020-10-01,138.84
2020-11-01,134.13
2020-12-01,131.02
2021-01-01,123.06
2021-02-01,121.57
2021-03-01,148.48
2021-04-01,134.28
2021-05-01,131.45
2021-06-01,163.02
2021-07-01,166.54
2021-08-01,167.2
2021-09-01,171.23
2021-10-01,173.25
2021-11-01,183.91
2021-12-01,171.63
2022-01-01,145.51
2022-02-01,145.28
2022-03-01,174.95
2022-04-01,168.12
2022-05-01,182.85
2022-06-01,191.4
2022-07-01,194.2
2022-08-01,209.04
2022-09-01,212.99
2022-10-01,213.57
2022-11-01,225.65
2022-12-01,246.29
2023-01-01,227.36
2023-02-01,198.38
2023-03-01,252.78
2023-04-01,256.83
2023-05-01,286.48
2023-06-01,289.93
2023-07-01,312.01
2023-08-01,303.64
2023-09-01,293.1
2023-10-01,293.4
2023-11-01,301.6
2023-12-01,322.8
2024-01-01,300.1
2024-02-01,299.5
2024-03-01,338.8
2024-04-01,313.5
2024-05-01,342.3
2024-06-01,335.3
2024-07-01,364.3
2024-08-01,355.0
2024-09-01,352.0
2024-10-01,351.3
2024-11-01,354.0
2024-12-01,388.5
2025-01-01,349.6
2025-02-01,324.0
2025-03-01,364.0
2025-04-01,359.5
2025-05-01,397.3
2025-06-01,374.42
2025-07-01,415.27
2025-08-01,403.7
