Tarih,TP_KARTMETRE_D4
2017-09-01,105.98
2017-10-01,107.07
2017-11-01,103.05
2017-12-01,110.07
2018-01-01,101.25
2018-02-01,95.57
2018-03-01,109.1
2018-04-01,107.73
2018-05-01,111.01
2018-06-01,107.99
2018-07-01,113.98
2018-08-01,111.51
2018-09-01,108.26
2018-10-01,101.59
2018-11-01,102.82
2018-12-01,108.69
2019-01-01,99.82
2019-02-01,103.22
2019-03-01,111.71
2019-04-01,106.68
2019-05-01,113.94
2019-06-01,113.47
2019-07-01,116.23
2019-08-01,116.03
2019-09-01,114.97
2019-10-01,113.33
2019-11-01,115.1
2019-12-01,116.88
2020-01-01,109.73
2020-02-01,108.57
2020-03-01,108.25
2020-04-01,83.26
2020-05-01,92.94
2020-06-01,116.52
2020-07-01,133.41
2020-08-01,120.99
2020-09-01,125.2
2020-10-01,126.82
2020-11-01,120.71
2020-12-01,113.44
2021-01-01,105.84
2021-02-01,105.15
2021-03-01,126.45
2021-04-01,118.75
2021-05-01,114.49
2021-06-01,144.16
2021-07-01,148.51
2021-08-01,148.16
2021-09-01,149.74
2021-10-01,148.5
2021-11-01,151.53
2021-12-01,146.01
2022-01-01,122.76
2022-02-01,126.42
2022-03-01,145.17
2022-04-01,144.86
2022-05-01,154.94
2022-06-01,163.28
2022-07-01,168.87
2022-08-01,182.78
2022-09-01,185.46
2022-10-01,187.25
2022-11-01,194.03
2022-12-01,211.49
2023-01-01,193.56
2023-02-01,173.03
2023-03-01,219.49
2023-04-01,228.24
2023-05-01,242.38
2023-06-01,265.24
2023-07-01,269.27
2023-08-01,271.87
2023-09-01,265.6
2023-10-01,260.8
2023-11-01,262.4
2023-12-01,285.1
2024-01-01,259.5
2024-02-01,263.5
2024-03-01,302.6
2024-04-01,283.1
2024-05-01,298.7
2024-06-01,308.8
2024-07-01,322.3
2024-08-01,327.9
2024-09-01,316.3
2024-10-01,315.7
2024-11-01,312.8
2024-12-01,336.4
2025-01-01,305.8
2025-02-01,292.6
2025-03-01,328.0
2025-04-01,315.3
2025-05-01,347.8
2025-06-01,338.76
2025-07-01,365.81
2025-08-01,363.5
