Tarih,TP_DT_IT_FIY_D09_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,114.7843398242
2013-02-01,116.8748429285
2013-03-01,113.3130070229
2013-04-01,113.0831573398
2013-05-01,111.7121809846
2013-06-01,112.6723031171
2013-07-01,111.1903718173
2013-08-01,117.5528715739
2013-09-01,116.0155903727
2013-10-01,119.0737019525
2013-11-01,118.2458872564
2013-12-01,119.8539135753
2014-01-01,114.915040879
2014-02-01,115.0931012282
2014-03-01,118.0110634318
2014-04-01,117.8189419338
2014-05-01,116.4024571019
2014-06-01,113.596261163
2014-07-01,116.5217479864
2014-08-01,114.4406066318
2014-09-01,113.0879855354
2014-10-01,111.7519407508
2014-11-01,111.1002399535
2014-12-01,110.5009530373
2015-01-01,103.0340325798
2015-02-01,102.5161383433
2015-03-01,97.6222551799
2015-04-01,98.3432584591
2015-05-01,102.1265566764
2015-06-01,102.0536807925
2015-07-01,98.19532435
2015-08-01,101.3628713023
2015-09-01,99.0182932525
2015-10-01,99.7008233107
2015-11-01,97.3271791095
2015-12-01,98.6995866439
2016-01-01,99.513970489
2016-02-01,100.8511645173
