Tarih,TP_DT_IT_FIY_D12_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,174.1556083325
2013-02-01,177.3341667414
2013-03-01,174.6237184755
2013-04-01,165.2594001631
2013-05-01,158.1959030134
2013-06-01,158.5059758865
2013-07-01,161.4067245626
2013-08-01,166.1851582688
2013-09-01,172.1323641615
2013-10-01,168.3312291382
2013-11-01,166.4802377954
2013-12-01,173.7246489706
2014-01-01,172.2126335323
2014-02-01,168.0971833702
2014-03-01,169.5882858072
2014-04-01,162.9620487223
2014-05-01,163.3325430127
2014-06-01,164.7176949338
2014-07-01,164.7989525771
2014-08-01,161.8114761844
2014-09-01,158.9566998435
2014-10-01,151.5842390383
2014-11-01,143.149120517
2014-12-01,129.1446119431
2015-01-01,111.8276735175
2015-02-01,103.4366125764
2015-03-01,109.3164904381
2015-04-01,105.6884049458
2015-05-01,111.1954895644
2015-06-01,110.5810271149
2015-07-01,103.8799451071
2015-08-01,95.1593784396
2015-09-01,91.2374636104
2015-10-01,90.7845016711
2015-11-01,86.9239090337
2015-12-01,79.969103981
2016-01-01,68.2791487156
2016-02-01,62.8851520208
