Tarih,TP_DT_IT_FIY_D04_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,132.8915820623
2013-02-01,135.7907735917
2013-03-01,133.4550743368
2013-04-01,133.0200169581
2013-05-01,130.0888835399
2013-06-01,129.4616000904
2013-07-01,126.7123571205
2013-08-01,128.4318804782
2013-09-01,128.3173156032
2013-10-01,129.5921730742
2013-11-01,128.6483385981
2013-12-01,130.1112163533
2014-01-01,128.2167688627
2014-02-01,128.5002718474
2014-03-01,129.1630846695
2014-04-01,128.229967955
2014-05-01,127.1498396442
2014-06-01,127.7301509445
2014-07-01,128.3056824709
2014-08-01,126.1781395703
2014-09-01,125.2434609242
2014-10-01,122.5527440364
2014-11-01,119.9251578473
2014-12-01,115.8263707601
2015-01-01,109.1080324304
2015-02-01,106.5015560545
2015-03-01,104.3842113621
2015-04-01,101.6028854331
2015-05-01,104.0864265309
2015-06-01,104.1911824568
2015-07-01,101.0236463227
2015-08-01,98.155109462
2015-09-01,95.7653108064
2015-10-01,94.0880795256
2015-11-01,91.7294539904
2015-12-01,89.364105625
2016-01-01,84.627905184
2016-02-01,84.6104996151
