Tarih,TP_DT_IT_FIY_D07_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,169.9257384838
2013-02-01,171.0645191266
2013-03-01,168.1060101436
2013-04-01,163.390995279
2013-05-01,158.7309009867
2013-06-01,159.746814025
2013-07-01,158.14458963
2013-08-01,161.0869746265
2013-09-01,159.6216606741
2013-10-01,157.9283105781
2013-11-01,158.3475828153
2013-12-01,161.0559272995
2014-01-01,152.9053655384
2014-02-01,155.1882254888
2014-03-01,157.1682727102
2014-04-01,155.5347258729
2014-05-01,153.7219052494
2014-06-01,157.0399725466
2014-07-01,155.7514980222
2014-08-01,152.8487439737
2014-09-01,148.4846081761
2014-10-01,144.9733883046
2014-11-01,137.292957858
2014-12-01,129.3940337373
2015-01-01,116.8447816027
2015-02-01,117.9068355727
2015-03-01,117.6243268623
2015-04-01,104.344331671
2015-05-01,111.6233451096
2015-06-01,109.6236414042
2015-07-01,99.1085574683
2015-08-01,92.4306404531
2015-09-01,88.1097337602
2015-10-01,83.765067847
2015-11-01,81.6660668913
2015-12-01,76.9526713576
2016-01-01,66.6336322436
2016-02-01,65.0885439311
