Tarih,TP_UNDNAKLIYE_YIH_IR_ADET
2016-05-01,3584.0
2016-06-01,3390.0
2016-07-01,3145.0
2016-08-01,2969.0
2016-09-01,2460.0
2016-10-01,2789.0
2016-11-01,3725.0
2016-12-01,3032.0
2017-01-01,3063.0
2017-02-01,2938.0
2017-03-01,3127.0
2017-04-01,3044.0
2017-05-01,2672.0
2017-06-01,3061.0
2017-07-01,3000.0
2017-08-01,3732.0
2017-09-01,3089.0
2017-10-01,3660.0
2017-11-01,3604.0
2017-12-01,3913.0
2018-01-01,3621.0
2018-02-01,3636.0
2018-03-01,4457.0
2018-04-01,3525.0
2018-05-01,4368.0
2018-06-01,3757.0
2018-07-01,3368.0
2018-08-01,2896.0
2018-09-01,2882.0
2018-10-01,3462.0
2018-11-01,3760.0
2018-12-01,4025.0
2019-01-01,3321.0
2019-02-01,3466.0
2019-03-01,5431.0
2019-04-01,3382.0
2019-05-01,4657.0
2019-06-01,4641.0
2019-07-01,5044.0
2019-08-01,4790.0
2019-09-01,4536.0
2019-10-01,4923.0
2019-11-01,4585.0
2019-12-01,5654.0
2020-01-01,4102.0
2020-02-01,3649.0
2020-03-01,315.0
2020-04-01,15.0
2020-05-01,20.0
2020-06-01,1329.0
2020-07-01,4267.0
2020-08-01,4148.0
2020-09-01,3352.0
2020-10-01,4421.0
2020-11-01,4315.0
2020-12-01,4808.0
2021-01-01,4584.0
2021-02-01,3858.0
2021-03-01,4167.0
2021-04-01,3259.0
2021-05-01,4142.0
2021-06-01,3186.0
2021-07-01,3377.0
2021-08-01,4010.0
2021-09-01,4181.0
2021-10-01,4510.0
2021-11-01,4561.0
2021-12-01,4111.0
2022-01-01,3518.0
2022-02-01,3452.0
2022-03-01,3719.0
2022-04-01,3619.0
2022-05-01,3856.0
2022-06-01,3997.0
2022-07-01,3866.0
2022-08-01,3793.0
2022-09-01,4146.0
2022-10-01,4660.0
2022-11-01,4348.0
2022-12-01,4082.0
2023-01-01,4645.0
2023-02-01,3935.0
2023-03-01,4258.0
2023-04-01,3472.0
2023-05-01,4528.0
2023-06-01,4252.0
2023-07-01,3579.0
2023-08-01,3985.0
2023-09-01,4157.0
2023-10-01,3975.0
2023-11-01,4313.0
2023-12-01,4078.0
2024-01-01,4253.0
2024-02-01,3975.0
2024-03-01,4256.0
2024-04-01,3103.0
2024-05-01,4424.0
2024-06-01,3883.0
2024-07-01,4453.0
2024-08-01,3910.0
2024-09-01,3538.0
2024-10-01,3888.0
2024-11-01,4261.0
2024-12-01,4587.0
2025-01-01,3653.0
2025-02-01,4090.0
2025-03-01,4659.0
2025-04-01,3231.0
2025-05-01,4712.0
2025-06-01,4619.0
2025-07-01,4090.0
2025-08-01,5330.0
2025-09-01,4840.0
