Tarih,TP_UNDNAKLIYE_YIH_MK_ADET
2016-09-01,658.0
2016-10-01,891.0
2016-11-01,900.0
2016-12-01,941.0
2017-01-01,505.0
2017-02-01,672.0
2017-03-01,1000.0
2017-04-01,899.0
2017-05-01,984.0
2017-06-01,867.0
2017-07-01,955.0
2017-08-01,981.0
2017-09-01,757.0
2017-10-01,990.0
2017-11-01,1008.0
2017-12-01,1070.0
2018-01-01,668.0
2018-02-01,775.0
2018-03-01,913.0
2018-04-01,1015.0
2018-05-01,1132.0
2018-06-01,994.0
2018-07-01,934.0
2018-08-01,762.0
2018-09-01,1016.0
2018-10-01,1018.0
2018-11-01,1165.0
2018-12-01,1180.0
2019-01-01,707.0
2019-02-01,790.0
2019-03-01,1013.0
2019-04-01,1022.0
2019-05-01,1157.0
2019-06-01,937.0
2019-07-01,930.0
2019-08-01,787.0
2019-09-01,888.0
2019-10-01,1045.0
2019-11-01,1169.0
2019-12-01,1129.0
2020-01-01,765.0
2020-02-01,937.0
2020-03-01,685.0
2020-04-01,252.0
2020-05-01,1009.0
2020-06-01,1128.0
2020-07-01,1206.0
2020-08-01,889.0
2020-09-01,1003.0
2020-10-01,1151.0
2020-11-01,1172.0
2020-12-01,1434.0
2021-01-01,872.0
2021-02-01,1046.0
2021-03-01,1272.0
2021-04-01,1372.0
2021-05-01,1039.0
2021-06-01,1293.0
2021-07-01,1241.0
2021-08-01,1237.0
2021-09-01,1251.0
2021-10-01,1345.0
2021-11-01,1378.0
2021-12-01,1520.0
2022-01-01,982.0
2022-02-01,1129.0
2022-03-01,1416.0
2022-04-01,1546.0
2022-05-01,1119.0
2022-06-01,1425.0
2022-07-01,1267.0
2022-08-01,1415.0
2022-09-01,1431.0
2022-10-01,1463.0
2022-11-01,1528.0
2022-12-01,1510.0
2023-01-01,945.0
2023-02-01,1070.0
2023-03-01,1308.0
2023-04-01,1263.0
2023-05-01,1353.0
2023-06-01,1344.0
2023-07-01,1412.0
2023-08-01,1576.0
2023-09-01,1491.0
2023-10-01,1510.0
2023-11-01,1603.0
2023-12-01,1641.0
2024-01-01,1177.0
2024-02-01,1370.0
2024-03-01,1559.0
2024-04-01,1395.0
2024-05-01,1639.0
2024-06-01,1420.0
2024-07-01,1798.0
2024-08-01,1763.0
2024-09-01,1569.0
2024-10-01,1606.0
2024-11-01,1475.0
2024-12-01,1662.0
2025-01-01,1074.0
2025-02-01,1438.0
2025-03-01,1652.0
2025-04-01,1536.0
2025-05-01,1867.0
2025-06-01,1570.0
2025-07-01,1835.0
2025-08-01,1842.0
2025-09-01,1627.0
