Tarih,TP_UNDNAKLIYE_YIH_RU_ADET
2016-05-01,572.0
2016-06-01,788.0
2016-07-01,872.0
2016-08-01,650.0
2016-09-01,662.0
2016-10-01,914.0
2016-11-01,909.0
2016-12-01,861.0
2017-01-01,715.0
2017-02-01,899.0
2017-03-01,982.0
2017-04-01,862.0
2017-05-01,1211.0
2017-06-01,1344.0
2017-07-01,1142.0
2017-08-01,1196.0
2017-09-01,986.0
2017-10-01,1237.0
2017-11-01,1102.0
2017-12-01,1253.0
2018-01-01,805.0
2018-02-01,974.0
2018-03-01,1107.0
2018-04-01,997.0
2018-05-01,1357.0
2018-06-01,1424.0
2018-07-01,1454.0
2018-08-01,1405.0
2018-09-01,1530.0
2018-10-01,1498.0
2018-11-01,1646.0
2018-12-01,1834.0
2019-01-01,1177.0
2019-02-01,1317.0
2019-03-01,1468.0
2019-04-01,1452.0
2019-05-01,1780.0
2019-06-01,2003.0
2019-07-01,1955.0
2019-08-01,1450.0
2019-09-01,1535.0
2019-10-01,1576.0
2019-11-01,1679.0
2019-12-01,1915.0
2020-01-01,1660.0
2020-02-01,1715.0
2020-03-01,1775.0
2020-04-01,911.0
2020-05-01,1357.0
2020-06-01,2519.0
2020-07-01,2368.0
2020-08-01,1535.0
2020-09-01,1484.0
2020-10-01,1805.0
2020-11-01,1870.0
2020-12-01,1717.0
2021-01-01,1476.0
2021-02-01,2066.0
2021-03-01,2313.0
2021-04-01,2251.0
2021-05-01,1846.0
2021-06-01,2095.0
2021-07-01,1729.0
2021-08-01,1698.0
2021-09-01,1709.0
2021-10-01,2122.0
2021-11-01,1973.0
2021-12-01,1786.0
2022-01-01,1410.0
2022-02-01,1814.0
2022-03-01,1003.0
2022-04-01,1506.0
2022-05-01,2151.0
2022-06-01,2676.0
2022-07-01,2546.0
2022-08-01,2635.0
2022-09-01,2323.0
2022-10-01,2780.0
2022-11-01,2776.0
2022-12-01,2356.0
2023-01-01,2068.0
2023-02-01,2102.0
2023-03-01,2461.0
2023-04-01,2243.0
2023-05-01,2340.0
2023-06-01,2717.0
2023-07-01,2011.0
2023-08-01,2180.0
2023-09-01,2132.0
2023-10-01,2256.0
2023-11-01,2221.0
2023-12-01,2429.0
2024-01-01,1558.0
2024-02-01,1571.0
2024-03-01,1809.0
2024-04-01,1498.0
2024-05-01,1670.0
2024-06-01,1530.0
2024-07-01,1207.0
2024-08-01,1223.0
2024-09-01,1175.0
2024-10-01,1138.0
2024-11-01,1236.0
2024-12-01,1442.0
2025-01-01,896.0
2025-02-01,858.0
2025-03-01,1302.0
2025-04-01,1016.0
2025-05-01,990.0
2025-06-01,871.0
2025-07-01,659.0
2025-08-01,728.0
2025-09-01,713.0
