Tarih,TP_UNDNAKLIYE_YIH_BG_ADET
2016-05-01,3872.0
2016-06-01,4288.0
2016-07-01,3592.0
2016-08-01,4096.0
2016-09-01,3432.0
2016-10-01,4461.0
2016-11-01,3999.0
2016-12-01,3596.0
2017-01-01,2399.0
2017-02-01,3424.0
2017-03-01,4158.0
2017-04-01,4084.0
2017-05-01,4034.0
2017-06-01,4026.0
2017-07-01,3933.0
2017-08-01,4359.0
2017-09-01,3647.0
2017-10-01,4628.0
2017-11-01,4341.0
2017-12-01,3788.0
2018-01-01,3483.0
2018-02-01,3730.0
2018-03-01,4056.0
2018-04-01,3802.0
2018-05-01,3953.0
2018-06-01,3803.0
2018-07-01,3937.0
2018-08-01,3423.0
2018-09-01,3958.0
2018-10-01,4472.0
2018-11-01,4275.0
2018-12-01,3485.0
2019-01-01,3271.0
2019-02-01,3631.0
2019-03-01,4284.0
2019-04-01,3812.0
2019-05-01,3939.0
2019-06-01,3485.0
2019-07-01,4185.0
2019-08-01,3448.0
2019-09-01,3448.0
2019-10-01,4006.0
2019-11-01,3716.0
2019-12-01,3531.0
2020-01-01,3024.0
2020-02-01,3443.0
2020-03-01,3165.0
2020-04-01,2658.0
2020-05-01,3109.0
2020-06-01,3599.0
2020-07-01,3887.0
2020-08-01,3341.0
2020-09-01,3530.0
2020-10-01,3921.0
2020-11-01,2820.0
2020-12-01,3154.0
2021-01-01,3158.0
2021-02-01,3612.0
2021-03-01,4034.0
2021-04-01,4147.0
2021-05-01,2934.0
2021-06-01,4113.0
2021-07-01,3770.0
2021-08-01,4012.0
2021-09-01,3783.0
2021-10-01,3573.0
2021-11-01,3573.0
2021-12-01,4032.0
2022-01-01,3839.0
2022-02-01,4141.0
2022-03-01,4718.0
2022-04-01,4685.0
2022-05-01,3973.0
2022-06-01,4866.0
2022-07-01,3793.0
2022-08-01,4261.0
2022-09-01,4305.0
2022-10-01,4847.0
2022-11-01,4740.0
2022-12-01,4097.0
2023-01-01,4157.0
2023-02-01,4047.0
2023-03-01,4835.0
2023-04-01,4073.0
2023-05-01,4482.0
2023-06-01,4397.0
2023-07-01,4265.0
2023-08-01,4375.0
2023-09-01,4165.0
2023-10-01,4870.0
2023-11-01,4441.0
2023-12-01,3944.0
2024-01-01,4045.0
2024-02-01,4084.0
2024-03-01,4598.0
2024-04-01,4156.0
2024-05-01,4337.0
2024-06-01,4195.0
2024-07-01,4812.0
2024-08-01,4609.0
2024-09-01,4294.0
2024-10-01,4732.0
2024-11-01,4778.0
2024-12-01,4363.0
2025-01-01,3925.0
2025-02-01,4014.0
2025-03-01,4666.0
2025-04-01,4425.0
2025-05-01,4515.0
2025-06-01,4328.0
2025-07-01,4754.0
2025-08-01,4503.0
2025-09-01,4601.0
