Tarih,TP_UNDNAKLIYE_YIH_NL_ADET
2016-10-01,172.0
2016-11-01,175.0
2016-12-01,204.0
2017-01-01,164.0
2017-02-01,139.0
2017-03-01,146.0
2017-04-01,133.0
2017-05-01,134.0
2017-06-01,173.0
2017-07-01,189.0
2017-08-01,168.0
2017-09-01,163.0
2017-10-01,188.0
2017-11-01,218.0
2017-12-01,194.0
2018-01-01,181.0
2018-02-01,175.0
2018-03-01,180.0
2018-04-01,161.0
2018-05-01,159.0
2018-06-01,159.0
2018-07-01,139.0
2018-08-01,159.0
2018-09-01,197.0
2018-10-01,199.0
2018-11-01,218.0
2018-12-01,183.0
2019-01-01,165.0
2019-02-01,157.0
2019-03-01,215.0
2019-04-01,150.0
2019-05-01,158.0
2019-06-01,154.0
2019-07-01,172.0
2019-08-01,130.0
2019-09-01,183.0
2019-10-01,196.0
2019-11-01,187.0
2019-12-01,232.0
2020-01-01,184.0
2020-02-01,210.0
2020-03-01,158.0
2020-04-01,94.0
2020-05-01,204.0
2020-06-01,212.0
2020-07-01,201.0
2020-08-01,161.0
2020-09-01,225.0
2020-10-01,220.0
2020-11-01,218.0
2020-12-01,240.0
2021-01-01,252.0
2021-02-01,268.0
2021-03-01,381.0
2021-04-01,372.0
2021-05-01,315.0
2021-06-01,429.0
2021-07-01,372.0
2021-08-01,453.0
2021-09-01,471.0
2021-10-01,463.0
2021-11-01,485.0
2021-12-01,542.0
2022-01-01,416.0
2022-02-01,499.0
2022-03-01,540.0
2022-04-01,502.0
2022-05-01,390.0
2022-06-01,466.0
2022-07-01,368.0
2022-08-01,399.0
2022-09-01,483.0
2022-10-01,439.0
2022-11-01,354.0
2022-12-01,401.0
2023-01-01,335.0
2023-02-01,401.0
2023-03-01,499.0
2023-04-01,388.0
2023-05-01,402.0
2023-06-01,430.0
2023-07-01,358.0
2023-08-01,323.0
2023-09-01,434.0
2023-10-01,439.0
2023-11-01,442.0
2023-12-01,407.0
2024-01-01,416.0
2024-02-01,343.0
2024-03-01,403.0
2024-04-01,288.0
2024-05-01,420.0
2024-06-01,358.0
2024-07-01,374.0
2024-08-01,340.0
2024-09-01,406.0
2024-10-01,398.0
2024-11-01,405.0
2024-12-01,385.0
2025-01-01,360.0
2025-02-01,334.0
2025-03-01,367.0
2025-04-01,278.0
2025-05-01,368.0
2025-06-01,302.0
2025-07-01,312.0
2025-08-01,352.0
2025-09-01,395.0
