Tarih,TP_UNDNAKLIYE_YIH_RO_ADET
2016-05-01,2375.0
2016-06-01,2579.0
2016-07-01,2206.0
2016-08-01,1980.0
2016-09-01,2146.0
2016-10-01,2636.0
2016-11-01,2469.0
2016-12-01,2046.0
2017-01-01,1796.0
2017-02-01,2184.0
2017-03-01,2601.0
2017-04-01,2418.0
2017-05-01,2554.0
2017-06-01,2373.0
2017-07-01,2601.0
2017-08-01,2348.0
2017-09-01,2256.0
2017-10-01,3032.0
2017-11-01,3058.0
2017-12-01,2562.0
2018-01-01,2285.0
2018-02-01,2541.0
2018-03-01,3124.0
2018-04-01,2558.0
2018-05-01,2891.0
2018-06-01,2816.0
2018-07-01,2846.0
2018-08-01,2206.0
2018-09-01,2855.0
2018-10-01,2989.0
2018-11-01,2952.0
2018-12-01,2187.0
2019-01-01,2158.0
2019-02-01,2583.0
2019-03-01,3072.0
2019-04-01,2538.0
2019-05-01,2878.0
2019-06-01,2533.0
2019-07-01,3008.0
2019-08-01,2294.0
2019-09-01,2794.0
2019-10-01,3183.0
2019-11-01,3211.0
2019-12-01,2612.0
2020-01-01,2479.0
2020-02-01,3017.0
2020-03-01,2801.0
2020-04-01,1455.0
2020-05-01,2155.0
2020-06-01,2762.0
2020-07-01,3434.0
2020-08-01,2818.0
2020-09-01,3449.0
2020-10-01,3957.0
2020-11-01,3763.0
2020-12-01,3231.0
2021-01-01,3001.0
2021-02-01,3266.0
2021-03-01,3962.0
2021-04-01,3890.0
2021-05-01,3291.0
2021-06-01,3866.0
2021-07-01,3612.0
2021-08-01,3677.0
2021-09-01,3986.0
2021-10-01,4547.0
2021-11-01,4386.0
2021-12-01,3968.0
2022-01-01,3782.0
2022-02-01,4094.0
2022-03-01,4615.0
2022-04-01,4612.0
2022-05-01,4153.0
2022-06-01,4456.0
2022-07-01,3851.0
2022-08-01,3729.0
2022-09-01,4309.0
2022-10-01,4899.0
2022-11-01,4326.0
2022-12-01,3683.0
2023-01-01,3616.0
2023-02-01,3882.0
2023-03-01,4885.0
2023-04-01,4158.0
2023-05-01,4435.0
2023-06-01,4494.0
2023-07-01,4201.0
2023-08-01,4008.0
2023-09-01,4627.0
2023-10-01,5184.0
2023-11-01,5043.0
2023-12-01,4345.0
2024-01-01,4434.0
2024-02-01,4935.0
2024-03-01,5747.0
2024-04-01,4781.0
2024-05-01,5153.0
2024-06-01,5386.0
2024-07-01,5491.0
2024-08-01,4752.0
2024-09-01,5311.0
2024-10-01,5778.0
2024-11-01,5973.0
2024-12-01,5221.0
2025-01-01,4582.0
2025-02-01,5141.0
2025-03-01,5845.0
2025-04-01,4825.0
2025-05-01,5688.0
2025-06-01,5254.0
2025-07-01,5756.0
2025-08-01,5018.0
2025-09-01,5472.0
