Tarih,TP_UNDNAKLIYE_YIH_DE_ADET
2016-06-01,1334.0
2016-07-01,1097.0
2016-08-01,1327.0
2016-09-01,1315.0
2016-10-01,1612.0
2016-11-01,1448.0
2016-12-01,1373.0
2017-01-01,1335.0
2017-02-01,1527.0
2017-03-01,1752.0
2017-04-01,1588.0
2017-05-01,1596.0
2017-06-01,1547.0
2017-07-01,1482.0
2017-08-01,1553.0
2017-09-01,1351.0
2017-10-01,1703.0
2017-11-01,1608.0
2017-12-01,1541.0
2018-01-01,1452.0
2018-02-01,1504.0
2018-03-01,1768.0
2018-04-01,1664.0
2018-05-01,1608.0
2018-06-01,1635.0
2018-07-01,1613.0
2018-08-01,1346.0
2018-09-01,1797.0
2018-10-01,1875.0
2018-11-01,1760.0
2018-12-01,1534.0
2019-01-01,1670.0
2019-02-01,1596.0
2019-03-01,1756.0
2019-04-01,1376.0
2019-05-01,1548.0
2019-06-01,1549.0
2019-07-01,1601.0
2019-08-01,1354.0
2019-09-01,1712.0
2019-10-01,1780.0
2019-11-01,1715.0
2019-12-01,1565.0
2020-01-01,1552.0
2020-02-01,1754.0
2020-03-01,1525.0
2020-04-01,985.0
2020-05-01,1272.0
2020-06-01,1630.0
2020-07-01,2010.0
2020-08-01,1514.0
2020-09-01,1854.0
2020-10-01,2028.0
2020-11-01,2071.0
2020-12-01,2009.0
2021-01-01,1907.0
2021-02-01,2219.0
2021-03-01,2551.0
2021-04-01,2397.0
2021-05-01,2311.0
2021-06-01,2581.0
2021-07-01,2380.0
2021-08-01,2368.0
2021-09-01,2484.0
2021-10-01,2698.0
2021-11-01,2546.0
2021-12-01,2490.0
2022-01-01,2410.0
2022-02-01,2583.0
2022-03-01,2722.0
2022-04-01,2865.0
2022-05-01,2311.0
2022-06-01,2687.0
2022-07-01,2187.0
2022-08-01,2423.0
2022-09-01,2569.0
2022-10-01,2691.0
2022-11-01,2259.0
2022-12-01,2126.0
2023-01-01,2120.0
2023-02-01,2159.0
2023-03-01,2644.0
2023-04-01,2159.0
2023-05-01,2236.0
2023-06-01,2527.0
2023-07-01,2009.0
2023-08-01,2043.0
2023-09-01,2210.0
2023-10-01,2264.0
2023-11-01,2083.0
2023-12-01,1877.0
2024-01-01,2021.0
2024-02-01,2238.0
2024-03-01,2373.0
2024-04-01,1869.0
2024-05-01,2299.0
2024-06-01,2079.0
2024-07-01,2183.0
2024-08-01,2051.0
2024-09-01,2084.0
2024-10-01,2272.0
2024-11-01,1967.0
2024-12-01,1857.0
2025-01-01,2139.0
2025-02-01,2067.0
2025-03-01,2298.0
2025-04-01,1851.0
2025-05-01,2212.0
2025-06-01,1965.0
2025-07-01,2207.0
2025-08-01,1923.0
2025-09-01,2058.0
